Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,Conduit Viktor,7,Medium,3.94,0.58,12.2%,61.8%,Viktor | Illaoi | Nami | Rhaast | Meepsie | Mordekaiser | Pyke | Lissandra,"Viktor★ (Drone Uplink, Archangel's Staff, Jeweled Gauntlet) | Illaoi★ (Ionic Spark, Sunfire Cape, Spirit Visage) | Nami (Rabadon's Deathcap, Spear of Shojin, Void Staff) | Rhaast★ (Ionic Spark, Sunfire Cape, Warmog's Armor) | Meepsie | Mordekaiser | Pyke | Lissandra"
S,Fateweaver Twisted Fate,5,Medium,4.23,0.07,12.6%,55.0%,Twisted Fate | Corki | Jax | Rammus | Milio | Aatrox | Caitlyn | Poppy,"Twisted Fate★ (Nashor's Tooth, Nashor's Tooth, Rabadon's Deathcap) | Corki (Deathblade, Infinity Edge, Giant Slayer) | Jax★ (Crownguard, Protector's Vow, Gargoyle Stoneplate) | Rammus (Bramble Vest, Gargoyle Stoneplate, Sunfire Cape) | Milio | Aatrox★ | Caitlyn★ | Poppy★"
A,Primordian Bel'Veth,6,Easy,4.29,0.27,9.0%,55.3%,Bel'Veth | Rek'Sai | Kindred | Akali | Maokai | Aatrox | Briar | Caitlyn,"Bel'Veth★ (Giant Slayer, Quicksilver, Kraken's Fury) | Rek'Sai★ (Protector's Vow, Sunfire Cape, Spirit Visage) | Kindred (Guinsoo's Rageblade, Giant Slayer, Kraken's Fury) | Akali★ (Edge of Night, Striker's Flail, Hand Of Justice) | Maokai | Aatrox★ | Briar★ | Caitlyn★"
A,Space Groove Nami,,Medium,4.29,0.50,16.7%,53.2%,Nami | Riven | Tahm Kench | Blitzcrank | Shen | Ornn | Gwen | Pantheon | Nasus,"Nami (Jeweled Gauntlet, Nashor's Tooth, Spear of Shojin) | Riven (Space Groove Emblem, Bloodthirster, Titan's Resolve) | Tahm Kench (Protector's Vow, Sunfire Cape, Warmog's Armor) | Blitzcrank (Bloodthirster, Ionic Spark, Morellonomicon) | Shen | Ornn | Gwen | Pantheon | Nasus"
A,Meeple Veigar,5,Medium,4.33,0.07,10.5%,53.8%,Veigar | Poppy | Lissandra | Rammus | Corki | Illaoi | Meepsie | Mordekaiser,"Veigar★ (Jeweled Gauntlet, Nashor's Tooth, Spear of Shojin) | Poppy★ (Dragon's Claw, Ionic Spark, Sunfire Cape) | Lissandra★ (Jeweled Gauntlet, Nashor's Tooth, Nashor's Tooth) | Rammus (Bramble Vest, Gargoyle Stoneplate, Warmog's Armor) | Corki | Illaoi | Meepsie | Mordekaiser"
A,Sniper Xayah,,Medium,4.36,0.27,14.4%,52.1%,Xayah | Nunu & Willump | Jhin | Riven | Shen | Lulu | Jax | Mordekaiser | Talon,"Xayah (Guinsoo's Rageblade, Red Buff, Kraken's Fury) | Nunu & Willump (Protector's Vow, Spirit Visage, Warmog's Armor) | Jhin (Deathblade, Hextech Gunblade, Infinity Edge) | Riven (Stargazer Emblem, Bloodthirster, Sterak's Gage) | Shen | Lulu | Jax | Mordekaiser | Talon"
A,N.O.V.A. Kindred,,Medium,4.38,0.63,14.0%,51.8%,Kindred | Master Yi | Maokai | Fiora | Shen | Urgot | Akali | Aatrox | Caitlyn,"Kindred (Guinsoo's Rageblade, Striker's Flail, Kraken's Fury) | Master Yi (Edge of Night, Giant Slayer, Sterak's Gage) | Maokai (Gargoyle Stoneplate, Sunfire Cape, Warmog's Armor) | Fiora | Shen | Urgot | Akali | Aatrox | Caitlyn"
A,Vanguard LeBlanc,,Medium,4.42,0.87,10.7%,51.8%,LeBlanc | Nunu & Willump | Karma | Illaoi | Bard | Meepsie | Mordekaiser | Zoe | Leona,"LeBlanc (Guinsoo's Rageblade, Jeweled Gauntlet, Giant Slayer) | Nunu & Willump (Ionic Spark, Sunfire Cape, Spirit Visage) | Karma (Morellonomicon, Spear of Shojin, Void Staff) | Illaoi (Dragon's Claw, Gargoyle Stoneplate, Warmog's Armor) | Bard | Meepsie | Mordekaiser | Zoe | Leona"
A,Voyager Meepsie,6,Medium,4.43,0.04,7.2%,52.6%,Meepsie | Rammus | Karma | Pyke | The Mighty Mech | Aurora | Lissandra | Poppy,"Meepsie★ (Edge of Night, Jeweled Gauntlet, Hand Of Justice) | Rammus (Crownguard, Ionic Spark, Sunfire Cape) | Karma (Jeweled Gauntlet, Nashor's Tooth, Nashor's Tooth) | Pyke★ (Bloodthirster, Edge of Night, Infinity Edge) | The Mighty Mech | Aurora | Lissandra | Poppy"
A,Meeple Corki,,Easy,4.44,0.26,16.4%,49.0%,Corki | Rammus | Riven | Bard | Fizz | Gnar | Meepsie | Milio | Poppy,"Corki (Blue Buff, Deathblade, Last Whisper) | Rammus (Crownguard, Gargoyle Stoneplate, Sunfire Cape) | Riven (Bloodthirster, Sterak's Gage, Titan's Resolve) | Bard (Morellonomicon, Spear of Shojin, Void Staff) | Fizz | Gnar | Meepsie | Milio | Poppy"
A,Mecha Aurelion Sol,,Hard,4.45,0.87,15.5%,51.0%,Aurelion Sol | The Mighty Mech | Urgot | Tahm Kench | Bard | Fiora | Karma,"Aurelion Sol (Jeweled Gauntlet, Rabadon's Deathcap, Void Staff) | The Mighty Mech (Iceblast Armor, Gargoyle Stoneplate, Sterak's Gage) | Urgot (Last Whisper, Striker's Flail, Hand Of Justice) | Tahm Kench (Sunfire Cape, Spirit Visage, Warmog's Armor) | Bard | Fiora | Karma"
A,Fateweaver Twisted Fate Jax,5,Medium,4.48,0.27,8.7%,51.0%,Twisted Fate | Jax | Caitlyn | Aatrox | Corki | Riven | Milio | Talon,"Twisted Fate★ (Nashor's Tooth, Nashor's Tooth, Rabadon's Deathcap) | Jax★ (Crownguard, Protector's Vow, Gargoyle Stoneplate) | Caitlyn★ (Deathblade, Guinsoo's Rageblade, Giant Slayer) | Aatrox★ (Steadfast Heart, Sunfire Cape, Spirit Visage) | Corki | Riven | Milio | Talon★"
A,Space Groove Samira,7,Medium,4.49,0.15,13.0%,49.6%,Samira | Samira | Ornn | Ornn | Xayah | Nunu & Willump | Blitzcrank | Jax,"Samira★ (Deathblade, Infinity Edge, Spear of Shojin) | Samira | Ornn★ (Steadfast Heart, Sunfire Cape, Warmog's Armor) | Ornn | Xayah (Guinsoo's Rageblade, Last Whisper, Red Buff) | Nunu & Willump (Gargoyle Stoneplate, Spirit Visage, Warmog's Armor) | Blitzcrank | Jax"
B,Vanguard Teemo,5,Medium,4.51,0.13,7.6%,50.1%,Teemo | Leona | Nasus | LeBlanc | Blitzcrank | Nunu & Willump | Illaoi | Mordekaiser,"Teemo★ (Guinsoo's Rageblade, Hextech Gunblade, Giant Slayer) | Leona★ (Gargoyle Stoneplate, Gargoyle Stoneplate, Warmog's Armor) | Nasus★ (Bloodthirster, Guinsoo's Rageblade, Titan's Resolve) | LeBlanc (Guinsoo's Rageblade, Hextech Gunblade, Giant Slayer) | Blitzcrank | Nunu & Willump | Illaoi | Mordekaiser"
B,Space Groove Vex,,Hard,4.51,0.64,14.7%,50.1%,Vex | Nunu & Willump | Graves | Fiora | Blitzcrank | Morgana | Shen | Akali | Aatrox,"Vex (Guinsoo's Rageblade, Hextech Gunblade, Giant Slayer) | Nunu & Willump (Protector's Vow, Sunfire Cape, Warmog's Armor) | Graves (Giant Slayer, Quicksilver, Sterak's Gage) | Fiora (Bloodthirster, Edge of Night, Sterak's Gage) | Blitzcrank | Morgana | Shen | Akali | Aatrox"
B,Shepherd LeBlanc,,Easy,4.55,0.06,10.3%,48.6%,LeBlanc | The Mighty Mech | Sona | Karma | Illaoi | Meepsie | Leona | Lissandra,"LeBlanc (Guinsoo's Rageblade, Jeweled Gauntlet, Giant Slayer) | The Mighty Mech (Gargoyle Stoneplate, Steadfast Heart, Spirit Visage) | Sona (Red Buff, Spear of Shojin, Void Staff) | Karma (Shepherd Emblem, Morellonomicon, Void Staff) | Illaoi | Meepsie | Leona | Lissandra"
B,Mecha The Mighty Mech,,Medium,4.56,0.20,14.3%,48.3%,The Mighty Mech | Aurelion Sol | Master Yi | Urgot | Sona | Tahm Kench | Viktor | Pyke,"The Mighty Mech (Gargoyle Stoneplate, Sunfire Cape, Spirit Visage) | Aurelion Sol (Jeweled Gauntlet, Rabadon's Deathcap, Void Staff) | Master Yi (Bloodthirster, Edge of Night, Giant Slayer) | Urgot (Last Whisper, Striker's Flail, Hand Of Justice) | Sona | Tahm Kench | Viktor | Pyke"
B,Rogue Kai'Sa Fizz,7,Easy,4.59,0.21,8.5%,48.3%,Kai'Sa | Fizz | Ornn | Rhaast | Karma | Rammus | Riven | Meepsie,"Kai'Sa★ (Blue Buff, Infinity Edge, Striker's Flail) | Fizz★ (Jeweled Gauntlet, Nashor's Tooth, Hand Of Justice) | Ornn★ (Sunfire Cape, Spirit Visage, Evenshroud) | Rhaast★ (Dragon's Claw, Gargoyle Stoneplate, Warmog's Armor) | Karma | Rammus | Riven | Meepsie"
B,Meeple Corki The Mighty Mech,,Easy,4.59,0.03,14.7%,46.5%,Corki | The Mighty Mech | Rammus | Bard | Karma | Fizz | Gnar | Meepsie | Poppy,"Corki (Deathblade, Last Whisper, Striker's Flail) | The Mighty Mech (Meeple Emblem, Dragon's Claw, Warmog's Armor) | Rammus (Bramble Vest, Dragon's Claw, Gargoyle Stoneplate) | Bard (Jeweled Gauntlet, Rabadon's Deathcap, Spear of Shojin) | Karma | Fizz | Gnar | Meepsie | Poppy"
B,Bastion Rammus,,Hard,4.60,0.51,13.2%,48.0%,Rammus | Vex | Bard | Blitzcrank | Shen | The Mighty Mech | Karma | Meepsie | Mordekaiser,"Rammus (Bramble Vest, Dragon's Claw, Steadfast Heart) | Vex (Guinsoo's Rageblade, Giant Slayer, Void Staff) | Bard (Morellonomicon, Spear of Shojin, Void Staff) | Blitzcrank (Jeweled Gauntlet, Rabadon's Deathcap, Hand Of Justice) | Shen | The Mighty Mech | Karma | Meepsie | Mordekaiser"
B,Timebreaker Pyke,6,Medium,4.62,0.04,4.0%,49.0%,Pyke | Pantheon | Gwen | Milio | Corki | Riven | Gragas | Meepsie,"Pyke★ (Target-Lock Optics, Infinity Edge, Hand Of Justice) | Pantheon★ (Gargoyle Stoneplate, Steadfast Heart, Spirit Visage) | Gwen★ (Hextech Gunblade, Jeweled Gauntlet, Hand Of Justice) | Milio★ (Nashor's Tooth, Nashor's Tooth, Rabadon's Deathcap) | Corki | Riven | Gragas★ | Meepsie★"
B,Dark Star Karma,,Easy,4.65,0.03,10.3%,47.1%,Karma | Jhin | The Mighty Mech | Mordekaiser | Blitzcrank | Tahm Kench | Kai'Sa | Cho'Gath | Lissandra,"Karma (Blue Buff, Jeweled Gauntlet, Void Staff) | Jhin (Guinsoo's Rageblade, Infinity Edge, Giant Slayer) | The Mighty Mech (Gargoyle Stoneplate, Steadfast Heart, Warmog's Armor) | Mordekaiser (Gargoyle Stoneplate, Sunfire Cape, Warmog's Armor) | Blitzcrank | Tahm Kench | Kai'Sa | Cho'Gath | Lissandra"
B,Conduit Miss Fortune Viktor,7,Easy,4.69,0.10,5.7%,46.2%,Miss Fortune | Viktor | Ornn | Rhaast | Maokai | Gragas | Aatrox,"Miss Fortune★ (Infinity Edge, Giant Slayer, Striker's Flail) | Viktor★ (Drone Uplink, Archangel's Staff, Jeweled Gauntlet) | Ornn★ (Gargoyle Stoneplate, Sunfire Cape, Warmog's Armor) | Rhaast★ (Bramble Vest, Gargoyle Stoneplate, Warmog's Armor) | Maokai★ | Gragas | Aatrox"
C,Dark Star Nunu & Willump,,Easy,4.75,0.05,10.9%,45.2%,Nunu & Willump | Karma | Jhin | Xayah | Tahm Kench | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra,"Nunu & Willump (Gargoyle Stoneplate, Spirit Visage, Warmog's Armor) | Karma (Blue Buff, Jeweled Gauntlet, Rabadon's Deathcap) | Jhin (Guinsoo's Rageblade, Infinity Edge, Giant Slayer) | Xayah (Dark Star Emblem, Guinsoo's Rageblade, Kraken's Fury) | Tahm Kench | Kai'Sa | Mordekaiser | Cho'Gath | Lissandra"
C,Space Groove Nunu & Willump,,Easy,4.76,0.06,9.4%,44.6%,Nami | Nunu & Willump | Blitzcrank | Ornn | Illaoi | Samira | Gwen | Nasus | Teemo,"Nami (Anomaly, Jeweled Gauntlet, Spear of Shojin) | Nunu & Willump (Bramble Vest, Gargoyle Stoneplate, Warmog's Armor) | Blitzcrank (Jeweled Gauntlet, Rabadon's Deathcap, Hand Of Justice) | Ornn (Dragon's Claw, Gargoyle Stoneplate, Warmog's Armor) | Illaoi | Samira | Gwen | Nasus | Teemo"
