Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,1.65,-2.85,76.5%,34,0.0%,Jhin | Kindred | LeBlanc | Kai'Sa | Corki
Titanic Hydra,S,3.95,-0.55,16.5%,504,0.3%,Riven | Urgot | Fiora | Master Yi
Hellfire Hatchet,S,4.02,-0.48,14.3%,435,0.3%,Riven | Fiora | Master Yi
Ahri's Aura,S,4.06,-0.44,14.4%,1859,1.2%,Aurelion Sol | Karma | Nami | Viktor | Bard
Silvermere Dawn,S,4.10,-0.40,15.3%,816,0.5%,The Mighty Mech | Rammus
Death's Defiance,S,4.15,-0.35,15.6%,838,0.6%,Riven | Fiora | Master Yi
Horizon Focus,S,4.15,-0.35,17.2%,483,0.3%,Nunu & Willump | Maokai
Lightshield Crest,A,4.21,-0.29,13.9%,892,0.6%,Rammus | Ornn | Nunu & Willump | Tahm Kench
Ekko's Patience,A,4.23,-0.27,16.1%,1311,0.9%,Aurelion Sol | Karma | Viktor | Nami | Bard
Mogul's Mail,A,4.25,-0.25,14.8%,1852,1.2%,Rammus | The Mighty Mech | Ornn | Nunu & Willump | Maokai
Prowler's Claw,A,4.25,-0.25,12.6%,570,0.4%,Riven | Master Yi | Fiora | Akali
Statikk Shiv,A,4.25,-0.25,14.4%,715,0.5%,LeBlanc | Vex | Kindred
Flickerblades,A,4.26,-0.24,13.6%,1107,0.7%,Kindred | LeBlanc | Jhin | Xayah
Gold Collector,A,4.27,-0.23,16.0%,561,0.4%,Jhin | Kindred | Corki | Kai'Sa
Wit's End,A,4.28,-0.22,13.0%,675,0.5%,LeBlanc | Fizz | Vex
Void Gauntlet,B,4.30,-0.20,14.5%,732,0.5%,Rammus | Nunu & Willump | Ornn | Maokai
Blighting Jewel,B,4.31,-0.19,12.5%,695,0.5%,Karma | Viktor | Aurelion Sol | Nami
Infinity Force,B,4.33,-0.17,12.9%,1268,0.9%,Riven | Fiora | Master Yi
Cappa Juice,B,4.33,-0.17,13.9%,373,0.3%,Kindred | Jhin | Corki | Kai'Sa | LeBlanc
The Indomitable,B,4.34,-0.16,12.1%,1284,0.9%,Rammus | Nunu & Willump | Ornn | The Mighty Mech
Aegis of Dusk,B,4.38,-0.12,11.8%,844,0.6%,Rammus | Ornn | Nunu & Willump
Mittens,B,4.39,-0.11,13.2%,838,0.6%,Master Yi | Riven | Fiora
Evelynn's Instinct,B,4.40,-0.10,11.5%,1455,1.0%,Master Yi | Riven | Bel'Veth | Fizz | Fiora
Lich Bane,C,4.40,-0.10,11.0%,589,0.4%,Karma | LeBlanc | Fizz
Fishbones,C,4.40,-0.10,11.2%,570,0.4%,Kindred | Jhin | Corki | Kai'Sa
Zhonya's Paradox,C,4.41,-0.09,13.8%,724,0.5%,Fizz | Blitzcrank
Eternal Pact,C,4.44,-0.06,10.3%,613,0.4%,Karma | Nami
Rapid Firecannon,C,4.44,-0.06,12.6%,634,0.4%,Kindred | Master Yi | Jhin | Bel'Veth
Varus's Obsession,C,4.46,-0.04,11.1%,1554,1.0%,LeBlanc | Kindred | Corki | Jhin | Aurelion Sol
Soraka's Miracle,C,4.47,-0.03,12.0%,2194,1.5%,Rammus | Nunu & Willump | Ornn | The Mighty Mech | Illaoi
Seeker's Armguard,C,4.47,-0.03,14.8%,790,0.5%,Aurelion Sol | Fizz
Crown of Demacia,C,4.48,-0.02,10.0%,771,0.5%,Cho'Gath | Kai'Sa | Kindred
Aegis of Dawn,C,4.49,-0.01,9.4%,727,0.5%,Rammus | Ornn | Nunu & Willump | Tahm Kench
Hullcrusher,C,4.50,-0.00,11.9%,804,0.5%,The Mighty Mech | Rammus | Nunu & Willump
Sniper's Focus,D,4.51,+0.01,11.9%,776,0.5%,Kindred | Jhin | Corki | Kai'Sa | Xayah
Gambler's Blade,D,4.51,+0.01,10.5%,831,0.6%,Kindred | Jhin | Xayah | LeBlanc | Kai'Sa
Thresh's Lantern,D,4.51,+0.01,11.4%,1153,0.8%,Rammus | Ornn | Nunu & Willump | Maokai | Tahm Kench
Dawncore,D,4.52,+0.02,12.0%,656,0.4%,Karma | Nami | Bard
Yasuo's Bladework,D,4.64,+0.14,9.9%,831,0.6%,Kindred | Jhin | Master Yi | Xayah | Kai'Sa
Luden's Tempest,D,4.65,+0.15,9.7%,559,0.4%,Karma | Nami | Viktor | Aurelion Sol
Talisman Of Ascension,D,4.68,+0.18,10.5%,409,0.3%,Rammus | Cho'Gath | Ornn
Kayle's Exaltation,D,5.03,+0.53,7.2%,1074,0.7%,Kindred | Jhin | LeBlanc | Kai'Sa | Corki
