Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,1.81,-2.69,57.3%,150,0.0%,Jhin | Kindred | LeBlanc | Kai'Sa | Corki
Ahri's Aura,S,4.02,-0.48,15.4%,6117,1.2%,Aurelion Sol | Karma | Nami | Viktor | Bard
Titanic Hydra,S,4.06,-0.44,16.2%,1822,0.4%,Riven | Urgot | Fiora | Master Yi | Graves
Silvermere Dawn,S,4.11,-0.39,16.0%,2712,0.5%,The Mighty Mech | Rammus | Mordekaiser | Rhaast | Urgot
Death's Defiance,S,4.17,-0.33,15.5%,2774,0.5%,Riven | Fiora | Master Yi | Urgot | Bel'Veth
Lightshield Crest,A,4.21,-0.29,13.6%,3058,0.6%,Rammus | Ornn | Nunu & Willump | Illaoi | Tahm Kench
Ekko's Patience,A,4.21,-0.29,16.0%,4747,0.9%,Aurelion Sol | Viktor | Karma | Nami | Bard
Hellfire Hatchet,A,4.22,-0.28,14.0%,1555,0.3%,Riven | Fiora | Urgot | Master Yi | Bel'Veth
Mogul's Mail,A,4.23,-0.27,15.1%,6527,1.3%,The Mighty Mech | Rammus | Nunu & Willump | Ornn | Illaoi
Horizon Focus,A,4.27,-0.23,14.3%,1667,0.3%,Nunu & Willump | Maokai | Meepsie | Rhaast | Blitzcrank
Fishbones,A,4.29,-0.21,13.3%,2038,0.4%,Kindred | Jhin | Corki | Kai'Sa | Xayah
Gold Collector,A,4.30,-0.20,15.6%,1929,0.4%,Jhin | Kindred | Corki | Kai'Sa | Samira
Zhonya's Paradox,A,4.30,-0.20,14.0%,2400,0.5%,Aurelion Sol | Fizz | Blitzcrank | Morgana | Karma
Eternal Pact,B,4.30,-0.20,13.2%,2007,0.4%,Karma | Nami | Aurelion Sol | Viktor | Bard
Lich Bane,B,4.30,-0.20,11.5%,1950,0.4%,Karma | LeBlanc | Nami | Fizz | Twisted Fate
Mittens,B,4.31,-0.19,13.7%,2665,0.5%,Master Yi | Fiora | Riven | Bel'Veth | Graves
Infinity Force,B,4.31,-0.19,13.3%,4121,0.8%,Riven | Fiora | Master Yi | Urgot | Jhin
The Indomitable,B,4.32,-0.18,13.5%,4188,0.8%,Rammus | Nunu & Willump | The Mighty Mech | Ornn | Tahm Kench
Flickerblades,B,4.32,-0.18,12.5%,3775,0.7%,Kindred | LeBlanc | Xayah | Jhin | Vex
Statikk Shiv,B,4.33,-0.17,12.4%,2440,0.5%,LeBlanc | Vex | Kindred | Karma | Teemo
Void Gauntlet,B,4.33,-0.17,13.0%,2503,0.5%,Rammus | Nunu & Willump | Tahm Kench | Maokai | Ornn
Wit's End,B,4.35,-0.15,12.9%,2225,0.4%,LeBlanc | Fizz | Vex | Riven | Master Yi
Prowler's Claw,B,4.36,-0.14,11.7%,1837,0.4%,Riven | Master Yi | Fiora | Akali | Pyke
Hullcrusher,B,4.36,-0.14,12.0%,2709,0.5%,The Mighty Mech | Rammus | Nunu & Willump | Ornn | Illaoi
Aegis of Dusk,B,4.38,-0.12,12.5%,2815,0.6%,Rammus | Nunu & Willump | Ornn | Illaoi | The Mighty Mech
Blighting Jewel,B,4.39,-0.11,11.5%,2467,0.5%,Karma | Aurelion Sol | Viktor | Nami | LeBlanc
Evelynn's Instinct,B,4.39,-0.11,11.7%,4791,0.9%,Master Yi | Bel'Veth | Riven | Fizz | Fiora
Seeker's Armguard,B,4.39,-0.11,13.9%,2692,0.5%,Aurelion Sol | Fizz | Blitzcrank | Riven | Karma
Rapid Firecannon,C,4.42,-0.08,12.0%,2167,0.4%,Kindred | Master Yi | Jhin | Bel'Veth | Kai'Sa
Aegis of Dawn,C,4.43,-0.07,11.6%,2429,0.5%,Rammus | Ornn | Nunu & Willump | Tahm Kench | Illaoi
Cappa Juice,C,4.43,-0.07,13.1%,1413,0.3%,Kindred | Jhin | LeBlanc | Aurelion Sol | Kai'Sa
Soraka's Miracle,C,4.44,-0.06,11.7%,7553,1.5%,Rammus | Nunu & Willump | Ornn | The Mighty Mech | Illaoi
Crown of Demacia,C,4.46,-0.04,9.3%,2687,0.5%,Cho'Gath | LeBlanc | Kai'Sa | Aurelion Sol | Kindred
Gambler's Blade,C,4.46,-0.04,12.2%,2960,0.6%,Kindred | Jhin | LeBlanc | Xayah | Kai'Sa
Varus's Obsession,C,4.47,-0.03,11.6%,4997,1.0%,LeBlanc | Aurelion Sol | Kindred | Corki | Jhin
Luden's Tempest,C,4.48,-0.02,10.4%,1925,0.4%,Karma | Nami | Viktor | Aurelion Sol | Bard
Sniper's Focus,C,4.50,-0.00,11.3%,2629,0.5%,Kindred | Jhin | Corki | Kai'Sa | Xayah
Thresh's Lantern,D,4.52,+0.02,11.1%,4003,0.8%,Rammus | Ornn | Nunu & Willump | Maokai | Tahm Kench
Talisman Of Ascension,D,4.58,+0.08,11.3%,1483,0.3%,Rammus | Cho'Gath | The Mighty Mech | Ornn | Illaoi
Dawncore,D,4.58,+0.08,11.1%,2355,0.5%,Karma | Nami | Aurelion Sol | Bard | Viktor
Yasuo's Bladework,D,4.80,+0.30,8.5%,3060,0.6%,Kindred | Jhin | Master Yi | Xayah | Kai'Sa
Kayle's Exaltation,D,5.02,+0.52,6.6%,3881,0.8%,Kindred | Jhin | LeBlanc | Kai'Sa | Corki
