Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,1.85,-2.65,63.1%,179,0.0%,Vex | LeBlanc | Kindred | Aurelion Sol | Xayah
Ahri's Aura,S,4.08,-0.42,14.4%,5767,1.1%,Aurelion Sol | Nami | Karma | Viktor | Vex
Titanic Hydra,S,4.11,-0.39,16.9%,1747,0.3%,Urgot | Riven | Graves | Fiora | Master Yi
Infinity Force,S,4.16,-0.34,13.8%,4162,0.8%,Riven | Fiora | Master Yi | Akali | Urgot
Horizon Focus,S,4.17,-0.33,15.4%,1639,0.3%,Nunu & Willump | Maokai | Meepsie | Blitzcrank | Rhaast
Lightshield Crest,S,4.20,-0.30,14.3%,3228,0.6%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
The Indomitable,A,4.23,-0.27,14.3%,4183,0.8%,The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench | Illaoi
Mogul's Mail,A,4.24,-0.26,14.9%,4038,0.8%,The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench | Illaoi
Death's Defiance,A,4.28,-0.22,13.5%,2608,0.5%,Riven | Fiora | Master Yi | The Mighty Mech | Graves
Fishbones,A,4.29,-0.21,12.9%,2117,0.4%,Kindred | Xayah | Graves | Corki | Jhin
Gold Collector,A,4.29,-0.21,14.2%,2038,0.4%,Kindred | Corki | Graves | Jhin | Xayah
Hellfire Hatchet,A,4.29,-0.21,13.9%,1614,0.3%,Riven | Fiora | Master Yi | Graves | Urgot
Silvermere Dawn,A,4.30,-0.20,14.2%,2364,0.4%,The Mighty Mech | Nunu & Willump | Rammus | Rhaast | Riven
Ekko's Patience,A,4.30,-0.20,14.1%,4405,0.8%,Aurelion Sol | Viktor | Karma | Nami | Vex
Zhonya's Paradox,B,4.30,-0.20,14.2%,2366,0.4%,Aurelion Sol | Riven | LeBlanc | Blitzcrank | Fizz
Mittens,B,4.31,-0.19,13.6%,2587,0.5%,Master Yi | Riven | Fiora | Bel'Veth | Graves
Flickerblades,B,4.32,-0.18,12.9%,3863,0.7%,LeBlanc | Vex | Xayah | Kindred | Bel'Veth
Prowler's Claw,B,4.32,-0.18,12.3%,1902,0.4%,Riven | Fiora | Master Yi | Akali | Urgot
Gambler's Blade,B,4.33,-0.17,14.2%,3085,0.6%,Vex | LeBlanc | Xayah | Kindred | Karma
Statikk Shiv,B,4.33,-0.17,12.6%,2470,0.5%,LeBlanc | Vex | Kindred | Twisted Fate | Nami
Lich Bane,B,4.34,-0.16,12.0%,1929,0.4%,LeBlanc | Vex | Karma | Fizz | Riven
Eternal Pact,B,4.34,-0.16,13.4%,1943,0.4%,Aurelion Sol | Karma | Nami | Viktor | Bard
Wit's End,B,4.35,-0.15,13.4%,2194,0.4%,LeBlanc | Vex | Riven | Master Yi | Fizz
Rapid Firecannon,B,4.36,-0.14,12.1%,2250,0.4%,Master Yi | Bel'Veth | Graves | LeBlanc | Urgot
Hullcrusher,B,4.37,-0.13,12.4%,2518,0.5%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Cappa Juice,B,4.37,-0.13,14.0%,1492,0.3%,Aurelion Sol | LeBlanc | Vex | Kindred | Viktor
Void Gauntlet,B,4.37,-0.13,12.7%,2473,0.5%,Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus | Illaoi
Evelynn's Instinct,B,4.39,-0.11,11.2%,5218,1.0%,Bel'Veth | Riven | Master Yi | Fiora | Graves
Seeker's Armguard,C,4.41,-0.09,13.5%,2614,0.5%,Aurelion Sol | Riven | Blitzcrank | LeBlanc | Vex
Blighting Jewel,C,4.41,-0.09,12.0%,2234,0.4%,Aurelion Sol | Vex | Karma | Viktor | LeBlanc
Luden's Tempest,C,4.41,-0.09,11.5%,2009,0.4%,Karma | Nami | Aurelion Sol | Viktor | Twisted Fate
Aegis of Dusk,C,4.41,-0.09,12.2%,2752,0.5%,Nunu & Willump | The Mighty Mech | Illaoi | Tahm Kench | Rammus
Crown of Demacia,C,4.44,-0.06,9.7%,2824,0.5%,LeBlanc | Vex | Aurelion Sol | Kai'Sa | Xayah
Aegis of Dawn,C,4.46,-0.04,13.0%,2776,0.5%,Nunu & Willump | The Mighty Mech | Rammus | Tahm Kench | Illaoi
Soraka's Miracle,C,4.46,-0.04,12.0%,7401,1.4%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Talisman Of Ascension,C,4.48,-0.02,11.1%,1753,0.3%,Aurelion Sol | The Mighty Mech | Cho'Gath | Nunu & Willump | Blitzcrank
Varus's Obsession,C,4.49,-0.01,11.5%,4971,0.9%,Aurelion Sol | LeBlanc | Vex | Viktor | Kindred
Sniper's Focus,C,4.50,-0.00,11.7%,2698,0.5%,Aurelion Sol | Vex | Kindred | LeBlanc | Xayah
Dawncore,D,4.54,+0.04,11.8%,2502,0.5%,Nami | Karma | Aurelion Sol | Bard | Ezreal
Thresh's Lantern,D,4.61,+0.11,10.4%,4324,0.8%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Yasuo's Bladework,D,4.78,+0.28,8.4%,3527,0.7%,Kindred | Xayah | Graves | Master Yi | Bel'Veth
Kayle's Exaltation,D,4.99,+0.49,6.0%,4448,0.8%,Aurelion Sol | LeBlanc | Vex | Kindred | Xayah
