Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,1.97,-2.53,59.3%,528,0.0%,Vex | LeBlanc | Aurelion Sol | Xayah | Kindred
Titanic Hydra,S,4.07,-0.43,17.0%,4918,0.3%,Riven | Fiora | Urgot | Graves | Master Yi
Ahri's Aura,S,4.13,-0.37,14.1%,15739,1.1%,Aurelion Sol | Nami | Karma | Viktor | Vex
Horizon Focus,S,4.19,-0.31,15.3%,4718,0.3%,Nunu & Willump | Maokai | Meepsie | Rhaast | Blitzcrank
Lightshield Crest,S,4.20,-0.30,14.0%,9323,0.6%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Mogul's Mail,A,4.23,-0.27,14.4%,11206,0.8%,Nunu & Willump | The Mighty Mech | Rammus | Tahm Kench | Illaoi
Infinity Force,A,4.23,-0.27,13.5%,11579,0.8%,Riven | Fiora | Master Yi | Akali | Graves
Silvermere Dawn,A,4.26,-0.24,13.7%,6689,0.4%,The Mighty Mech | Nunu & Willump | Rammus | Rhaast | Riven
Death's Defiance,A,4.27,-0.23,14.5%,7397,0.5%,Riven | Fiora | Master Yi | The Mighty Mech | Graves
The Indomitable,A,4.27,-0.23,13.8%,12080,0.8%,The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench | Illaoi
Wit's End,A,4.28,-0.22,14.0%,6227,0.4%,LeBlanc | Vex | Riven | Master Yi | Fizz
Zhonya's Paradox,B,4.31,-0.19,14.3%,6571,0.4%,Aurelion Sol | Blitzcrank | Riven | LeBlanc | Fizz
Gold Collector,B,4.31,-0.19,14.0%,5942,0.4%,Corki | Kindred | Graves | Jhin | Xayah
Fishbones,B,4.31,-0.19,13.0%,6293,0.4%,Xayah | Kindred | Graves | Bel'Veth | Corki
Ekko's Patience,B,4.32,-0.18,14.1%,13707,0.9%,Aurelion Sol | Viktor | Zoe | Nami | Karma
Statikk Shiv,B,4.32,-0.18,13.0%,6898,0.5%,LeBlanc | Vex | Twisted Fate | Kindred | Nami
Gambler's Blade,B,4.32,-0.18,13.7%,8632,0.6%,Vex | LeBlanc | Xayah | Kindred | Bard
Flickerblades,B,4.33,-0.17,12.9%,11065,0.7%,Vex | LeBlanc | Xayah | Kindred | Bel'Veth
Mittens,B,4.33,-0.17,13.0%,7203,0.5%,Riven | Master Yi | Fiora | Bel'Veth | Graves
Lich Bane,B,4.34,-0.16,12.1%,5741,0.4%,Vex | LeBlanc | Karma | Fizz | Nami
Eternal Pact,B,4.34,-0.16,13.2%,5415,0.4%,Aurelion Sol | Karma | Nami | Viktor | Bard
Prowler's Claw,B,4.35,-0.15,12.6%,5363,0.4%,Riven | Fiora | Akali | Master Yi | Urgot
Hellfire Hatchet,B,4.38,-0.12,13.0%,4474,0.3%,Riven | Fiora | Graves | Master Yi | Urgot
Hullcrusher,B,4.38,-0.12,12.2%,7162,0.5%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Void Gauntlet,B,4.38,-0.12,12.5%,7021,0.5%,Nunu & Willump | Tahm Kench | The Mighty Mech | Rammus | Illaoi
Aegis of Dusk,B,4.40,-0.10,12.1%,8328,0.6%,Nunu & Willump | The Mighty Mech | Illaoi | Rammus | Tahm Kench
Evelynn's Instinct,B,4.40,-0.10,10.8%,15179,1.0%,Bel'Veth | Riven | Master Yi | Fiora | Graves
Rapid Firecannon,C,4.41,-0.09,11.7%,6446,0.4%,Bel'Veth | Master Yi | Graves | Xayah | LeBlanc
Cappa Juice,C,4.42,-0.08,14.0%,4231,0.3%,Aurelion Sol | LeBlanc | Vex | Kindred | Viktor
Seeker's Armguard,C,4.43,-0.07,13.2%,7364,0.5%,Aurelion Sol | Riven | Blitzcrank | Vex | LeBlanc
Aegis of Dawn,C,4.43,-0.07,12.4%,7950,0.5%,Nunu & Willump | The Mighty Mech | Rammus | Tahm Kench | Illaoi
Luden's Tempest,C,4.44,-0.06,11.1%,5919,0.4%,Twisted Fate | Karma | Viktor | Nami | Aurelion Sol
Crown of Demacia,C,4.44,-0.06,9.9%,7735,0.5%,LeBlanc | Vex | Aurelion Sol | Kai'Sa | Xayah
Blighting Jewel,C,4.45,-0.05,11.8%,6176,0.4%,Aurelion Sol | Vex | Karma | Viktor | LeBlanc
Soraka's Miracle,C,4.45,-0.05,12.0%,20937,1.4%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Sniper's Focus,C,4.48,-0.02,12.3%,7768,0.5%,Vex | Aurelion Sol | Kindred | Xayah | Jhin
Varus's Obsession,D,4.51,+0.01,10.8%,14206,1.0%,Aurelion Sol | LeBlanc | Vex | Viktor | Xayah
Talisman Of Ascension,D,4.52,+0.02,10.9%,4868,0.3%,Aurelion Sol | The Mighty Mech | Cho'Gath | Illaoi | Blitzcrank
Thresh's Lantern,D,4.56,+0.06,10.4%,12279,0.8%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Dawncore,D,4.57,+0.07,10.9%,7117,0.5%,Nami | Karma | Aurelion Sol | Ezreal | Twisted Fate
Yasuo's Bladework,D,4.81,+0.31,8.1%,10460,0.7%,Xayah | Kindred | Graves | Master Yi | Bel'Veth
Kayle's Exaltation,D,4.98,+0.48,6.6%,12828,0.9%,LeBlanc | Aurelion Sol | Vex | Kindred | Xayah
