Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,1.97,-2.53,57.1%,1439,0.0%,Vex | Xayah | Aurelion Sol | Kindred | LeBlanc
Titanic Hydra,S,4.07,-0.43,16.2%,12691,0.3%,Riven | Urgot | Fiora | Graves | Bel'Veth
Ahri's Aura,S,4.18,-0.32,13.3%,38182,1.0%,Aurelion Sol | Nami | Viktor | Karma | Vex
Lightshield Crest,A,4.21,-0.29,13.9%,24028,0.6%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Horizon Focus,A,4.23,-0.27,14.6%,12460,0.3%,Nunu & Willump | Maokai | Meepsie | Rhaast | Blitzcrank
Death's Defiance,A,4.23,-0.27,14.6%,18854,0.5%,Riven | Fiora | Master Yi | Akali | Graves
Mogul's Mail,A,4.26,-0.24,13.9%,28449,0.8%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Silvermere Dawn,A,4.27,-0.23,14.2%,16598,0.4%,The Mighty Mech | Nunu & Willump | Rammus | Rhaast | Riven
Infinity Force,A,4.27,-0.23,13.2%,28413,0.8%,Riven | Fiora | Bel'Veth | Akali | Master Yi
The Indomitable,A,4.27,-0.23,14.1%,31079,0.8%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Fishbones,A,4.29,-0.21,12.9%,17145,0.5%,Xayah | Bel'Veth | Kindred | Graves | Jhin
Ekko's Patience,A,4.30,-0.20,13.8%,38683,1.0%,Aurelion Sol | Zoe | Viktor | Nami | Karma
Zhonya's Paradox,B,4.30,-0.20,14.3%,16020,0.4%,Aurelion Sol | Blitzcrank | Riven | Fizz | LeBlanc
Wit's End,B,4.30,-0.20,13.1%,15458,0.4%,Vex | LeBlanc | Riven | Fizz | Bel'Veth
Gold Collector,B,4.31,-0.19,13.5%,15615,0.4%,Xayah | Jhin | Corki | Kindred | Graves
Eternal Pact,B,4.33,-0.17,13.4%,13595,0.4%,Aurelion Sol | Karma | Nami | Viktor | Bard
Mittens,B,4.34,-0.16,12.9%,18447,0.5%,Bel'Veth | Riven | Fiora | Master Yi | Graves
Statikk Shiv,B,4.34,-0.16,12.9%,17282,0.5%,Vex | LeBlanc | Teemo | Nami | Twisted Fate
Gambler's Blade,B,4.35,-0.15,13.1%,22141,0.6%,Vex | Xayah | LeBlanc | Kindred | Teemo
Flickerblades,B,4.36,-0.14,12.6%,28544,0.8%,Xayah | Vex | LeBlanc | Kindred | Bel'Veth
Void Gauntlet,B,4.36,-0.14,12.9%,17984,0.5%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Evelynn's Instinct,B,4.37,-0.13,10.6%,41817,1.1%,Bel'Veth | Riven | Master Yi | Fiora | Fizz
Lich Bane,B,4.37,-0.13,11.5%,14704,0.4%,Vex | Fizz | LeBlanc | Karma | Nami
Hellfire Hatchet,B,4.37,-0.13,13.2%,11476,0.3%,Riven | Fiora | Urgot | Graves | Master Yi
Cappa Juice,B,4.38,-0.12,13.6%,10720,0.3%,Aurelion Sol | Vex | Xayah | LeBlanc | Viktor
Prowler's Claw,B,4.38,-0.12,11.7%,13774,0.4%,Riven | Fiora | Akali | Master Yi | Urgot
Hullcrusher,B,4.40,-0.10,12.5%,17766,0.5%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Aegis of Dusk,C,4.42,-0.08,11.9%,21255,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Aegis of Dawn,C,4.42,-0.08,11.9%,21285,0.6%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Luden's Tempest,C,4.44,-0.06,10.7%,15441,0.4%,Twisted Fate | Nami | Karma | Viktor | Aurelion Sol
Seeker's Armguard,C,4.45,-0.05,12.5%,18308,0.5%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Soraka's Miracle,C,4.45,-0.05,12.0%,54731,1.5%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Rapid Firecannon,C,4.45,-0.05,11.2%,16926,0.5%,Bel'Veth | Master Yi | Xayah | Graves | Urgot
Blighting Jewel,C,4.46,-0.04,11.6%,15729,0.4%,Aurelion Sol | Vex | Viktor | Karma | Nami
Crown of Demacia,C,4.47,-0.03,9.6%,18749,0.5%,LeBlanc | Vex | Xayah | Kai'Sa | Cho'Gath
Varus's Obsession,C,4.49,-0.01,10.7%,35467,1.0%,Aurelion Sol | Vex | LeBlanc | Xayah | Viktor
Thresh's Lantern,D,4.50,+0.00,10.9%,31336,0.8%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Sniper's Focus,D,4.51,+0.01,12.0%,20603,0.6%,Vex | Xayah | Kindred | Jhin | Aurelion Sol
Talisman Of Ascension,D,4.55,+0.05,10.4%,12894,0.3%,Cho'Gath | The Mighty Mech | Aurelion Sol | Illaoi | Nunu & Willump
Dawncore,D,4.60,+0.10,10.7%,18973,0.5%,Nami | Karma | Ezreal | Aurelion Sol | Twisted Fate
Yasuo's Bladework,D,4.78,+0.28,8.5%,27506,0.7%,Xayah | Kindred | Graves | Bel'Veth | Master Yi
Kayle's Exaltation,D,4.98,+0.48,6.3%,33553,0.9%,Vex | LeBlanc | Xayah | Aurelion Sol | Kindred
