Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,1.96,-2.54,57.2%,1811,0.0%,Vex | Xayah | Kindred | Aurelion Sol | Jhin
Titanic Hydra,S,4.07,-0.43,15.9%,15684,0.4%,Urgot | Riven | Fiora | Graves | Bel'Veth
Ahri's Aura,S,4.19,-0.31,13.0%,45154,1.0%,Aurelion Sol | Nami | Viktor | Karma | Vex
Death's Defiance,A,4.22,-0.28,14.2%,22775,0.5%,Riven | Fiora | Master Yi | Akali | Urgot
Lightshield Crest,A,4.23,-0.27,13.9%,29379,0.7%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | The Mighty Mech
Horizon Focus,A,4.24,-0.26,14.9%,15308,0.3%,Nunu & Willump | Maokai | Meepsie | Rhaast | Blitzcrank
Infinity Force,A,4.24,-0.26,13.3%,33940,0.8%,Riven | Fiora | Bel'Veth | Akali | Master Yi
The Indomitable,A,4.27,-0.23,14.2%,37444,0.8%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Ekko's Patience,A,4.28,-0.22,13.7%,48541,1.1%,Aurelion Sol | Zoe | Viktor | Nami | Karma
Silvermere Dawn,A,4.28,-0.22,14.1%,19657,0.4%,The Mighty Mech | Nunu & Willump | Rammus | Rhaast | Riven
Mogul's Mail,A,4.28,-0.22,13.7%,34210,0.8%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Zhonya's Paradox,A,4.28,-0.22,14.2%,18889,0.4%,Aurelion Sol | Blitzcrank | Riven | Fizz | Vex
Gold Collector,A,4.30,-0.20,13.7%,19026,0.4%,Xayah | Jhin | Corki | Graves | Kindred
Fishbones,B,4.31,-0.19,12.7%,21211,0.5%,Xayah | Bel'Veth | Kindred | Jhin | Graves
Wit's End,B,4.32,-0.18,12.9%,18443,0.4%,Vex | LeBlanc | Riven | Fizz | Teemo
Mittens,B,4.33,-0.17,13.2%,22290,0.5%,Bel'Veth | Riven | Fiora | Master Yi | Graves
Eternal Pact,B,4.33,-0.17,13.0%,16333,0.4%,Aurelion Sol | Karma | Nami | Viktor | Bard
Statikk Shiv,B,4.34,-0.16,12.7%,20712,0.5%,Vex | LeBlanc | Teemo | Nami | Twisted Fate
Hellfire Hatchet,B,4.35,-0.15,13.4%,14133,0.3%,Riven | Fiora | Urgot | Graves | Bel'Veth
Gambler's Blade,B,4.36,-0.14,13.0%,26665,0.6%,Vex | Xayah | LeBlanc | Kindred | Teemo
Void Gauntlet,B,4.36,-0.14,12.9%,21831,0.5%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Evelynn's Instinct,B,4.36,-0.14,10.5%,51942,1.2%,Bel'Veth | Riven | Fiora | Master Yi | Fizz
Prowler's Claw,B,4.37,-0.13,11.7%,17039,0.4%,Riven | Fiora | Akali | Urgot | Master Yi
Lich Bane,B,4.38,-0.12,11.3%,17539,0.4%,Vex | Fizz | Nami | Karma | LeBlanc
Flickerblades,B,4.38,-0.12,12.6%,34558,0.8%,Xayah | Vex | LeBlanc | Bel'Veth | Kindred
Cappa Juice,B,4.38,-0.12,13.3%,13176,0.3%,Aurelion Sol | Vex | Xayah | Viktor | LeBlanc
Hullcrusher,C,4.40,-0.10,12.5%,21242,0.5%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Aegis of Dawn,C,4.43,-0.07,11.8%,26528,0.6%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Aegis of Dusk,C,4.44,-0.06,11.8%,25441,0.6%,Nunu & Willump | Rammus | The Mighty Mech | Illaoi | Tahm Kench
Seeker's Armguard,C,4.44,-0.06,12.4%,22106,0.5%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Rapid Firecannon,C,4.45,-0.05,11.1%,20660,0.5%,Bel'Veth | Master Yi | Xayah | Graves | Urgot
Soraka's Miracle,C,4.45,-0.05,11.8%,66766,1.5%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Luden's Tempest,C,4.45,-0.05,10.5%,19071,0.4%,Twisted Fate | Nami | Karma | Viktor | Aurelion Sol
Blighting Jewel,C,4.46,-0.04,11.9%,18939,0.4%,Aurelion Sol | Vex | Viktor | Karma | Nami
Crown of Demacia,C,4.48,-0.02,9.6%,22013,0.5%,Xayah | Vex | LeBlanc | Kai'Sa | Cho'Gath
Varus's Obsession,C,4.49,-0.01,10.7%,42010,0.9%,Aurelion Sol | Vex | Xayah | LeBlanc | Teemo
Sniper's Focus,D,4.50,+0.00,11.7%,25124,0.6%,Xayah | Vex | Kindred | Jhin | Aurelion Sol
Thresh's Lantern,D,4.51,+0.01,10.9%,38055,0.8%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Talisman Of Ascension,D,4.55,+0.05,10.1%,16133,0.4%,Cho'Gath | The Mighty Mech | Aurelion Sol | Nunu & Willump | Illaoi
Dawncore,D,4.58,+0.08,10.7%,23307,0.5%,Nami | Karma | Ezreal | Aurelion Sol | Veigar
Yasuo's Bladework,D,4.77,+0.27,8.7%,33718,0.8%,Xayah | Kindred | Bel'Veth | Graves | Master Yi
Kayle's Exaltation,D,4.98,+0.48,6.2%,41725,0.9%,Vex | Xayah | LeBlanc | Aurelion Sol | Kindred
