Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,1.97,-2.53,56.9%,2218,0.0%,Vex | Aurelion Sol | Jhin | LeBlanc | Xayah
Titanic Hydra,S,4.08,-0.42,15.6%,18640,0.4%,Urgot | Graves | Fiora | Bel'Veth | Riven
Ahri's Aura,S,4.19,-0.31,13.2%,51133,1.0%,Aurelion Sol | Nami | Karma | Viktor | Twisted Fate
Death's Defiance,A,4.21,-0.29,14.2%,26340,0.5%,Riven | Fiora | Urgot | Master Yi | Akali
Lightshield Crest,A,4.22,-0.28,14.1%,34361,0.7%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Horizon Focus,A,4.23,-0.27,15.3%,17999,0.3%,Nunu & Willump | Maokai | Rhaast | Meepsie | Blitzcrank
Infinity Force,A,4.24,-0.26,13.3%,39628,0.8%,Riven | Akali | Urgot | Fiora | Bel'Veth
Zhonya's Paradox,A,4.24,-0.26,14.5%,21416,0.4%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
The Indomitable,A,4.26,-0.24,14.2%,43313,0.8%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Silvermere Dawn,A,4.27,-0.23,14.1%,22558,0.4%,The Mighty Mech | Nunu & Willump | Urgot | Rammus | Rhaast
Ekko's Patience,A,4.29,-0.21,13.6%,57092,1.1%,Aurelion Sol | Zoe | Viktor | Karma | Nami
Mogul's Mail,A,4.29,-0.21,13.5%,39359,0.8%,Nunu & Willump | Rammus | The Mighty Mech | Leona | Illaoi
Gold Collector,B,4.30,-0.20,13.9%,22556,0.4%,Xayah | Urgot | Jhin | Graves | Kai'Sa
Wit's End,B,4.31,-0.19,12.8%,20970,0.4%,Vex | LeBlanc | Riven | Teemo | Fizz
Prowler's Claw,B,4.31,-0.19,12.5%,21052,0.4%,Urgot | Akali | Fiora | Riven | Master Yi
Fishbones,B,4.32,-0.18,12.7%,24871,0.5%,Xayah | Bel'Veth | Kindred | Urgot | Kai'Sa
Mittens,B,4.32,-0.18,13.1%,25839,0.5%,Bel'Veth | Urgot | Riven | Master Yi | Fiora
Eternal Pact,B,4.33,-0.17,12.7%,19204,0.4%,Aurelion Sol | Nami | Karma | Bard | Viktor
Lich Bane,B,4.34,-0.16,11.6%,20082,0.4%,Karma | Vex | Nami | Fizz | Twisted Fate
Statikk Shiv,B,4.34,-0.16,12.4%,23979,0.5%,Vex | LeBlanc | Teemo | Nami | Karma
Evelynn's Instinct,B,4.36,-0.14,10.4%,60958,1.2%,Bel'Veth | Riven | Master Yi | Urgot | Fiora
Cappa Juice,B,4.36,-0.14,13.3%,15254,0.3%,Aurelion Sol | Xayah | Vex | Kindred | LeBlanc
Void Gauntlet,B,4.37,-0.13,12.8%,25394,0.5%,Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus | Illaoi
Hellfire Hatchet,B,4.37,-0.13,12.9%,16683,0.3%,Urgot | Fiora | Riven | Graves | Master Yi
Gambler's Blade,B,4.37,-0.13,12.8%,30859,0.6%,Vex | Xayah | LeBlanc | Teemo | Kindred
Hullcrusher,C,4.40,-0.10,12.4%,24532,0.5%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Flickerblades,C,4.40,-0.10,12.2%,40274,0.8%,Xayah | Vex | Bel'Veth | LeBlanc | Kindred
Aegis of Dawn,C,4.42,-0.08,11.8%,31364,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Tahm Kench | Illaoi
Aegis of Dusk,C,4.43,-0.07,11.8%,29638,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Soraka's Miracle,C,4.44,-0.06,11.9%,77523,1.5%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Jax
Seeker's Armguard,C,4.44,-0.06,12.3%,25690,0.5%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Blighting Jewel,C,4.45,-0.05,11.8%,21771,0.4%,Aurelion Sol | Nami | Vex | Karma | Viktor
Rapid Firecannon,C,4.45,-0.05,11.4%,24198,0.5%,Bel'Veth | Master Yi | Xayah | Urgot | Graves
Luden's Tempest,C,4.47,-0.03,10.1%,22327,0.4%,Twisted Fate | Nami | Karma | Viktor | Aurelion Sol
Crown of Demacia,C,4.49,-0.01,9.7%,25043,0.5%,Xayah | Vex | Teemo | Kai'Sa | LeBlanc
Varus's Obsession,D,4.51,+0.01,10.6%,48294,0.9%,Aurelion Sol | Vex | Teemo | Xayah | LeBlanc
Sniper's Focus,D,4.51,+0.01,11.4%,28995,0.6%,Xayah | Vex | Kindred | Aurelion Sol | Jhin
Thresh's Lantern,D,4.52,+0.02,11.0%,44282,0.9%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Talisman Of Ascension,D,4.56,+0.06,10.2%,19461,0.4%,Aurelion Sol | Cho'Gath | The Mighty Mech | Urgot | Blitzcrank
Dawncore,D,4.57,+0.07,10.6%,26743,0.5%,Nami | Karma | Aurelion Sol | Ezreal | Veigar
Yasuo's Bladework,D,4.76,+0.26,8.6%,39825,0.8%,Xayah | Urgot | Kindred | Bel'Veth | Graves
Kayle's Exaltation,D,4.97,+0.47,6.1%,49339,1.0%,Xayah | Vex | Aurelion Sol | LeBlanc | Kindred
