Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,1.99,-2.51,56.6%,2550,0.0%,Vex | Aurelion Sol | Xayah | LeBlanc | Jhin
Titanic Hydra,S,4.10,-0.40,15.1%,22102,0.4%,Urgot | Bel'Veth | Graves | Fiora | Riven
Ahri's Aura,S,4.19,-0.31,13.2%,56731,1.0%,Aurelion Sol | Nami | Karma | Viktor | Twisted Fate
Death's Defiance,S,4.20,-0.30,14.2%,29923,0.5%,Riven | Urgot | Fiora | Master Yi | Akali
Lightshield Crest,A,4.21,-0.29,14.2%,38971,0.7%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Horizon Focus,A,4.23,-0.27,15.6%,20489,0.4%,Nunu & Willump | Maokai | Rhaast | Meepsie | Blitzcrank
Infinity Force,A,4.24,-0.26,13.3%,45042,0.8%,Urgot | Riven | Akali | Fiora | Bel'Veth
Prowler's Claw,A,4.24,-0.26,13.7%,26213,0.5%,Urgot | Akali | Fiora | Riven | Master Yi
Zhonya's Paradox,A,4.25,-0.25,14.6%,23887,0.4%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Silvermere Dawn,A,4.25,-0.25,14.1%,25566,0.4%,The Mighty Mech | Urgot | Nunu & Willump | Rhaast | Rammus
The Indomitable,A,4.27,-0.23,14.1%,48417,0.8%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Maokai
Gold Collector,A,4.27,-0.23,14.2%,26307,0.5%,Urgot | Xayah | Jhin | Kai'Sa | Graves
Mogul's Mail,A,4.28,-0.22,13.7%,44012,0.8%,Nunu & Willump | Rammus | The Mighty Mech | Leona | Illaoi
Ekko's Patience,A,4.30,-0.20,13.5%,63737,1.1%,Aurelion Sol | Zoe | Viktor | Nami | Karma
Fishbones,B,4.31,-0.19,12.8%,28454,0.5%,Xayah | Bel'Veth | Urgot | Kindred | Kai'Sa
Wit's End,B,4.33,-0.17,12.7%,23254,0.4%,Vex | LeBlanc | Riven | Teemo | Fizz
Mittens,B,4.33,-0.17,13.1%,29280,0.5%,Bel'Veth | Urgot | Riven | Master Yi | Fiora
Statikk Shiv,B,4.34,-0.16,12.3%,26754,0.5%,Vex | LeBlanc | Teemo | Nami | Karma
Eternal Pact,B,4.34,-0.16,12.4%,21969,0.4%,Aurelion Sol | Nami | Karma | Viktor | Bard
Lich Bane,B,4.34,-0.16,11.9%,22534,0.4%,Karma | Fizz | Vex | Nami | Twisted Fate
Evelynn's Instinct,B,4.35,-0.15,10.2%,71723,1.2%,Bel'Veth | Urgot | Riven | Master Yi | Fiora
Void Gauntlet,B,4.36,-0.14,12.9%,28774,0.5%,Nunu & Willump | The Mighty Mech | Rammus | Tahm Kench | Maokai
Hellfire Hatchet,B,4.37,-0.13,12.5%,19305,0.3%,Urgot | Fiora | Riven | Graves | Bel'Veth
Gambler's Blade,B,4.37,-0.13,12.8%,34562,0.6%,Vex | Xayah | Teemo | LeBlanc | Kindred
Cappa Juice,B,4.38,-0.12,13.3%,17135,0.3%,Aurelion Sol | Xayah | Vex | Kindred | Nami
Hullcrusher,B,4.39,-0.11,12.7%,27758,0.5%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Aegis of Dawn,C,4.40,-0.10,12.2%,36026,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Tahm Kench | Maokai
Flickerblades,C,4.41,-0.09,12.1%,45323,0.8%,Xayah | Vex | Bel'Veth | LeBlanc | Kindred
Aegis of Dusk,C,4.42,-0.08,11.8%,33474,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Soraka's Miracle,C,4.43,-0.07,12.0%,87337,1.5%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Jax
Rapid Firecannon,C,4.43,-0.07,11.6%,27832,0.5%,Bel'Veth | Urgot | Master Yi | Xayah | Graves
Seeker's Armguard,C,4.45,-0.05,12.3%,28726,0.5%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Blighting Jewel,C,4.46,-0.04,11.4%,24509,0.4%,Aurelion Sol | Nami | Karma | Vex | Viktor
Luden's Tempest,C,4.48,-0.02,9.9%,25342,0.4%,Twisted Fate | Nami | Karma | Viktor | Aurelion Sol
Crown of Demacia,C,4.48,-0.02,9.8%,27523,0.5%,Xayah | Teemo | Vex | Kai'Sa | Twisted Fate
Sniper's Focus,D,4.51,+0.01,11.3%,32404,0.6%,Xayah | Vex | Jhin | Kindred | Aurelion Sol
Varus's Obsession,D,4.51,+0.01,10.6%,53350,0.9%,Aurelion Sol | Teemo | Vex | Xayah | LeBlanc
Thresh's Lantern,D,4.52,+0.02,10.9%,49964,0.9%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Talisman Of Ascension,D,4.55,+0.05,10.3%,22416,0.4%,Cho'Gath | Aurelion Sol | The Mighty Mech | Urgot | Nunu & Willump
Dawncore,D,4.58,+0.08,10.3%,30106,0.5%,Nami | Karma | Ezreal | Aurelion Sol | Veigar
Yasuo's Bladework,D,4.75,+0.25,8.7%,46193,0.8%,Urgot | Xayah | Kindred | Bel'Veth | Graves
Kayle's Exaltation,D,4.97,+0.47,6.1%,56410,1.0%,Xayah | Vex | Aurelion Sol | LeBlanc | Kindred
