Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,2.00,-2.50,56.3%,2823,0.0%,Vex | Xayah | Aurelion Sol | Teemo | Twisted Fate
Titanic Hydra,S,4.10,-0.40,15.0%,25660,0.4%,Urgot | Bel'Veth | Graves | Fiora | Riven
Prowler's Claw,S,4.18,-0.32,14.6%,32301,0.5%,Urgot | Riven | Akali | Fiora | Master Yi
Death's Defiance,S,4.19,-0.31,14.3%,33422,0.5%,Urgot | Riven | Fiora | Master Yi | Akali
Ahri's Aura,S,4.20,-0.30,13.1%,61542,1.0%,Aurelion Sol | Nami | Viktor | Karma | Aurora
Horizon Focus,A,4.21,-0.29,16.0%,23112,0.4%,Nunu & Willump | Maokai | Rhaast | Meepsie | Jax
Lightshield Crest,A,4.21,-0.29,14.2%,42929,0.7%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Infinity Force,A,4.23,-0.27,13.3%,50596,0.8%,Urgot | Riven | Bel'Veth | Akali | Fiora
The Indomitable,A,4.25,-0.25,14.2%,52690,0.8%,The Mighty Mech | Nunu & Willump | Rammus | Maokai | Illaoi
Zhonya's Paradox,A,4.25,-0.25,14.7%,25911,0.4%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Silvermere Dawn,A,4.26,-0.24,14.1%,28336,0.4%,The Mighty Mech | Urgot | Nunu & Willump | Rhaast | Rammus
Gold Collector,A,4.26,-0.24,14.6%,29649,0.5%,Urgot | Xayah | Jhin | Kai'Sa | Graves
Mogul's Mail,A,4.28,-0.22,13.8%,47785,0.8%,Nunu & Willump | Rammus | The Mighty Mech | Leona | Illaoi
Fishbones,A,4.29,-0.21,13.1%,31916,0.5%,Xayah | Urgot | Bel'Veth | Kindred | Kai'Sa
Ekko's Patience,B,4.32,-0.18,13.2%,68219,1.1%,Aurelion Sol | Zoe | Viktor | Nami | Karma
Mittens,B,4.32,-0.18,12.9%,32593,0.5%,Urgot | Bel'Veth | Riven | Fiora | Master Yi
Eternal Pact,B,4.32,-0.18,12.6%,24253,0.4%,Aurelion Sol | Nami | Karma | Aurora | Viktor
Wit's End,B,4.33,-0.17,12.5%,25348,0.4%,Vex | Riven | LeBlanc | Teemo | Fizz
Lich Bane,B,4.33,-0.17,11.7%,24912,0.4%,Fizz | Karma | Vex | Nami | Twisted Fate
Evelynn's Instinct,B,4.35,-0.15,10.2%,83426,1.3%,Bel'Veth | Urgot | Riven | Master Yi | Fiora
Void Gauntlet,B,4.35,-0.15,13.0%,31807,0.5%,Nunu & Willump | The Mighty Mech | Maokai | Tahm Kench | Rammus
Statikk Shiv,B,4.36,-0.14,12.2%,29074,0.5%,Vex | LeBlanc | Teemo | Nami | Karma
Gambler's Blade,B,4.37,-0.13,12.7%,37730,0.6%,Vex | Xayah | Teemo | LeBlanc | Kindred
Hullcrusher,B,4.37,-0.13,12.9%,30501,0.5%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Maokai
Hellfire Hatchet,B,4.37,-0.13,12.0%,22028,0.3%,Urgot | Fiora | Riven | Graves | Master Yi
Aegis of Dawn,B,4.38,-0.12,12.4%,40027,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Maokai | Tahm Kench
Cappa Juice,B,4.38,-0.12,13.3%,18618,0.3%,Aurelion Sol | Xayah | Vex | Jhin | Kai'Sa
Flickerblades,C,4.40,-0.10,12.0%,50006,0.8%,Xayah | Vex | Bel'Veth | LeBlanc | Kindred
Soraka's Miracle,C,4.42,-0.08,12.2%,96571,1.5%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Jax
Aegis of Dusk,C,4.43,-0.07,11.9%,36879,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Rapid Firecannon,C,4.43,-0.07,11.7%,31472,0.5%,Bel'Veth | Urgot | Master Yi | Xayah | Graves
Blighting Jewel,C,4.44,-0.06,11.0%,26880,0.4%,Aurelion Sol | Nami | Karma | Vex | Viktor
Seeker's Armguard,C,4.45,-0.05,12.2%,30923,0.5%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Luden's Tempest,C,4.46,-0.04,9.9%,28014,0.4%,Twisted Fate | Nami | Karma | Viktor | Aurora
Crown of Demacia,C,4.48,-0.02,9.9%,29367,0.5%,Xayah | Teemo | Vex | Kai'Sa | Twisted Fate
Varus's Obsession,C,4.50,-0.00,10.6%,57895,0.9%,Aurelion Sol | Teemo | Vex | Xayah | Twisted Fate
Thresh's Lantern,D,4.50,+0.00,11.0%,54863,0.9%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Sniper's Focus,D,4.51,+0.01,11.4%,35471,0.6%,Xayah | Jhin | Vex | Kindred | Aurelion Sol
Talisman Of Ascension,D,4.55,+0.05,10.6%,24922,0.4%,The Mighty Mech | Cho'Gath | Urgot | Aurelion Sol | Nunu & Willump
Dawncore,D,4.59,+0.09,10.2%,32686,0.5%,Nami | Karma | Aurora | Ezreal | Aurelion Sol
Yasuo's Bladework,D,4.74,+0.24,8.8%,52277,0.8%,Urgot | Xayah | Bel'Veth | Kindred | Graves
Kayle's Exaltation,D,4.97,+0.47,6.1%,61632,1.0%,Xayah | Vex | Aurelion Sol | Teemo | Kindred
