Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,2.02,-2.48,55.4%,2996,0.0%,Vex | Xayah | Jhin | Aurelion Sol | Teemo
Titanic Hydra,S,4.10,-0.40,14.8%,29666,0.4%,Urgot | Bel'Veth | Graves | Fiora | Riven
Prowler's Claw,S,4.13,-0.37,15.1%,38496,0.6%,Urgot | Riven | Fiora | Akali | Master Yi
Death's Defiance,S,4.19,-0.31,14.2%,36993,0.5%,Urgot | Riven | Fiora | Briar | Master Yi
Lightshield Crest,A,4.20,-0.30,14.3%,46901,0.7%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Ahri's Aura,A,4.21,-0.29,13.0%,67186,1.0%,Aurelion Sol | Nami | Viktor | Karma | Aurora
Horizon Focus,A,4.23,-0.27,15.8%,25597,0.4%,Nunu & Willump | Maokai | Rhaast | Meepsie | Jax
Infinity Force,A,4.23,-0.27,13.3%,56494,0.8%,Urgot | Bel'Veth | Riven | Fiora | Briar
Gold Collector,A,4.24,-0.26,14.7%,33048,0.5%,Urgot | Xayah | Jhin | Kai'Sa | Kindred
The Indomitable,A,4.25,-0.25,14.4%,57487,0.8%,Nunu & Willump | The Mighty Mech | Rammus | Maokai | Illaoi
Zhonya's Paradox,A,4.26,-0.24,14.4%,27779,0.4%,Aurelion Sol | Riven | Blitzcrank | Fizz | Aurora
Mogul's Mail,A,4.26,-0.24,13.8%,51881,0.8%,Nunu & Willump | Rammus | The Mighty Mech | Leona | Illaoi
Silvermere Dawn,A,4.27,-0.23,14.1%,30809,0.4%,The Mighty Mech | Urgot | Nunu & Willump | Rhaast | Rammus
Fishbones,A,4.27,-0.23,13.3%,35707,0.5%,Urgot | Xayah | Bel'Veth | Kindred | Kai'Sa
Ekko's Patience,B,4.31,-0.19,13.2%,72267,1.0%,Aurelion Sol | Zoe | Viktor | Nami | Karma
Eternal Pact,B,4.32,-0.18,12.6%,26367,0.4%,Aurelion Sol | Karma | Nami | Aurora | Viktor
Mittens,B,4.33,-0.17,12.5%,35975,0.5%,Urgot | Bel'Veth | Riven | Master Yi | Fiora
Void Gauntlet,B,4.34,-0.16,13.3%,34686,0.5%,Nunu & Willump | The Mighty Mech | Maokai | Rammus | Tahm Kench
Wit's End,B,4.34,-0.16,12.2%,27612,0.4%,Vex | Teemo | Riven | LeBlanc | Bel'Veth
Evelynn's Instinct,B,4.35,-0.15,10.2%,95927,1.4%,Bel'Veth | Urgot | Riven | Master Yi | Fiora
Lich Bane,B,4.36,-0.14,11.5%,27267,0.4%,Fizz | Karma | Vex | Twisted Fate | Nami
Statikk Shiv,B,4.36,-0.14,12.2%,31403,0.5%,Vex | Teemo | LeBlanc | Nami | Kindred
Aegis of Dawn,B,4.37,-0.13,12.5%,44341,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Maokai | Tahm Kench
Hellfire Hatchet,B,4.37,-0.13,11.8%,24973,0.4%,Urgot | Briar | Riven | Fiora | Bel'Veth
Gambler's Blade,B,4.38,-0.12,12.5%,40919,0.6%,Vex | Xayah | Teemo | LeBlanc | Kindred
Hullcrusher,B,4.38,-0.12,12.8%,32934,0.5%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Maokai
Flickerblades,B,4.39,-0.11,12.1%,54479,0.8%,Xayah | Vex | Bel'Veth | Kindred | Teemo
Cappa Juice,C,4.40,-0.10,13.3%,20397,0.3%,Aurelion Sol | Xayah | Vex | Jhin | Aurora
Soraka's Miracle,C,4.42,-0.08,12.2%,106495,1.5%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Jax
Aegis of Dusk,C,4.42,-0.08,12.1%,40208,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Blighting Jewel,C,4.43,-0.07,11.2%,29326,0.4%,Aurelion Sol | Karma | Nami | Viktor | Vex
Rapid Firecannon,C,4.44,-0.06,11.6%,35523,0.5%,Bel'Veth | Urgot | Master Yi | Xayah | Graves
Luden's Tempest,C,4.45,-0.05,10.2%,30960,0.4%,Twisted Fate | Aurora | Nami | Karma | Viktor
Seeker's Armguard,C,4.49,-0.01,12.0%,33431,0.5%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Varus's Obsession,C,4.49,-0.01,10.7%,62343,0.9%,Aurelion Sol | Teemo | Xayah | Vex | Twisted Fate
Thresh's Lantern,C,4.50,-0.00,10.9%,59478,0.9%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Crown of Demacia,D,4.50,+0.00,9.7%,31484,0.5%,Xayah | Teemo | Vex | Kai'Sa | Twisted Fate
Sniper's Focus,D,4.51,+0.01,11.5%,38888,0.6%,Xayah | Jhin | Kindred | Vex | Kai'Sa
Talisman Of Ascension,D,4.54,+0.04,10.6%,27332,0.4%,The Mighty Mech | Cho'Gath | Urgot | Aurelion Sol | Nunu & Willump
Dawncore,D,4.59,+0.09,10.3%,35807,0.5%,Nami | Karma | Aurora | Ezreal | Kai'Sa
Yasuo's Bladework,D,4.73,+0.23,8.8%,58501,0.8%,Urgot | Xayah | Bel'Veth | Kindred | Graves
Kayle's Exaltation,D,4.96,+0.46,6.2%,67113,1.0%,Xayah | Vex | Teemo | Kindred | LeBlanc
