Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,2.01,-2.49,55.2%,3220,0.0%,Vex | Teemo | Xayah | Twisted Fate | Aurora
Titanic Hydra,S,4.09,-0.41,15.1%,34094,0.5%,Urgot | Bel'Veth | Graves | Briar | Xayah
Prowler's Claw,S,4.12,-0.38,15.2%,44602,0.6%,Urgot | Riven | Fiora | Briar | Akali
Death's Defiance,S,4.19,-0.31,14.2%,40819,0.6%,Urgot | Riven | Fiora | Briar | Master Yi
Lightshield Crest,S,4.20,-0.30,14.2%,50488,0.7%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Ahri's Aura,A,4.22,-0.28,12.8%,72529,1.0%,Aurelion Sol | Nami | Viktor | Aurora | Karma
Infinity Force,A,4.22,-0.28,13.3%,61487,0.8%,Urgot | Bel'Veth | Riven | Briar | Fiora
Zhonya's Paradox,A,4.24,-0.26,14.6%,29605,0.4%,Aurelion Sol | Riven | Blitzcrank | Aurora | Fizz
The Indomitable,A,4.24,-0.26,14.3%,61976,0.8%,Nunu & Willump | The Mighty Mech | Maokai | Rammus | Illaoi
Horizon Focus,A,4.24,-0.26,15.8%,28001,0.4%,Nunu & Willump | Maokai | Rhaast | Meepsie | Jax
Gold Collector,A,4.25,-0.25,14.4%,36089,0.5%,Urgot | Xayah | Jhin | Kai'Sa | Bel'Veth
Fishbones,A,4.26,-0.24,13.4%,39153,0.5%,Urgot | Xayah | Bel'Veth | Kindred | Jhin
Mogul's Mail,A,4.27,-0.23,13.6%,55870,0.8%,Nunu & Willump | Rammus | Leona | The Mighty Mech | Illaoi
Ekko's Patience,B,4.31,-0.19,13.2%,76906,1.0%,Aurelion Sol | Zoe | Viktor | Nami | Karma
Silvermere Dawn,B,4.31,-0.19,13.7%,32641,0.4%,The Mighty Mech | Urgot | Nunu & Willump | Rhaast | Rammus
Eternal Pact,B,4.32,-0.18,12.5%,27863,0.4%,Aurelion Sol | Karma | Aurora | Nami | Viktor
Mittens,B,4.33,-0.17,12.2%,38979,0.5%,Urgot | Bel'Veth | Riven | Fiora | Master Yi
Wit's End,B,4.34,-0.16,12.0%,29818,0.4%,Vex | Teemo | Riven | LeBlanc | Bel'Veth
Void Gauntlet,B,4.34,-0.16,13.4%,37285,0.5%,Nunu & Willump | Maokai | The Mighty Mech | Rammus | Tahm Kench
Evelynn's Instinct,B,4.36,-0.14,10.1%,106422,1.4%,Bel'Veth | Urgot | Riven | Master Yi | Fiora
Aegis of Dawn,B,4.36,-0.14,12.5%,48308,0.7%,Nunu & Willump | The Mighty Mech | Rammus | Maokai | Tahm Kench
Lich Bane,B,4.36,-0.14,11.3%,29541,0.4%,Fizz | Karma | Vex | Twisted Fate | Aurora
Statikk Shiv,B,4.37,-0.13,12.1%,33826,0.5%,Vex | Teemo | LeBlanc | Nami | Kindred
Hellfire Hatchet,B,4.37,-0.13,11.7%,27922,0.4%,Urgot | Briar | Riven | Fiora | Master Yi
Gambler's Blade,B,4.38,-0.12,12.4%,43965,0.6%,Vex | Xayah | Teemo | Kindred | LeBlanc
Cappa Juice,B,4.39,-0.11,13.3%,22432,0.3%,Xayah | Aurelion Sol | Aurora | Vex | Jhin
Hullcrusher,B,4.39,-0.11,12.5%,35135,0.5%,The Mighty Mech | Nunu & Willump | Rammus | Maokai | Illaoi
Flickerblades,C,4.40,-0.10,12.0%,59609,0.8%,Xayah | Vex | Bel'Veth | Teemo | Kindred
Blighting Jewel,C,4.42,-0.08,11.3%,31429,0.4%,Aurelion Sol | Karma | Nami | Viktor | Bard
Aegis of Dusk,C,4.42,-0.08,12.0%,43241,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Maokai
Soraka's Miracle,C,4.42,-0.08,12.3%,115394,1.6%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Maokai
Rapid Firecannon,C,4.43,-0.07,11.7%,38887,0.5%,Bel'Veth | Urgot | Master Yi | Xayah | Graves
Luden's Tempest,C,4.45,-0.05,10.3%,33917,0.5%,Twisted Fate | Aurora | Nami | Karma | Viktor
Varus's Obsession,C,4.49,-0.01,10.7%,66607,0.9%,Teemo | Aurelion Sol | Xayah | Vex | Twisted Fate
Thresh's Lantern,C,4.49,-0.01,11.1%,64208,0.9%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Seeker's Armguard,C,4.50,-0.00,11.8%,35881,0.5%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Sniper's Focus,D,4.52,+0.02,11.5%,42016,0.6%,Xayah | Jhin | Kindred | Vex | Kai'Sa
Crown of Demacia,D,4.53,+0.03,9.5%,33399,0.5%,Teemo | Xayah | Kai'Sa | Vex | Twisted Fate
Talisman Of Ascension,D,4.56,+0.06,10.5%,29684,0.4%,The Mighty Mech | Cho'Gath | Urgot | Aurelion Sol | Nunu & Willump
Dawncore,D,4.58,+0.08,10.2%,38474,0.5%,Nami | Karma | Aurora | Ezreal | Kai'Sa
Yasuo's Bladework,D,4.72,+0.22,8.8%,63925,0.9%,Urgot | Xayah | Bel'Veth | Kindred | Graves
Kayle's Exaltation,D,4.96,+0.46,6.2%,71903,1.0%,Xayah | Vex | Teemo | Kindred | LeBlanc
