Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,2.02,-2.48,54.3%,3425,0.0%,Vex | Teemo | Jhin | Aurora | Xayah
Titanic Hydra,S,4.08,-0.42,15.2%,37897,0.5%,Urgot | Xayah | Bel'Veth | Briar | Graves
Prowler's Claw,S,4.10,-0.40,15.4%,48674,0.6%,Urgot | Riven | Fiora | Briar | Master Yi
Death's Defiance,S,4.19,-0.31,14.1%,43331,0.6%,Urgot | Riven | Briar | Fiora | Master Yi
Lightshield Crest,S,4.19,-0.31,14.3%,52581,0.7%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Maokai
Ahri's Aura,A,4.22,-0.28,12.7%,76231,1.0%,Aurelion Sol | Nami | Aurora | Viktor | Karma
Infinity Force,A,4.24,-0.26,13.0%,64390,0.8%,Urgot | Bel'Veth | Riven | Briar | Fiora
The Indomitable,A,4.24,-0.26,14.3%,64978,0.9%,Nunu & Willump | The Mighty Mech | Maokai | Rammus | Illaoi
Zhonya's Paradox,A,4.24,-0.26,14.5%,30721,0.4%,Aurelion Sol | Riven | Blitzcrank | Aurora | Fizz
Fishbones,A,4.25,-0.25,13.5%,41717,0.5%,Urgot | Bel'Veth | Xayah | Kindred | Jhin
Horizon Focus,A,4.25,-0.25,15.6%,29432,0.4%,Nunu & Willump | Maokai | Rhaast | Meepsie | Rek'Sai
Mogul's Mail,A,4.25,-0.25,13.6%,58221,0.8%,Nunu & Willump | Rammus | Leona | The Mighty Mech | Illaoi
Gold Collector,A,4.27,-0.23,14.1%,38093,0.5%,Urgot | Xayah | Jhin | Kai'Sa | Bel'Veth
Ekko's Patience,B,4.31,-0.19,13.2%,80015,1.0%,Aurelion Sol | Zoe | Viktor | Aurora | Nami
Silvermere Dawn,B,4.32,-0.18,13.6%,33322,0.4%,The Mighty Mech | Urgot | Rhaast | Nunu & Willump | Rammus
Eternal Pact,B,4.33,-0.17,12.5%,29094,0.4%,Aurelion Sol | Aurora | Karma | Nami | Viktor
Void Gauntlet,B,4.33,-0.17,13.4%,38887,0.5%,Nunu & Willump | Maokai | The Mighty Mech | Rammus | Tahm Kench
Mittens,B,4.35,-0.15,12.0%,40739,0.5%,Urgot | Bel'Veth | Riven | Master Yi | Fiora
Statikk Shiv,B,4.35,-0.15,11.9%,35391,0.5%,Vex | Teemo | LeBlanc | Nami | Aurora
Wit's End,B,4.35,-0.15,11.7%,31261,0.4%,Vex | Teemo | Riven | LeBlanc | Bel'Veth
Lich Bane,B,4.36,-0.14,11.5%,30782,0.4%,Fizz | Karma | Vex | Aurora | Twisted Fate
Evelynn's Instinct,B,4.37,-0.13,10.0%,113538,1.5%,Bel'Veth | Urgot | Riven | Master Yi | Fiora
Hellfire Hatchet,B,4.37,-0.13,11.8%,29784,0.4%,Urgot | Briar | Riven | Fiora | Master Yi
Gambler's Blade,B,4.38,-0.12,12.3%,45851,0.6%,Vex | Xayah | Teemo | Kindred | LeBlanc
Aegis of Dawn,B,4.38,-0.12,12.4%,50907,0.7%,Nunu & Willump | Maokai | The Mighty Mech | Rammus | Tahm Kench
Cappa Juice,B,4.38,-0.12,13.2%,23731,0.3%,Xayah | Aurelion Sol | Aurora | Vex | Urgot
Hullcrusher,B,4.39,-0.11,12.4%,36486,0.5%,The Mighty Mech | Nunu & Willump | Rammus | Maokai | Illaoi
Flickerblades,C,4.41,-0.09,12.0%,62818,0.8%,Xayah | Vex | Bel'Veth | Teemo | Kindred
Aegis of Dusk,C,4.41,-0.09,12.1%,45073,0.6%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Maokai
Soraka's Miracle,C,4.42,-0.08,12.4%,121074,1.6%,Nunu & Willump | The Mighty Mech | Rammus | Maokai | Illaoi
Rapid Firecannon,C,4.42,-0.08,11.9%,41328,0.5%,Bel'Veth | Urgot | Master Yi | Xayah | Graves
Blighting Jewel,C,4.43,-0.07,11.2%,33238,0.4%,Aurelion Sol | Karma | Nami | Viktor | Bard
Luden's Tempest,C,4.46,-0.04,10.4%,35550,0.5%,Twisted Fate | Aurora | Nami | Karma | Viktor
Varus's Obsession,C,4.48,-0.02,10.7%,69437,0.9%,Teemo | Aurelion Sol | Xayah | Vex | Twisted Fate
Thresh's Lantern,C,4.49,-0.01,11.1%,67051,0.9%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Seeker's Armguard,D,4.52,+0.02,11.7%,37476,0.5%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Sniper's Focus,D,4.53,+0.03,11.4%,44119,0.6%,Xayah | Jhin | Kindred | Vex | Aurora
Crown of Demacia,D,4.54,+0.04,9.5%,35151,0.5%,Teemo | Xayah | Vex | Kai'Sa | Twisted Fate
Talisman Of Ascension,D,4.56,+0.06,10.3%,31626,0.4%,The Mighty Mech | Urgot | Cho'Gath | Aurelion Sol | Nunu & Willump
Dawncore,D,4.57,+0.07,10.2%,40529,0.5%,Nami | Karma | Aurora | Ezreal | Kai'Sa
Yasuo's Bladework,D,4.71,+0.21,8.8%,67841,0.9%,Urgot | Xayah | Bel'Veth | Kindred | Graves
Kayle's Exaltation,D,4.95,+0.45,6.2%,75587,1.0%,Xayah | Vex | Teemo | Kindred | LeBlanc
