Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Horizon Focus,S,4.03,-0.47,17.9%,268,0.6%,Nunu & Willump | Maokai | Rhaast | Meepsie | Rek'Sai
Titanic Hydra,S,4.03,-0.47,16.2%,421,0.9%,Urgot | Xayah | Briar | Bel'Veth | Graves
Silvermere Dawn,S,4.04,-0.46,17.8%,321,0.7%,The Mighty Mech | Urgot | Rhaast | Nunu & Willump | Rammus
Evelynn's Instinct,S,4.19,-0.31,11.0%,1003,2.2%,Bel'Veth | Urgot | Master Yi | Riven | Fiora
Mogul's Mail,S,4.20,-0.30,14.2%,430,0.9%,Nunu & Willump | Rammus | Leona | The Mighty Mech | Tahm Kench
Seeker's Armguard,A,4.21,-0.29,15.1%,292,0.6%,Aurelion Sol | Riven | Blitzcrank | Fizz | Vex
Lightshield Crest,A,4.22,-0.28,14.8%,452,1.0%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Maokai
Cappa Juice,A,4.22,-0.28,19.7%,244,0.5%,Xayah | Aurelion Sol | Vex | Aurora | Kindred
Infinity Force,A,4.24,-0.26,13.4%,686,1.5%,Urgot | Bel'Veth | Riven | Master Yi | Briar
Sniper's Focus,A,4.25,-0.25,14.5%,359,0.8%,Xayah | Kindred | Jhin | Vex | Aurora
Zhonya's Paradox,A,4.29,-0.21,16.2%,303,0.7%,Aurelion Sol | Riven | Blitzcrank | Aurora | Fizz
Dawncore,A,4.30,-0.20,15.7%,324,0.7%,Ezreal | Karma | Nami | Aurora | Kai'Sa
Mittens,B,4.30,-0.20,13.6%,457,1.0%,Urgot | Bel'Veth | Master Yi | Riven | Fiora
Eternal Pact,B,4.31,-0.19,12.7%,275,0.6%,Aurelion Sol | Karma | Aurora | Nami | Bard
Flickerblades,B,4.31,-0.19,13.0%,537,1.2%,Xayah | Vex | Bel'Veth | Teemo | Kindred
Void Gauntlet,B,4.32,-0.18,15.7%,319,0.7%,Nunu & Willump | Maokai | The Mighty Mech | Tahm Kench | Rammus
Lich Bane,B,4.33,-0.17,10.2%,225,0.5%,Karma | Vex | Twisted Fate | Aurora | Fizz
The Indomitable,B,4.34,-0.16,13.7%,586,1.3%,Nunu & Willump | The Mighty Mech | Maokai | Rammus | Tahm Kench
Thresh's Lantern,B,4.34,-0.16,12.8%,491,1.1%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Gold Collector,B,4.34,-0.16,12.0%,366,0.8%,Urgot | Jhin | Xayah | Kai'Sa | Corki
Hullcrusher,B,4.35,-0.15,14.2%,318,0.7%,The Mighty Mech | Nunu & Willump | Rammus | Maokai | Jax
Fishbones,B,4.36,-0.14,10.1%,445,1.0%,Urgot | Bel'Veth | Xayah | Kindred | Jhin
Aegis of Dusk,B,4.37,-0.13,15.3%,333,0.7%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Maokai
Statikk Shiv,B,4.37,-0.13,9.2%,273,0.6%,Vex | Teemo | LeBlanc | Twisted Fate | Kindred
Prowler's Claw,B,4.38,-0.12,12.9%,450,1.0%,Urgot | Riven | Briar | Fiora | Master Yi
Ekko's Patience,B,4.39,-0.11,14.9%,530,1.1%,Aurelion Sol | Zoe | Viktor | Aurora | Karma
Aegis of Dawn,C,4.41,-0.09,12.8%,352,0.8%,Nunu & Willump | Maokai | The Mighty Mech | Rammus | Tahm Kench
Death's Defiance,C,4.41,-0.09,10.8%,445,1.0%,Urgot | Riven | Briar | Fiora | Master Yi
Soraka's Miracle,C,4.41,-0.09,12.5%,1092,2.3%,Nunu & Willump | The Mighty Mech | Rammus | Maokai | Jax
Gambler's Blade,C,4.41,-0.09,11.8%,357,0.8%,Vex | Xayah | Teemo | Kindred | LeBlanc
Wit's End,C,4.43,-0.07,12.6%,294,0.6%,Vex | Teemo | Riven | LeBlanc | Bel'Veth
Talisman Of Ascension,C,4.46,-0.04,12.8%,179,0.4%,Cho'Gath | The Mighty Mech | Urgot | Maokai | Tahm Kench
Rapid Firecannon,C,4.48,-0.02,12.0%,391,0.8%,Bel'Veth | Urgot | Master Yi | Xayah | Graves
Ahri's Aura,D,4.50,+0.00,11.9%,545,1.2%,Aurelion Sol | Aurora | Nami | Karma | Viktor
Hellfire Hatchet,D,4.55,+0.05,8.8%,294,0.6%,Urgot | Briar | Riven | Fiora | Master Yi
Varus's Obsession,D,4.55,+0.05,10.9%,540,1.2%,Teemo | Aurelion Sol | Ezreal | Xayah | Vex
Yasuo's Bladework,D,4.57,+0.07,10.9%,569,1.2%,Urgot | Bel'Veth | Xayah | Kindred | Master Yi
Luden's Tempest,D,4.57,+0.07,10.7%,233,0.5%,Twisted Fate | Aurora | Karma | Nami | Viktor
Crown of Demacia,D,4.71,+0.21,8.6%,370,0.8%,Teemo | Xayah | Ezreal | Twisted Fate | Cho'Gath
Blighting Jewel,D,4.80,+0.30,11.6%,215,0.5%,Aurelion Sol | Karma | Bard | Nami | Viktor
