Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.86,-0.64,18.0%,2116,1.0%,Urgot | Master Yi | Briar | Xayah | Riven
Horizon Focus,S,4.06,-0.44,19.6%,1229,0.6%,Nunu & Willump | Maokai | Meepsie | Rek'Sai | Jax
Death's Defiance,S,4.15,-0.35,14.5%,2187,1.0%,Riven | Master Yi | Briar | Fiora | Urgot
Lightshield Crest,A,4.25,-0.25,14.3%,2315,1.0%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Fishbones,A,4.28,-0.22,13.4%,2054,0.9%,Kindred | Corki | Bel'Veth | Urgot | Kai'Sa
Statikk Shiv,A,4.29,-0.21,14.0%,1400,0.6%,Teemo | Vex | LeBlanc | Kindred | Twisted Fate
Gold Collector,A,4.29,-0.21,15.0%,1723,0.8%,Corki | Kindred | Kai'Sa | Urgot | Jhin
Prowler's Claw,A,4.30,-0.20,13.4%,2067,0.9%,Urgot | Master Yi | Riven | Briar | Fiora
Infinity Force,B,4.30,-0.20,13.6%,3408,1.5%,Master Yi | Riven | Fiora | Briar | Urgot
Hellfire Hatchet,B,4.31,-0.19,12.8%,1653,0.7%,Briar | Master Yi | Urgot | Riven | Fiora
Gambler's Blade,B,4.33,-0.17,14.0%,1789,0.8%,Kindred | Teemo | Vex | Xayah | LeBlanc
Dawncore,B,4.33,-0.17,15.7%,1762,0.8%,Ezreal | Lulu | Karma | Kai'Sa | Aurora
The Indomitable,B,4.34,-0.16,13.5%,2818,1.3%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Mogul's Mail,B,4.34,-0.16,13.4%,2127,1.0%,Nunu & Willump | Leona | Tahm Kench | Rammus | Jax
Flickerblades,B,4.36,-0.14,12.5%,2368,1.1%,Kindred | Xayah | Teemo | Vex | Bel'Veth
Wit's End,B,4.36,-0.14,12.4%,1237,0.6%,Teemo | Riven | Vex | Master Yi | LeBlanc
Eternal Pact,B,4.37,-0.13,11.5%,1185,0.5%,Karma | Aurora | Lulu | Aurelion Sol | Twisted Fate
Void Gauntlet,B,4.37,-0.13,14.9%,1552,0.7%,Tahm Kench | Maokai | Cho'Gath | Nunu & Willump | Rammus
Silvermere Dawn,B,4.39,-0.11,14.3%,1427,0.6%,The Mighty Mech | Urgot | Riven | Tahm Kench | Nunu & Willump
Sniper's Focus,C,4.40,-0.10,12.6%,1642,0.7%,Kindred | Corki | Kai'Sa | Jhin | Xayah
Thresh's Lantern,C,4.42,-0.08,14.0%,2305,1.0%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Zhonya's Paradox,C,4.42,-0.08,12.4%,1352,0.6%,Riven | Aurelion Sol | Blitzcrank | Fiora | Karma
Soraka's Miracle,C,4.43,-0.07,12.9%,5127,2.3%,Nunu & Willump | Cho'Gath | Rammus | Tahm Kench | Jax
Mittens,C,4.44,-0.06,12.5%,1926,0.9%,Master Yi | Riven | Bel'Veth | Urgot | Fiora
Aegis of Dawn,C,4.46,-0.04,13.1%,1891,0.9%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Rapid Firecannon,C,4.47,-0.03,12.8%,1753,0.8%,Master Yi | Bel'Veth | Urgot | Kindred | Xayah
Seeker's Armguard,C,4.48,-0.02,12.8%,1264,0.6%,Riven | Aurelion Sol | Blitzcrank | Diana | Fiora
Evelynn's Instinct,C,4.50,-0.00,10.3%,4177,1.9%,Bel'Veth | Master Yi | Urgot | Riven | Fiora
Lich Bane,D,4.50,+0.00,10.3%,1098,0.5%,Karma | Teemo | Twisted Fate | Riven | Vex
Ahri's Aura,D,4.51,+0.01,12.2%,2334,1.1%,Aurelion Sol | Karma | Lulu | Twisted Fate | Aurora
Ekko's Patience,D,4.53,+0.03,12.4%,2253,1.0%,Zoe | Aurelion Sol | Karma | Lulu | Aurora
Talisman Of Ascension,D,4.54,+0.04,12.8%,811,0.4%,Cho'Gath | Kindred | Tahm Kench | Leona | The Mighty Mech
Aegis of Dusk,D,4.55,+0.05,12.5%,1422,0.6%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Maokai
Cappa Juice,D,4.56,+0.06,12.7%,931,0.4%,Kindred | Kai'Sa | Teemo | Ezreal | Corki
Hullcrusher,D,4.57,+0.07,12.6%,1612,0.7%,The Mighty Mech | Rammus | Jax | Nunu & Willump | Maokai
Crown of Demacia,D,4.57,+0.07,9.8%,1567,0.7%,Cho'Gath | Teemo | Ezreal | Kai'Sa | Corki
Luden's Tempest,D,4.59,+0.09,10.2%,1179,0.5%,Twisted Fate | Karma | Aurora | Lulu | Nami
Varus's Obsession,D,4.61,+0.11,10.6%,2651,1.2%,Teemo | Ezreal | Kindred | Corki | Kai'Sa
Blighting Jewel,D,4.64,+0.14,10.6%,1021,0.5%,Karma | Aurelion Sol | Zoe | Teemo | Vex
Yasuo's Bladework,D,4.75,+0.25,8.6%,2099,0.9%,Kindred | Urgot | Master Yi | Bel'Veth | Xayah
