Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.89,-0.61,18.5%,2397,1.0%,Master Yi | Urgot | Briar | Xayah | Riven
Horizon Focus,S,4.12,-0.38,20.8%,1383,0.6%,Nunu & Willump | Maokai | Lulu | Meepsie | Rek'Sai
Death's Defiance,S,4.16,-0.34,14.0%,2414,1.0%,Riven | Master Yi | Briar | Fiora | Urgot
Gold Collector,A,4.27,-0.23,15.4%,1876,0.8%,Corki | Kindred | Kai'Sa | Urgot | Jhin
Mogul's Mail,A,4.28,-0.22,14.4%,2418,1.0%,Nunu & Willump | Leona | Tahm Kench | Rammus | Jax
Lightshield Crest,A,4.28,-0.22,13.8%,2577,1.1%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Wit's End,A,4.29,-0.21,13.8%,1337,0.5%,Teemo | Riven | Vex | Master Yi | LeBlanc
Fishbones,B,4.30,-0.20,13.1%,2230,0.9%,Kindred | Corki | Bel'Veth | Kai'Sa | Urgot
Infinity Force,B,4.30,-0.20,13.2%,3725,1.5%,Master Yi | Riven | Fiora | Briar | Urgot
Dawncore,B,4.32,-0.18,16.5%,1978,0.8%,Lulu | Ezreal | Kai'Sa | Karma | Aurora
Prowler's Claw,B,4.33,-0.17,13.3%,2183,0.9%,Urgot | Master Yi | Riven | Briar | Fiora
Silvermere Dawn,B,4.33,-0.17,14.9%,1561,0.6%,The Mighty Mech | Urgot | Riven | Tahm Kench | Leona
Hellfire Hatchet,B,4.34,-0.16,12.7%,1784,0.7%,Briar | Master Yi | Riven | Urgot | Fiora
Gambler's Blade,B,4.34,-0.16,14.0%,1909,0.8%,Kindred | Teemo | Vex | Xayah | LeBlanc
Statikk Shiv,B,4.35,-0.15,13.9%,1446,0.6%,Teemo | Vex | LeBlanc | Kindred | Twisted Fate
Void Gauntlet,B,4.37,-0.13,14.4%,1625,0.7%,Tahm Kench | Maokai | Cho'Gath | Nunu & Willump | Rammus
Mittens,B,4.38,-0.12,13.3%,2067,0.8%,Master Yi | Riven | Bel'Veth | Urgot | Fiora
Flickerblades,B,4.38,-0.12,12.9%,2648,1.1%,Kindred | Teemo | Xayah | Vex | Bel'Veth
The Indomitable,B,4.39,-0.11,13.0%,3105,1.3%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Eternal Pact,C,4.40,-0.10,12.3%,1289,0.5%,Karma | Lulu | Aurelion Sol | Aurora | Twisted Fate
Aegis of Dawn,C,4.41,-0.09,14.0%,2107,0.9%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Rapid Firecannon,C,4.42,-0.08,12.7%,1886,0.8%,Master Yi | Bel'Veth | Urgot | Kindred | Xayah
Sniper's Focus,C,4.43,-0.07,12.7%,1909,0.8%,Kindred | Corki | Kai'Sa | Jhin | Xayah
Thresh's Lantern,C,4.45,-0.05,12.8%,2515,1.0%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Zhonya's Paradox,C,4.45,-0.05,12.5%,1451,0.6%,Riven | Blitzcrank | Aurelion Sol | Karma | Fiora
Ahri's Aura,C,4.46,-0.04,12.5%,2539,1.0%,Aurelion Sol | Karma | Lulu | Twisted Fate | Milio
Evelynn's Instinct,C,4.47,-0.03,10.3%,4581,1.9%,Bel'Veth | Master Yi | Riven | Urgot | Fiora
Soraka's Miracle,C,4.47,-0.03,12.2%,5693,2.3%,Nunu & Willump | Rammus | Cho'Gath | Tahm Kench | Jax
Lich Bane,C,4.48,-0.02,11.4%,1256,0.5%,Karma | Teemo | Twisted Fate | Riven | Milio
Crown of Demacia,C,4.49,-0.01,10.2%,1718,0.7%,Cho'Gath | Teemo | Ezreal | Kai'Sa | Corki
Seeker's Armguard,D,4.51,+0.01,13.1%,1369,0.6%,Riven | Aurelion Sol | Blitzcrank | Diana | Jax
Varus's Obsession,D,4.52,+0.02,10.8%,2888,1.2%,Teemo | Ezreal | Kindred | Corki | Kai'Sa
Talisman Of Ascension,D,4.54,+0.04,11.9%,901,0.4%,Cho'Gath | Kindred | Tahm Kench | Leona | Maokai
Aegis of Dusk,D,4.54,+0.04,12.5%,1501,0.6%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Cappa Juice,D,4.55,+0.05,12.2%,1029,0.4%,Kindred | Kai'Sa | Corki | Teemo | Ezreal
Ekko's Patience,D,4.56,+0.06,12.3%,2412,1.0%,Zoe | Aurelion Sol | Karma | Lulu | Milio
Luden's Tempest,D,4.57,+0.07,10.8%,1227,0.5%,Twisted Fate | Karma | Aurora | Lulu | Nami
Hullcrusher,D,4.58,+0.08,12.4%,1746,0.7%,The Mighty Mech | Rammus | Jax | Maokai | Tahm Kench
Blighting Jewel,D,4.63,+0.13,10.2%,1130,0.5%,Karma | Aurelion Sol | Zoe | Teemo | Lulu
Yasuo's Bladework,D,4.80,+0.30,8.5%,2204,0.9%,Kindred | Master Yi | Urgot | Bel'Veth | Xayah
