Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.85,-0.65,18.8%,3170,1.1%,Master Yi | Xayah | Briar | Riven | Urgot
Horizon Focus,S,4.03,-0.47,22.1%,1932,0.7%,Nunu & Willump | Maokai | Lulu | Rek'Sai | Meepsie
Death's Defiance,S,4.16,-0.34,14.3%,2950,1.0%,Riven | Master Yi | Briar | Fiora | Urgot
Wit's End,S,4.20,-0.30,14.5%,1685,0.6%,Riven | Teemo | Master Yi | Vex | Kindred
Mogul's Mail,A,4.20,-0.30,14.7%,3205,1.1%,Leona | Nunu & Willump | Rammus | Tahm Kench | Jax
Lightshield Crest,A,4.25,-0.25,14.2%,3176,1.1%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Jax
Gambler's Blade,A,4.27,-0.23,15.2%,2353,0.8%,Teemo | Kindred | Vex | Xayah | LeBlanc
Statikk Shiv,A,4.29,-0.21,14.8%,1780,0.6%,Teemo | Vex | LeBlanc | Kindred | Karma
Gold Collector,B,4.30,-0.20,14.6%,2297,0.8%,Corki | Kindred | Kai'Sa | Urgot | Jhin
Silvermere Dawn,B,4.31,-0.19,15.6%,1964,0.7%,The Mighty Mech | Leona | Tahm Kench | Urgot | Jax
Aegis of Dawn,B,4.34,-0.16,13.7%,2644,0.9%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Fishbones,B,4.34,-0.16,12.9%,2625,0.9%,Kindred | Corki | Bel'Veth | Kai'Sa | Urgot
Dawncore,B,4.35,-0.15,15.9%,2580,0.9%,Lulu | Ezreal | Kai'Sa | Karma | Twisted Fate
Hellfire Hatchet,B,4.35,-0.15,14.1%,2311,0.8%,Master Yi | Briar | Riven | Urgot | Fiora
Infinity Force,B,4.35,-0.15,12.8%,4493,1.5%,Master Yi | Riven | Fiora | Briar | Bel'Veth
Flickerblades,B,4.36,-0.14,13.7%,3207,1.1%,Kindred | Teemo | Xayah | Vex | LeBlanc
Mittens,B,4.39,-0.11,13.1%,2641,0.9%,Master Yi | Riven | Bel'Veth | Fiora | Urgot
Eternal Pact,C,4.40,-0.10,12.7%,1618,0.5%,Karma | Lulu | Aurelion Sol | Twisted Fate | Milio
Evelynn's Instinct,C,4.40,-0.10,11.8%,5720,1.9%,Master Yi | Bel'Veth | Riven | Urgot | Fiora
Prowler's Claw,C,4.42,-0.08,12.4%,2662,0.9%,Urgot | Master Yi | Riven | Briar | Fiora
Ahri's Aura,C,4.42,-0.08,12.3%,3087,1.0%,Aurelion Sol | Karma | Lulu | Milio | Twisted Fate
The Indomitable,C,4.43,-0.07,13.2%,3865,1.3%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Jax
Thresh's Lantern,C,4.43,-0.07,11.4%,3276,1.1%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Lich Bane,C,4.44,-0.06,13.1%,1569,0.5%,Karma | Teemo | Riven | Milio | Twisted Fate
Cappa Juice,C,4.45,-0.05,12.4%,1285,0.4%,Kindred | Kai'Sa | Corki | Teemo | Jhin
Void Gauntlet,C,4.46,-0.04,14.0%,2054,0.7%,Tahm Kench | Maokai | Rammus | Cho'Gath | The Mighty Mech
Hullcrusher,C,4.46,-0.04,12.9%,2143,0.7%,The Mighty Mech | Rammus | Jax | Maokai | Tahm Kench
Rapid Firecannon,C,4.48,-0.02,12.2%,2247,0.8%,Master Yi | Bel'Veth | Urgot | Kindred | Riven
Varus's Obsession,D,4.50,+0.00,10.8%,3599,1.2%,Teemo | Corki | Kindred | Ezreal | Kai'Sa
Sniper's Focus,D,4.50,+0.00,11.7%,2450,0.8%,Kindred | Corki | Kai'Sa | Jhin | Lulu
Soraka's Miracle,D,4.51,+0.01,12.1%,7403,2.5%,Rammus | Tahm Kench | Jax | Nunu & Willump | Leona
Seeker's Armguard,D,4.51,+0.01,12.6%,1727,0.6%,Riven | Aurelion Sol | Blitzcrank | Jax | Karma
Zhonya's Paradox,D,4.52,+0.02,13.1%,1706,0.6%,Riven | Aurelion Sol | Fiora | Master Yi | Karma
Ekko's Patience,D,4.52,+0.02,12.7%,2990,1.0%,Zoe | Aurelion Sol | Karma | Lulu | Milio
Luden's Tempest,D,4.56,+0.06,11.5%,1412,0.5%,Twisted Fate | Karma | Lulu | Aurora | Milio
Crown of Demacia,D,4.57,+0.07,9.9%,1887,0.6%,Teemo | Cho'Gath | Corki | Kai'Sa | Ezreal
Aegis of Dusk,D,4.59,+0.09,12.4%,1864,0.6%,Tahm Kench | Maokai | Nunu & Willump | Rammus | The Mighty Mech
Blighting Jewel,D,4.64,+0.14,10.3%,1414,0.5%,Karma | Aurelion Sol | Zoe | Lulu | Milio
Yasuo's Bladework,D,4.69,+0.19,9.3%,2590,0.9%,Kindred | Master Yi | Urgot | Bel'Veth | Xayah
Talisman Of Ascension,D,4.75,+0.25,10.4%,1158,0.4%,Cho'Gath | Kindred | Tahm Kench | Maokai | Leona
