Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Horizon Focus,S,3.82,-0.68,24.9%,2290,0.7%,Nunu & Willump | Lulu | Maokai | Meepsie | Rek'Sai
Titanic Hydra,S,3.88,-0.62,17.7%,3900,1.2%,Master Yi | Xayah | Briar | Riven | Urgot
Death's Defiance,S,4.19,-0.31,14.4%,3421,1.0%,Riven | Master Yi | Briar | Fiora | Urgot
Mogul's Mail,A,4.21,-0.29,14.5%,3629,1.1%,Leona | Nunu & Willump | Rammus | Tahm Kench | Jax
Statikk Shiv,A,4.22,-0.28,15.3%,2248,0.7%,Teemo | Vex | LeBlanc | Kindred | Twisted Fate
Lightshield Crest,A,4.22,-0.28,15.0%,3768,1.1%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Gambler's Blade,A,4.24,-0.26,14.5%,2829,0.8%,Teemo | Kindred | Vex | Xayah | LeBlanc
Silvermere Dawn,A,4.25,-0.25,14.8%,2266,0.7%,The Mighty Mech | Tahm Kench | Leona | Rammus | Urgot
Gold Collector,A,4.25,-0.25,14.5%,2733,0.8%,Corki | Kindred | Kai'Sa | Jhin | Urgot
Dawncore,B,4.32,-0.18,16.9%,3204,1.0%,Lulu | Ezreal | Kai'Sa | Karma | Twisted Fate
Wit's End,B,4.34,-0.16,12.2%,2031,0.6%,Riven | Teemo | Master Yi | Vex | Kindred
Flickerblades,B,4.34,-0.16,13.5%,3613,1.1%,Kindred | Teemo | Xayah | Vex | LeBlanc
Aegis of Dawn,B,4.34,-0.16,13.1%,3147,0.9%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Fishbones,B,4.36,-0.14,12.0%,2896,0.9%,Kindred | Corki | Kai'Sa | Bel'Veth | Urgot
Infinity Force,B,4.36,-0.14,12.6%,5075,1.5%,Master Yi | Riven | Fiora | Briar | Bel'Veth
Hellfire Hatchet,B,4.37,-0.13,13.3%,2745,0.8%,Master Yi | Briar | Riven | Fiora | Urgot
Thresh's Lantern,B,4.39,-0.11,12.0%,4064,1.2%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Lich Bane,B,4.39,-0.11,13.3%,1827,0.5%,Milio | Karma | Riven | Teemo | Twisted Fate
The Indomitable,B,4.40,-0.10,14.2%,4528,1.4%,Tahm Kench | Rammus | Maokai | Nunu & Willump | Jax
Void Gauntlet,C,4.41,-0.09,12.4%,2376,0.7%,Tahm Kench | Maokai | Rammus | Cho'Gath | The Mighty Mech
Eternal Pact,C,4.42,-0.08,13.2%,1869,0.6%,Karma | Lulu | Aurelion Sol | Milio | Twisted Fate
Ahri's Aura,C,4.42,-0.08,12.9%,3481,1.0%,Aurelion Sol | Karma | Lulu | Milio | Twisted Fate
Zhonya's Paradox,C,4.45,-0.05,13.3%,1962,0.6%,Riven | Aurelion Sol | Master Yi | Fiora | Karma
Soraka's Miracle,C,4.46,-0.04,12.5%,8647,2.6%,Rammus | Tahm Kench | Jax | Nunu & Willump | Leona
Evelynn's Instinct,C,4.46,-0.04,10.7%,6662,2.0%,Master Yi | Bel'Veth | Riven | Fiora | Urgot
Mittens,C,4.47,-0.03,11.5%,2976,0.9%,Master Yi | Riven | Bel'Veth | Fiora | Urgot
Prowler's Claw,C,4.48,-0.02,11.3%,2934,0.9%,Urgot | Master Yi | Riven | Briar | Fiora
Cappa Juice,C,4.50,-0.00,13.6%,1542,0.5%,Kindred | Kai'Sa | Corki | Teemo | Jhin
Rapid Firecannon,C,4.50,-0.00,12.1%,2552,0.8%,Master Yi | Bel'Veth | Urgot | Kindred | Riven
Seeker's Armguard,D,4.50,+0.00,12.3%,2021,0.6%,Riven | Aurelion Sol | Blitzcrank | Fiora | Jax
Hullcrusher,D,4.51,+0.01,12.0%,2474,0.7%,The Mighty Mech | Rammus | Jax | Maokai | Tahm Kench
Crown of Demacia,D,4.53,+0.03,11.1%,1994,0.6%,Teemo | Cho'Gath | Corki | Kai'Sa | Ezreal
Sniper's Focus,D,4.53,+0.03,11.2%,2800,0.8%,Kindred | Corki | Kai'Sa | Lulu | Jhin
Ekko's Patience,D,4.55,+0.05,12.5%,3467,1.0%,Zoe | Aurelion Sol | Lulu | Karma | Milio
Aegis of Dusk,D,4.59,+0.09,11.9%,2127,0.6%,Tahm Kench | Rammus | Maokai | Jax | Nunu & Willump
Varus's Obsession,D,4.60,+0.10,9.7%,4120,1.2%,Teemo | Corki | Kindred | Ezreal | Kai'Sa
Luden's Tempest,D,4.61,+0.11,10.6%,1708,0.5%,Twisted Fate | Karma | Lulu | Milio | Aurora
Blighting Jewel,D,4.63,+0.13,11.4%,1601,0.5%,Karma | Lulu | Milio | Zoe | Aurelion Sol
Talisman Of Ascension,D,4.67,+0.17,11.8%,1336,0.4%,Cho'Gath | Kindred | Tahm Kench | Maokai | Leona
Yasuo's Bladework,D,4.75,+0.25,9.7%,2814,0.8%,Kindred | Master Yi | Bel'Veth | Urgot | Xayah
