Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Horizon Focus,S,3.85,-0.65,24.4%,2498,0.7%,Lulu | Nunu & Willump | Maokai | Jax | Meepsie
Titanic Hydra,S,3.85,-0.65,18.0%,4344,1.2%,Master Yi | Xayah | Briar | Riven | Urgot
Death's Defiance,S,4.13,-0.37,14.2%,3808,1.0%,Riven | Master Yi | Briar | Fiora | Urgot
Lightshield Crest,S,4.19,-0.31,14.5%,4428,1.2%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Mogul's Mail,A,4.25,-0.25,14.3%,4011,1.1%,Leona | Rammus | Tahm Kench | Nunu & Willump | Jax
Gambler's Blade,A,4.26,-0.24,14.1%,3149,0.9%,Teemo | Kindred | Vex | Xayah | LeBlanc
Fishbones,A,4.27,-0.23,13.6%,3250,0.9%,Kindred | Corki | Kai'Sa | Bel'Veth | Xayah
Silvermere Dawn,A,4.28,-0.22,14.3%,2566,0.7%,The Mighty Mech | Tahm Kench | Rammus | Leona | Jax
Gold Collector,B,4.30,-0.20,13.4%,3012,0.8%,Corki | Kindred | Kai'Sa | Jhin | Urgot
Void Gauntlet,B,4.32,-0.18,13.7%,2651,0.7%,Tahm Kench | Maokai | Rammus | Cho'Gath | Nunu & Willump
Dawncore,B,4.32,-0.18,16.7%,3589,1.0%,Lulu | Ezreal | Kai'Sa | Karma | Twisted Fate
Statikk Shiv,B,4.32,-0.18,13.2%,2565,0.7%,Teemo | Vex | LeBlanc | Kindred | Twisted Fate
Infinity Force,B,4.33,-0.17,12.7%,5759,1.6%,Master Yi | Riven | Fiora | Briar | Bel'Veth
Flickerblades,B,4.35,-0.15,13.0%,4185,1.1%,Kindred | Teemo | Vex | Xayah | LeBlanc
Hellfire Hatchet,B,4.36,-0.14,13.1%,3063,0.8%,Master Yi | Briar | Riven | Fiora | Urgot
Aegis of Dawn,B,4.36,-0.14,12.8%,3614,1.0%,Tahm Kench | Rammus | Maokai | Nunu & Willump | Jax
Lich Bane,B,4.38,-0.12,13.1%,2085,0.6%,Milio | Teemo | Karma | Riven | Twisted Fate
Ahri's Aura,B,4.39,-0.11,13.6%,3765,1.0%,Aurelion Sol | Karma | Lulu | Milio | Twisted Fate
Thresh's Lantern,B,4.39,-0.11,12.2%,4551,1.2%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Jax
Wit's End,C,4.41,-0.09,11.9%,2340,0.6%,Riven | Teemo | Master Yi | Vex | Kindred
The Indomitable,C,4.43,-0.07,13.1%,5114,1.4%,Tahm Kench | Rammus | Jax | Nunu & Willump | Maokai
Eternal Pact,C,4.44,-0.06,13.8%,2108,0.6%,Karma | Lulu | Milio | Aurelion Sol | Twisted Fate
Varus's Obsession,C,4.44,-0.06,11.8%,4724,1.3%,Teemo | Corki | Kindred | Kai'Sa | Twisted Fate
Evelynn's Instinct,C,4.45,-0.05,10.9%,7374,2.0%,Master Yi | Bel'Veth | Riven | Fiora | Urgot
Soraka's Miracle,C,4.45,-0.05,11.9%,9624,2.6%,Rammus | Tahm Kench | Jax | Leona | Nunu & Willump
Prowler's Claw,C,4.45,-0.05,11.9%,3118,0.8%,Urgot | Master Yi | Riven | Briar | Fiora
Mittens,C,4.47,-0.03,11.2%,3246,0.9%,Master Yi | Riven | Fiora | Bel'Veth | Briar
Zhonya's Paradox,C,4.47,-0.03,13.0%,2170,0.6%,Riven | Master Yi | Fiora | Aurelion Sol | Karma
Luden's Tempest,D,4.50,+0.00,10.3%,1976,0.5%,Twisted Fate | Karma | Milio | Lulu | Lissandra
Hullcrusher,D,4.51,+0.01,11.5%,2778,0.8%,Rammus | The Mighty Mech | Jax | Leona | Maokai
Ekko's Patience,D,4.53,+0.03,12.3%,3799,1.0%,Zoe | Aurelion Sol | Lulu | Karma | Milio
Crown of Demacia,D,4.55,+0.05,10.1%,2193,0.6%,Teemo | Corki | Cho'Gath | Kai'Sa | Ezreal
Sniper's Focus,D,4.56,+0.06,11.1%,3074,0.8%,Kindred | Corki | Kai'Sa | Lulu | Jhin
Aegis of Dusk,D,4.56,+0.06,11.4%,2409,0.7%,Tahm Kench | Rammus | Jax | Nunu & Willump | Maokai
Cappa Juice,D,4.56,+0.06,14.1%,1692,0.5%,Kindred | Kai'Sa | Corki | Teemo | Lulu
Seeker's Armguard,D,4.58,+0.08,12.2%,2327,0.6%,Riven | Aurelion Sol | Blitzcrank | Fiora | Jax
Talisman Of Ascension,D,4.58,+0.08,13.1%,1496,0.4%,Cho'Gath | Kindred | Tahm Kench | Leona | Maokai
Rapid Firecannon,D,4.59,+0.09,11.3%,2771,0.7%,Master Yi | Bel'Veth | Urgot | Kindred | Riven
Blighting Jewel,D,4.64,+0.14,10.9%,1766,0.5%,Karma | Milio | Lulu | Zoe | Teemo
Yasuo's Bladework,D,4.77,+0.27,9.6%,2947,0.8%,Kindred | Master Yi | Bel'Veth | Urgot | Riven
