Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,4.04,-0.46,16.9%,1743,0.8%,Master Yi | Xayah | Riven | Briar | Urgot
Death's Defiance,S,4.06,-0.44,15.5%,1757,0.8%,Riven | Master Yi | Fiora | Briar | Urgot
Gold Collector,S,4.10,-0.40,14.8%,1763,0.8%,Corki | Kindred | Kai'Sa | Jhin | Graves
Hellfire Hatchet,S,4.17,-0.33,14.4%,1428,0.6%,Master Yi | Riven | Briar | Fiora | Urgot
Infinity Force,S,4.19,-0.31,14.9%,2524,1.1%,Riven | Master Yi | Fiora | Briar | Urgot
Mogul's Mail,A,4.21,-0.29,14.2%,2330,1.1%,Nunu & Willump | Rammus | Tahm Kench | Leona | The Mighty Mech
Lightshield Crest,A,4.26,-0.24,13.9%,2610,1.2%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Jax
Evelynn's Instinct,A,4.28,-0.22,13.4%,2806,1.3%,Master Yi | Riven | Bel'Veth | Fiora | Urgot
Thresh's Lantern,A,4.29,-0.21,12.9%,3157,1.4%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Maokai
Rapid Firecannon,A,4.30,-0.20,13.3%,1390,0.6%,Master Yi | Bel'Veth | Diana | Riven | Urgot
Statikk Shiv,A,4.30,-0.20,14.5%,1382,0.6%,Vex | LeBlanc | Teemo | Kindred | Milio
Mittens,A,4.30,-0.20,14.9%,1484,0.7%,Master Yi | Riven | Fiora | Bel'Veth | Diana
Prowler's Claw,B,4.31,-0.19,12.9%,1444,0.7%,Urgot | Riven | Master Yi | Fiora | Briar
Wit's End,B,4.33,-0.17,11.6%,1263,0.6%,Riven | Vex | LeBlanc | Teemo | Diana
Lich Bane,B,4.33,-0.17,13.0%,1204,0.5%,Milio | Karma | Riven | Sona | Teemo
Void Gauntlet,B,4.35,-0.15,13.8%,1679,0.8%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Fishbones,B,4.35,-0.15,12.4%,1626,0.7%,Corki | Kindred | Kai'Sa | Xayah | Bel'Veth
Ahri's Aura,B,4.35,-0.15,13.0%,2807,1.3%,Aurelion Sol | Karma | Milio | Lulu | Bard
The Indomitable,B,4.37,-0.13,14.4%,3041,1.4%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Jax
Blighting Jewel,B,4.37,-0.13,14.0%,1254,0.6%,Aurelion Sol | Karma | Milio | Bard | Lulu
Eternal Pact,B,4.38,-0.12,13.7%,1603,0.7%,Karma | Aurelion Sol | Lulu | Milio | Bard
Seeker's Armguard,B,4.38,-0.12,13.8%,1527,0.7%,Riven | Diana | Aurelion Sol | Blitzcrank | Karma
Dawncore,B,4.38,-0.12,13.4%,2027,0.9%,Lulu | Karma | Ezreal | Kai'Sa | Milio
Flickerblades,C,4.40,-0.10,14.1%,1995,0.9%,Kindred | Vex | LeBlanc | Xayah | Teemo
Gambler's Blade,C,4.41,-0.09,14.3%,1596,0.7%,Vex | Kindred | Teemo | LeBlanc | Xayah
Aegis of Dawn,C,4.43,-0.07,11.3%,1880,0.9%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Jax
Aegis of Dusk,C,4.46,-0.04,12.1%,1719,0.8%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Silvermere Dawn,C,4.46,-0.04,11.7%,1666,0.8%,The Mighty Mech | Corki | Rammus | Tahm Kench | Riven
Cappa Juice,C,4.46,-0.04,14.2%,1007,0.5%,Corki | Kindred | Kai'Sa | Aurelion Sol | Lulu
Sniper's Focus,C,4.47,-0.03,13.2%,1731,0.8%,Corki | Kindred | Kai'Sa | Jhin | Lulu
Soraka's Miracle,C,4.47,-0.03,12.5%,5184,2.4%,Rammus | Nunu & Willump | Tahm Kench | Jax | The Mighty Mech
Ekko's Patience,D,4.50,+0.00,12.5%,2584,1.2%,Aurelion Sol | Zoe | Karma | Milio | Lulu
Talisman Of Ascension,D,4.51,+0.01,13.4%,857,0.4%,Cho'Gath | Kindred | Tahm Kench | Riven | Maokai
Varus's Obsession,D,4.52,+0.02,10.7%,2560,1.2%,Corki | Teemo | Kindred | Aurelion Sol | LeBlanc
Hullcrusher,D,4.53,+0.03,11.9%,1629,0.7%,The Mighty Mech | Rammus | Nunu & Willump | Jax | Riven
Crown of Demacia,D,4.56,+0.06,10.7%,1093,0.5%,Cho'Gath | Corki | Teemo | Kai'Sa | Lulu
Zhonya's Paradox,D,4.56,+0.06,13.1%,1429,0.7%,Riven | Aurelion Sol | Blitzcrank | Karma | Fiora
Yasuo's Bladework,D,4.59,+0.09,10.7%,1298,0.6%,Kindred | Master Yi | Riven | Bel'Veth | Urgot
Luden's Tempest,D,4.62,+0.12,10.6%,1187,0.5%,Karma | Twisted Fate | Milio | Aurelion Sol | Lulu
