Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,4.02,-0.48,17.5%,2358,0.8%,Master Yi | Riven | Xayah | Briar | Urgot
Death's Defiance,S,4.04,-0.46,15.6%,2359,0.8%,Riven | Master Yi | Fiora | Briar | Urgot
Gold Collector,S,4.10,-0.40,14.6%,2346,0.8%,Corki | Kindred | Kai'Sa | Jhin | Graves
Infinity Force,S,4.19,-0.31,14.1%,3414,1.2%,Riven | Master Yi | Fiora | Briar | Urgot
Mogul's Mail,A,4.22,-0.28,14.6%,3127,1.1%,Nunu & Willump | Rammus | Tahm Kench | Leona | The Mighty Mech
Hellfire Hatchet,A,4.23,-0.27,13.3%,1920,0.7%,Riven | Master Yi | Briar | Fiora | Urgot
Lightshield Crest,A,4.25,-0.25,13.8%,3475,1.2%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Evelynn's Instinct,A,4.28,-0.22,13.3%,3791,1.3%,Master Yi | Riven | Bel'Veth | Fiora | Diana
Wit's End,A,4.29,-0.21,11.9%,1699,0.6%,Riven | Vex | LeBlanc | Diana | Teemo
Rapid Firecannon,B,4.30,-0.20,13.8%,1806,0.6%,Master Yi | Bel'Veth | Diana | Riven | Urgot
Lich Bane,B,4.30,-0.20,13.5%,1642,0.6%,Milio | Karma | Riven | Sona | Vex
Fishbones,B,4.31,-0.19,12.6%,2188,0.7%,Corki | Kindred | Kai'Sa | Xayah | Jhin
Prowler's Claw,B,4.31,-0.19,12.6%,1930,0.7%,Riven | Urgot | Master Yi | Fiora | Briar
Thresh's Lantern,B,4.32,-0.18,12.4%,4170,1.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Mittens,B,4.33,-0.17,14.3%,1994,0.7%,Riven | Master Yi | Fiora | Bel'Veth | Diana
Statikk Shiv,B,4.34,-0.16,14.1%,1869,0.6%,Vex | LeBlanc | Teemo | Kindred | Karma
Dawncore,B,4.34,-0.16,14.0%,2702,0.9%,Lulu | Karma | Ezreal | Kai'Sa | Milio
Ahri's Aura,B,4.36,-0.14,12.9%,3670,1.2%,Aurelion Sol | Karma | Milio | Lulu | Bard
Void Gauntlet,B,4.37,-0.13,14.0%,2179,0.7%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
The Indomitable,B,4.37,-0.13,14.3%,3970,1.4%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Maokai
Gambler's Blade,B,4.37,-0.13,14.5%,2111,0.7%,Vex | Kindred | LeBlanc | Teemo | Xayah
Eternal Pact,B,4.37,-0.13,13.1%,2139,0.7%,Karma | Aurelion Sol | Lulu | Milio | Bard
Flickerblades,B,4.38,-0.12,14.2%,2610,0.9%,Kindred | Vex | LeBlanc | Xayah | Teemo
Seeker's Armguard,B,4.39,-0.11,13.3%,2003,0.7%,Riven | Diana | Aurelion Sol | Blitzcrank | Karma
Blighting Jewel,B,4.39,-0.11,13.4%,1630,0.6%,Aurelion Sol | Karma | Milio | Bard | Lulu
Aegis of Dawn,C,4.41,-0.09,11.8%,2503,0.9%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Jax
Silvermere Dawn,C,4.43,-0.07,11.9%,2171,0.7%,The Mighty Mech | Corki | Rammus | Tahm Kench | Riven
Aegis of Dusk,C,4.44,-0.06,12.1%,2294,0.8%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Sniper's Focus,C,4.47,-0.03,13.4%,2300,0.8%,Corki | Kindred | Aurelion Sol | Kai'Sa | Jhin
Soraka's Miracle,C,4.48,-0.02,12.1%,6966,2.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Jax
Hullcrusher,C,4.48,-0.02,12.2%,2139,0.7%,The Mighty Mech | Rammus | Nunu & Willump | Jax | Riven
Cappa Juice,C,4.49,-0.01,13.3%,1341,0.5%,Corki | Kindred | Aurelion Sol | Kai'Sa | Karma
Zhonya's Paradox,C,4.50,-0.00,13.6%,1894,0.6%,Riven | Aurelion Sol | Blitzcrank | Karma | Fiora
Talisman Of Ascension,D,4.50,+0.00,13.4%,1133,0.4%,Cho'Gath | Tahm Kench | Kindred | Riven | Maokai
Crown of Demacia,D,4.55,+0.05,10.9%,1441,0.5%,Cho'Gath | Corki | Teemo | Aurelion Sol | Kai'Sa
Varus's Obsession,D,4.55,+0.05,10.2%,3440,1.2%,Corki | Aurelion Sol | Teemo | Kindred | LeBlanc
Ekko's Patience,D,4.58,+0.08,12.1%,3354,1.1%,Aurelion Sol | Zoe | Karma | Milio | Lulu
Luden's Tempest,D,4.59,+0.09,10.9%,1621,0.6%,Karma | Twisted Fate | Aurelion Sol | Milio | Lulu
Yasuo's Bladework,D,4.60,+0.10,10.4%,1718,0.6%,Kindred | Master Yi | Riven | Urgot | Bel'Veth
