Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.94,-0.56,17.7%,3864,0.8%,Master Yi | Riven | Xayah | Urgot | Fiora
Death's Defiance,S,4.08,-0.42,15.5%,3810,0.8%,Riven | Master Yi | Fiora | Diana | Briar
Gold Collector,S,4.14,-0.36,15.0%,3773,0.8%,Corki | Kindred | Jhin | Kai'Sa | Graves
Infinity Force,S,4.19,-0.31,14.4%,5521,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Urgot
Mogul's Mail,A,4.22,-0.28,14.3%,4945,1.1%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Lightshield Crest,A,4.23,-0.27,14.0%,5400,1.2%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Hellfire Hatchet,A,4.25,-0.25,13.5%,3098,0.7%,Riven | Master Yi | Fiora | Urgot | Briar
Wit's End,A,4.26,-0.24,13.2%,2693,0.6%,Riven | Vex | Diana | LeBlanc | Master Yi
Evelynn's Instinct,A,4.27,-0.23,12.7%,6105,1.3%,Master Yi | Riven | Bel'Veth | Fiora | Diana
Lich Bane,A,4.29,-0.21,14.0%,2587,0.6%,Karma | Milio | Riven | Sona | Vex
Fishbones,A,4.29,-0.21,12.4%,3544,0.8%,Corki | Kindred | Xayah | Kai'Sa | Jhin
Ahri's Aura,B,4.31,-0.19,13.6%,5780,1.2%,Aurelion Sol | Karma | Milio | Lulu | Bard
Thresh's Lantern,B,4.32,-0.18,12.7%,6587,1.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Statikk Shiv,B,4.34,-0.16,14.3%,2915,0.6%,Vex | LeBlanc | Karma | Teemo | Kindred
Prowler's Claw,B,4.35,-0.15,12.4%,3030,0.7%,Riven | Urgot | Master Yi | Fiora | Blitzcrank
Mittens,B,4.35,-0.15,13.8%,3202,0.7%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Silvermere Dawn,B,4.36,-0.14,12.5%,3388,0.7%,The Mighty Mech | Corki | Rammus | Tahm Kench | Nunu & Willump
Eternal Pact,B,4.36,-0.14,13.5%,3309,0.7%,Aurelion Sol | Karma | Lulu | Milio | Bard
Dawncore,B,4.36,-0.14,13.9%,4293,0.9%,Lulu | Karma | Ezreal | Milio | Sona
Flickerblades,B,4.36,-0.14,14.1%,4087,0.9%,Kindred | Vex | LeBlanc | Xayah | Diana
The Indomitable,B,4.37,-0.13,14.1%,6222,1.3%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Gambler's Blade,B,4.37,-0.13,14.3%,3337,0.7%,Vex | LeBlanc | Kindred | Xayah | Karma
Rapid Firecannon,B,4.38,-0.12,13.6%,2782,0.6%,Master Yi | Diana | Riven | Bel'Veth | Urgot
Void Gauntlet,B,4.39,-0.11,13.5%,3368,0.7%,Tahm Kench | Rammus | Nunu & Willump | The Mighty Mech | Maokai
Seeker's Armguard,B,4.40,-0.10,13.7%,3135,0.7%,Riven | Diana | Aurelion Sol | Blitzcrank | Karma
Aegis of Dawn,C,4.42,-0.08,12.3%,3981,0.9%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Aegis of Dusk,C,4.43,-0.07,12.2%,3548,0.8%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Zhonya's Paradox,C,4.46,-0.04,13.7%,3027,0.7%,Riven | Aurelion Sol | Blitzcrank | Karma | Diana
Soraka's Miracle,C,4.46,-0.04,12.1%,10958,2.4%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Illaoi
Blighting Jewel,C,4.47,-0.03,12.7%,2581,0.6%,Aurelion Sol | Karma | Bard | Milio | Lulu
Sniper's Focus,C,4.47,-0.03,12.8%,3622,0.8%,Corki | Kindred | Aurelion Sol | Vex | Jhin
Hullcrusher,C,4.49,-0.01,11.7%,3285,0.7%,The Mighty Mech | Rammus | Nunu & Willump | Riven | Illaoi
Cappa Juice,C,4.50,-0.00,13.6%,2122,0.5%,Corki | Aurelion Sol | Kindred | Karma | Vex
Talisman Of Ascension,D,4.51,+0.01,13.0%,1811,0.4%,Cho'Gath | Riven | The Mighty Mech | Blitzcrank | Tahm Kench
Crown of Demacia,D,4.53,+0.03,11.5%,2259,0.5%,Corki | Cho'Gath | Aurelion Sol | Vex | LeBlanc
Yasuo's Bladework,D,4.57,+0.07,10.5%,2729,0.6%,Kindred | Master Yi | Riven | Urgot | Xayah
Luden's Tempest,D,4.58,+0.08,11.0%,2509,0.5%,Karma | Aurelion Sol | Milio | Twisted Fate | Aurora
Varus's Obsession,D,4.59,+0.09,10.2%,5410,1.2%,Corki | Aurelion Sol | Kindred | LeBlanc | Vex
Ekko's Patience,D,4.60,+0.10,11.8%,5070,1.1%,Aurelion Sol | Zoe | Karma | Milio | Lulu
