Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.89,-0.61,18.1%,4261,0.8%,Master Yi | Riven | Xayah | Fiora | Urgot
Death's Defiance,S,4.09,-0.41,15.3%,4314,0.8%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Gold Collector,S,4.16,-0.34,14.4%,4210,0.8%,Corki | Kindred | Jhin | Kai'Sa | Graves
Lightshield Crest,A,4.20,-0.30,14.4%,5904,1.2%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Mogul's Mail,A,4.20,-0.30,14.7%,5329,1.0%,Nunu & Willump | Rammus | Illaoi | The Mighty Mech | Tahm Kench
Wit's End,A,4.21,-0.29,14.3%,2972,0.6%,Riven | Vex | Diana | LeBlanc | Master Yi
Infinity Force,A,4.24,-0.26,13.4%,6308,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Diana
Hellfire Hatchet,A,4.26,-0.24,13.0%,3350,0.7%,Riven | Master Yi | Fiora | Urgot | Graves
Evelynn's Instinct,A,4.28,-0.22,12.8%,6952,1.4%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Fishbones,A,4.29,-0.21,12.2%,3940,0.8%,Corki | Kindred | Xayah | Kai'Sa | Jhin
Ahri's Aura,B,4.30,-0.20,13.6%,6317,1.2%,Aurelion Sol | Karma | Milio | Bard | Lulu
Lich Bane,B,4.31,-0.19,14.0%,2820,0.6%,Karma | Milio | Riven | Sona | Vex
Silvermere Dawn,B,4.32,-0.18,12.6%,3711,0.7%,The Mighty Mech | Corki | Rammus | Tahm Kench | Riven
Thresh's Lantern,B,4.33,-0.17,12.7%,7235,1.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Dawncore,B,4.34,-0.16,14.0%,4654,0.9%,Lulu | Karma | Ezreal | Sona | Milio
Gambler's Blade,B,4.34,-0.16,14.9%,3641,0.7%,Vex | Kindred | LeBlanc | Xayah | Milio
Statikk Shiv,B,4.34,-0.16,14.5%,3158,0.6%,Vex | LeBlanc | Karma | Kindred | Milio
Void Gauntlet,B,4.36,-0.14,13.7%,3623,0.7%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Maokai
Flickerblades,B,4.37,-0.13,13.4%,4502,0.9%,Vex | Kindred | LeBlanc | Xayah | Diana
Mittens,B,4.38,-0.12,13.1%,3621,0.7%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Eternal Pact,B,4.38,-0.12,13.1%,3605,0.7%,Aurelion Sol | Karma | Lulu | Milio | Bard
The Indomitable,B,4.38,-0.12,13.5%,6686,1.3%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Seeker's Armguard,C,4.41,-0.09,13.8%,3442,0.7%,Riven | Diana | Blitzcrank | Aurelion Sol | Karma
Aegis of Dusk,C,4.41,-0.09,12.1%,3824,0.7%,Nunu & Willump | Rammus | The Mighty Mech | Illaoi | Tahm Kench
Aegis of Dawn,C,4.43,-0.07,12.6%,4345,0.8%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Prowler's Claw,C,4.43,-0.07,12.4%,3264,0.6%,Riven | Urgot | Master Yi | Fiora | Blitzcrank
Soraka's Miracle,C,4.46,-0.04,11.9%,12189,2.4%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Illaoi
Sniper's Focus,C,4.46,-0.04,12.5%,3973,0.8%,Corki | Aurelion Sol | Kindred | Vex | Jhin
Zhonya's Paradox,C,4.47,-0.03,13.7%,3311,0.6%,Riven | Aurelion Sol | Blitzcrank | Karma | Diana
Rapid Firecannon,C,4.47,-0.03,13.3%,3003,0.6%,Master Yi | Diana | Riven | Bel'Veth | Urgot
Hullcrusher,C,4.49,-0.01,11.3%,3601,0.7%,Rammus | The Mighty Mech | Nunu & Willump | Riven | Illaoi
Talisman Of Ascension,D,4.51,+0.01,13.3%,2005,0.4%,Cho'Gath | Riven | Blitzcrank | Tahm Kench | The Mighty Mech
Cappa Juice,D,4.51,+0.01,13.9%,2316,0.5%,Corki | Aurelion Sol | Kindred | Vex | Karma
Varus's Obsession,D,4.56,+0.06,10.2%,5818,1.1%,Corki | Aurelion Sol | Kindred | Vex | LeBlanc
Blighting Jewel,D,4.56,+0.06,11.8%,2822,0.6%,Aurelion Sol | Karma | Bard | Milio | Vex
Luden's Tempest,D,4.57,+0.07,11.9%,2763,0.5%,Karma | Aurelion Sol | Milio | Aurora | Bard
Crown of Demacia,D,4.58,+0.08,10.8%,2407,0.5%,Corki | Cho'Gath | Aurelion Sol | Vex | Lulu
Yasuo's Bladework,D,4.59,+0.09,10.5%,2987,0.6%,Kindred | Riven | Master Yi | Xayah | Urgot
Ekko's Patience,D,4.65,+0.15,11.3%,5182,1.0%,Aurelion Sol | Zoe | Karma | Milio | Bard
