Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.84,-0.66,18.3%,4627,0.9%,Master Yi | Riven | Xayah | Fiora | Graves
Death's Defiance,S,4.14,-0.36,15.0%,4649,0.9%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Lightshield Crest,S,4.19,-0.31,14.5%,6239,1.2%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Wit's End,A,4.21,-0.29,15.4%,3102,0.6%,Riven | Vex | Diana | LeBlanc | Master Yi
Gold Collector,A,4.23,-0.27,13.9%,4357,0.8%,Corki | Kindred | Jhin | Kai'Sa | Graves
Hellfire Hatchet,A,4.24,-0.26,14.2%,3571,0.7%,Riven | Master Yi | Fiora | Urgot | Graves
Mogul's Mail,A,4.26,-0.24,14.3%,5462,1.0%,Nunu & Willump | Rammus | The Mighty Mech | Illaoi | Tahm Kench
Infinity Force,A,4.28,-0.22,13.2%,6733,1.3%,Riven | Master Yi | Fiora | Blitzcrank | Diana
Ahri's Aura,A,4.28,-0.22,13.3%,6558,1.2%,Aurelion Sol | Karma | Milio | Bard | Lulu
Silvermere Dawn,A,4.29,-0.21,12.8%,3915,0.7%,The Mighty Mech | Corki | Rammus | Tahm Kench | Riven
Fishbones,A,4.30,-0.20,12.0%,4190,0.8%,Corki | Kindred | Kai'Sa | Jhin | Xayah
Eternal Pact,B,4.30,-0.20,14.2%,3665,0.7%,Aurelion Sol | Karma | Lulu | Milio | Bard
Evelynn's Instinct,B,4.31,-0.19,12.3%,7421,1.4%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Flickerblades,B,4.32,-0.18,14.0%,4794,0.9%,Vex | Kindred | LeBlanc | Xayah | Diana
Statikk Shiv,B,4.34,-0.16,14.9%,3262,0.6%,Vex | LeBlanc | Karma | Kindred | Milio
Thresh's Lantern,B,4.35,-0.15,13.1%,7497,1.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Dawncore,B,4.36,-0.14,14.6%,4822,0.9%,Lulu | Karma | Ezreal | Milio | Sona
Lich Bane,B,4.38,-0.12,13.1%,2911,0.5%,Karma | Milio | Riven | Sona | Vex
Void Gauntlet,B,4.38,-0.12,13.6%,3725,0.7%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Maokai
Gambler's Blade,B,4.39,-0.11,14.1%,3824,0.7%,Vex | Kindred | LeBlanc | Xayah | Milio
The Indomitable,C,4.41,-0.09,12.7%,6996,1.3%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Mittens,C,4.41,-0.09,12.5%,3829,0.7%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Sniper's Focus,C,4.43,-0.07,12.1%,4205,0.8%,Corki | Kindred | Aurelion Sol | Vex | Jhin
Aegis of Dusk,C,4.44,-0.06,12.1%,3957,0.7%,Nunu & Willump | Rammus | The Mighty Mech | Illaoi | Tahm Kench
Seeker's Armguard,C,4.44,-0.06,14.4%,3685,0.7%,Riven | Diana | Blitzcrank | Aurelion Sol | Karma
Soraka's Miracle,C,4.45,-0.05,12.0%,12678,2.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Rapid Firecannon,C,4.45,-0.05,13.8%,3149,0.6%,Master Yi | Diana | Riven | Kindred | Vex
Aegis of Dawn,C,4.46,-0.04,12.3%,4560,0.9%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Talisman Of Ascension,C,4.46,-0.04,13.6%,2124,0.4%,Cho'Gath | Riven | Tahm Kench | Blitzcrank | The Mighty Mech
Hullcrusher,C,4.46,-0.04,11.6%,3704,0.7%,Rammus | The Mighty Mech | Nunu & Willump | Riven | Illaoi
Cappa Juice,C,4.47,-0.03,14.3%,2408,0.5%,Corki | Aurelion Sol | Kindred | Vex | Karma
Prowler's Claw,C,4.49,-0.01,11.9%,3420,0.6%,Riven | Urgot | Master Yi | Fiora | Blitzcrank
Zhonya's Paradox,D,4.54,+0.04,13.0%,3431,0.6%,Riven | Aurelion Sol | Blitzcrank | Diana | Karma
Varus's Obsession,D,4.54,+0.04,10.4%,5958,1.1%,Corki | Aurelion Sol | Kindred | Vex | Karma
Yasuo's Bladework,D,4.56,+0.06,10.3%,3183,0.6%,Kindred | Riven | Master Yi | Xayah | Corki
Blighting Jewel,D,4.56,+0.06,11.8%,2858,0.5%,Aurelion Sol | Karma | Bard | Milio | Vex
Crown of Demacia,D,4.57,+0.07,11.1%,2361,0.4%,Corki | Cho'Gath | Aurelion Sol | Vex | Lulu
Ekko's Patience,D,4.58,+0.08,11.2%,5055,1.0%,Aurelion Sol | Zoe | Karma | Milio | Lulu
Luden's Tempest,D,4.60,+0.10,11.6%,2820,0.5%,Karma | Aurelion Sol | Milio | Aurora | Bard
