Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.89,-0.61,17.9%,5392,1.0%,Master Yi | Riven | Xayah | Graves | Fiora
Gold Collector,S,4.10,-0.40,15.3%,4852,0.9%,Corki | Jhin | Kindred | Graves | Xayah
Death's Defiance,S,4.18,-0.32,13.8%,4740,0.8%,Riven | Master Yi | Fiora | Diana | Blitzcrank
Lightshield Crest,A,4.22,-0.28,13.6%,6450,1.1%,Rammus | Nunu & Willump | Tahm Kench | Illaoi | The Mighty Mech
Mogul's Mail,A,4.24,-0.26,15.7%,6494,1.2%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Hellfire Hatchet,A,4.28,-0.22,12.8%,3747,0.7%,Riven | Master Yi | Fiora | Graves | Urgot
Dawncore,A,4.28,-0.22,14.7%,4867,0.9%,Lulu | Karma | Sona | Lissandra | Ezreal
Wit's End,B,4.31,-0.19,15.4%,3424,0.6%,Vex | Diana | Riven | LeBlanc | Blitzcrank
Ahri's Aura,B,4.32,-0.18,13.3%,5931,1.1%,Aurelion Sol | Karma | Bard | Milio | Sona
Eternal Pact,B,4.33,-0.17,13.3%,3477,0.6%,Karma | Aurelion Sol | Bard | Milio | Lulu
Fishbones,B,4.33,-0.17,11.8%,4837,0.9%,Corki | Xayah | Kindred | Jhin | Graves
Void Gauntlet,B,4.33,-0.17,14.2%,3969,0.7%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Statikk Shiv,B,4.34,-0.16,15.7%,3784,0.7%,Vex | LeBlanc | Milio | Kindred | Karma
Infinity Force,B,4.35,-0.15,11.6%,6882,1.2%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Silvermere Dawn,B,4.35,-0.15,11.9%,3852,0.7%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
The Indomitable,B,4.36,-0.14,13.4%,7407,1.3%,Rammus | Nunu & Willump | Tahm Kench | Illaoi | The Mighty Mech
Thresh's Lantern,B,4.37,-0.13,12.8%,8420,1.5%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Evelynn's Instinct,B,4.38,-0.12,11.7%,7927,1.4%,Master Yi | Riven | Diana | Fiora | Bel'Veth
Seeker's Armguard,B,4.39,-0.11,14.2%,3757,0.7%,Diana | Riven | Blitzcrank | Vex | Aurelion Sol
Cappa Juice,B,4.40,-0.10,14.4%,2563,0.5%,Corki | Vex | Kindred | Xayah | Aurelion Sol
Gambler's Blade,B,4.40,-0.10,15.2%,5056,0.9%,Vex | Xayah | Kindred | LeBlanc | Jhin
Lich Bane,B,4.40,-0.10,13.1%,2952,0.5%,Milio | Vex | Sona | Karma | Riven
Mittens,C,4.40,-0.10,12.3%,4127,0.7%,Riven | Master Yi | Fiora | Diana | Graves
Flickerblades,C,4.42,-0.08,13.8%,5842,1.0%,Vex | Xayah | Kindred | LeBlanc | Diana
Talisman Of Ascension,C,4.42,-0.08,13.9%,2354,0.4%,Cho'Gath | Tahm Kench | Blitzcrank | Riven | Kindred
Aegis of Dawn,C,4.43,-0.07,11.8%,5028,0.9%,Rammus | Tahm Kench | Nunu & Willump | Illaoi | The Mighty Mech
Ekko's Patience,C,4.47,-0.03,12.1%,4234,0.8%,Aurelion Sol | Zoe | Karma | Bard | Milio
Prowler's Claw,C,4.48,-0.02,10.5%,3629,0.6%,Riven | Urgot | Master Yi | Fiora | Graves
Aegis of Dusk,C,4.48,-0.02,12.0%,3785,0.7%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Soraka's Miracle,C,4.48,-0.02,11.2%,13001,2.3%,Rammus | Nunu & Willump | Tahm Kench | Cho'Gath | Illaoi
Zhonya's Paradox,C,4.49,-0.01,12.8%,3400,0.6%,Riven | Blitzcrank | Diana | Aurelion Sol | Vex
Varus's Obsession,C,4.49,-0.01,10.7%,5929,1.1%,Corki | Vex | Aurelion Sol | Kindred | Xayah
Hullcrusher,C,4.50,-0.00,11.4%,3764,0.7%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Riven
Crown of Demacia,D,4.51,+0.01,11.6%,2940,0.5%,Cho'Gath | Corki | Vex | Xayah | Miss Fortune
Sniper's Focus,D,4.52,+0.02,11.8%,4273,0.8%,Corki | Vex | Jhin | Kindred | Xayah
Rapid Firecannon,D,4.53,+0.03,11.6%,3601,0.6%,Master Yi | Diana | Xayah | Riven | Vex
Blighting Jewel,D,4.53,+0.03,11.9%,2748,0.5%,Bard | Karma | Aurelion Sol | Vex | Milio
Luden's Tempest,D,4.59,+0.09,9.0%,2758,0.5%,Karma | Milio | Aurelion Sol | Bard | Lissandra
Yasuo's Bladework,D,4.68,+0.18,9.7%,3771,0.7%,Xayah | Kindred | Riven | Master Yi | Graves
