Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.94,-0.56,17.8%,3267,0.9%,Master Yi | Xayah | Riven | Graves | Fiora
Gold Collector,A,4.21,-0.29,14.3%,2773,0.8%,Corki | Jhin | Xayah | Graves | Miss Fortune
Mogul's Mail,A,4.21,-0.29,15.7%,4560,1.3%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Leona
Hellfire Hatchet,A,4.22,-0.28,14.0%,2275,0.7%,Riven | Master Yi | Graves | Fiora | Urgot
Lightshield Crest,A,4.23,-0.27,14.3%,4068,1.2%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Ahri's Aura,A,4.25,-0.25,12.8%,3511,1.0%,Aurelion Sol | Bard | Karma | Sona | Milio
Death's Defiance,A,4.26,-0.24,12.7%,2555,0.7%,Riven | Fiora | Master Yi | Blitzcrank | Diana
Wit's End,A,4.28,-0.22,14.4%,2211,0.6%,Vex | Diana | Riven | LeBlanc | Blitzcrank
Infinity Force,A,4.30,-0.20,12.1%,3903,1.1%,Master Yi | Riven | Fiora | Blitzcrank | Graves
Dawncore,B,4.31,-0.19,13.7%,3146,0.9%,Lulu | Miss Fortune | Sona | Karma | Lissandra
Statikk Shiv,B,4.32,-0.18,16.5%,2587,0.7%,Vex | LeBlanc | Kindred | Milio | Xayah
Ekko's Patience,B,4.34,-0.16,13.7%,3339,1.0%,Aurelion Sol | Zoe | Bard | Karma | Milio
Void Gauntlet,B,4.36,-0.14,12.2%,2529,0.7%,Tahm Kench | Nunu & Willump | Maokai | Rammus | Illaoi
The Indomitable,B,4.36,-0.14,13.2%,4397,1.3%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Blighting Jewel,B,4.38,-0.12,12.9%,1966,0.6%,Bard | Vex | Karma | Aurelion Sol | Milio
Thresh's Lantern,B,4.38,-0.12,12.8%,5090,1.5%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Gambler's Blade,B,4.38,-0.12,14.9%,3797,1.1%,Vex | Xayah | Kindred | LeBlanc | Jhin
Silvermere Dawn,B,4.38,-0.12,11.6%,2125,0.6%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
Evelynn's Instinct,B,4.38,-0.12,11.3%,4783,1.4%,Master Yi | Riven | Diana | Fiora | Bel'Veth
Fishbones,B,4.38,-0.12,12.7%,2806,0.8%,Corki | Xayah | Kindred | Graves | Jhin
Flickerblades,B,4.40,-0.10,14.1%,4114,1.2%,Vex | Xayah | Kindred | LeBlanc | Miss Fortune
Mittens,B,4.40,-0.10,12.3%,2472,0.7%,Riven | Master Yi | Fiora | Graves | Xayah
Lich Bane,C,4.41,-0.09,12.1%,1901,0.6%,Vex | Sona | Milio | Karma | Riven
Talisman Of Ascension,C,4.42,-0.08,15.2%,1470,0.4%,Cho'Gath | Blitzcrank | Tahm Kench | Riven | Nunu & Willump
Eternal Pact,C,4.42,-0.08,13.6%,2060,0.6%,Aurelion Sol | Bard | Karma | Vex | Sona
Seeker's Armguard,C,4.43,-0.07,13.6%,2279,0.7%,Diana | Riven | Blitzcrank | Vex | Aurelion Sol
Cappa Juice,C,4.44,-0.06,14.5%,1584,0.5%,Corki | Vex | Xayah | Kindred | Miss Fortune
Aegis of Dawn,C,4.45,-0.05,11.1%,2904,0.8%,Tahm Kench | Rammus | Nunu & Willump | Illaoi | Maokai
Luden's Tempest,C,4.47,-0.03,10.9%,1827,0.5%,Karma | Bard | Aurelion Sol | Milio | Nami
Aegis of Dusk,C,4.47,-0.03,11.4%,2528,0.7%,Nunu & Willump | Tahm Kench | Illaoi | Rammus | The Mighty Mech
Crown of Demacia,C,4.47,-0.03,12.4%,2003,0.6%,Cho'Gath | Vex | Xayah | Corki | Miss Fortune
Zhonya's Paradox,C,4.47,-0.03,13.7%,1997,0.6%,Blitzcrank | Riven | Diana | Vex | Fiora
Prowler's Claw,C,4.48,-0.02,10.3%,2153,0.6%,Riven | Urgot | Fiora | Master Yi | Graves
Varus's Obsession,C,4.48,-0.02,9.5%,3744,1.1%,Corki | Vex | Xayah | Kindred | Jhin
Soraka's Miracle,D,4.50,+0.00,11.2%,7535,2.2%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Cho'Gath
Hullcrusher,D,4.50,+0.00,11.4%,2188,0.6%,Tahm Kench | Rammus | Nunu & Willump | The Mighty Mech | Riven
Rapid Firecannon,D,4.59,+0.09,10.5%,2298,0.7%,Master Yi | Diana | Xayah | Graves | Vex
Sniper's Focus,D,4.60,+0.10,10.9%,2655,0.8%,Corki | Vex | Xayah | Jhin | Kindred
Yasuo's Bladework,D,4.60,+0.10,10.7%,2709,0.8%,Xayah | Kindred | Master Yi | Graves | Riven
