Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.84,-0.66,18.4%,5916,1.0%,Xayah | Master Yi | Graves | Riven | Urgot
Gold Collector,S,4.17,-0.33,13.8%,4642,0.8%,Corki | Miss Fortune | Jhin | Graves | Xayah
Death's Defiance,A,4.21,-0.29,14.2%,4578,0.8%,Riven | Fiora | Master Yi | Blitzcrank | Graves
Hellfire Hatchet,A,4.22,-0.28,14.4%,3810,0.6%,Master Yi | Riven | Graves | Fiora | Urgot
Mogul's Mail,A,4.23,-0.27,15.5%,8107,1.4%,Nunu & Willump | Tahm Kench | Leona | Illaoi | Rammus
Dawncore,A,4.24,-0.26,14.4%,5493,0.9%,Miss Fortune | Sona | Lulu | Karma | Nami
Lightshield Crest,A,4.25,-0.25,13.5%,6947,1.2%,Nunu & Willump | Tahm Kench | Rammus | Leona | Illaoi
Ahri's Aura,A,4.29,-0.21,12.8%,6660,1.1%,Aurelion Sol | Bard | Sona | Karma | Vex
Blighting Jewel,A,4.30,-0.20,14.4%,3495,0.6%,Bard | Vex | Karma | Aurelion Sol | Sona
Talisman Of Ascension,A,4.30,-0.20,14.3%,2515,0.4%,Cho'Gath | Blitzcrank | Leona | Tahm Kench | Nunu & Willump
Silvermere Dawn,B,4.32,-0.18,12.8%,3694,0.6%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Leona
The Indomitable,B,4.33,-0.17,13.7%,7907,1.3%,Nunu & Willump | Tahm Kench | Rammus | Leona | Illaoi
Wit's End,B,4.33,-0.17,13.7%,3705,0.6%,Vex | Diana | LeBlanc | Riven | Blitzcrank
Fishbones,B,4.35,-0.15,12.0%,5053,0.8%,Xayah | Corki | Graves | Kindred | Miss Fortune
Thresh's Lantern,B,4.36,-0.14,12.6%,8963,1.5%,Nunu & Willump | Tahm Kench | Rammus | Leona | Illaoi
Infinity Force,B,4.36,-0.14,11.2%,6325,1.1%,Master Yi | Riven | Fiora | Blitzcrank | Graves
Lich Bane,B,4.36,-0.14,13.9%,3269,0.5%,Sona | Vex | Milio | Karma | LeBlanc
Void Gauntlet,B,4.36,-0.14,13.0%,4231,0.7%,Tahm Kench | Nunu & Willump | Maokai | Rammus | Leona
Evelynn's Instinct,B,4.37,-0.13,10.0%,8679,1.4%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Mittens,B,4.37,-0.13,12.3%,4445,0.7%,Riven | Master Yi | Fiora | Graves | Xayah
Gambler's Blade,B,4.38,-0.12,14.9%,6642,1.1%,Vex | Xayah | LeBlanc | Kindred | Sona
Statikk Shiv,B,4.38,-0.12,15.0%,4693,0.8%,Vex | LeBlanc | Xayah | Kindred | Milio
Flickerblades,B,4.39,-0.11,13.4%,7267,1.2%,Vex | Xayah | LeBlanc | Kindred | Miss Fortune
Aegis of Dawn,C,4.42,-0.08,12.1%,5205,0.9%,Tahm Kench | Nunu & Willump | Rammus | Leona | Ornn
Eternal Pact,C,4.44,-0.06,13.2%,3656,0.6%,Bard | Karma | Aurelion Sol | Vex | Sona
Cappa Juice,C,4.44,-0.06,14.3%,2727,0.5%,Vex | Xayah | Corki | Miss Fortune | Kindred
Hullcrusher,C,4.44,-0.06,12.0%,3687,0.6%,Nunu & Willump | Tahm Kench | Rammus | Leona | The Mighty Mech
Seeker's Armguard,C,4.45,-0.05,13.1%,3993,0.7%,Diana | Blitzcrank | Riven | Vex | Aurelion Sol
Varus's Obsession,C,4.48,-0.02,10.5%,6419,1.1%,Vex | Corki | Xayah | Miss Fortune | LeBlanc
Aegis of Dusk,C,4.49,-0.01,11.3%,4250,0.7%,Nunu & Willump | Tahm Kench | Leona | Illaoi | Rammus
Soraka's Miracle,C,4.50,-0.00,10.8%,14150,2.4%,Nunu & Willump | Tahm Kench | Rammus | Leona | Illaoi
Crown of Demacia,C,4.50,-0.00,11.0%,3405,0.6%,Cho'Gath | Vex | Xayah | Miss Fortune | Corki
Luden's Tempest,D,4.50,+0.00,10.1%,2904,0.5%,Karma | Bard | Nami | Vex | Aurelion Sol
Prowler's Claw,D,4.51,+0.01,10.3%,3760,0.6%,Urgot | Riven | Fiora | Master Yi | Graves
Sniper's Focus,D,4.54,+0.04,11.5%,4608,0.8%,Vex | Xayah | Jhin | Corki | Kindred
Zhonya's Paradox,D,4.55,+0.05,12.5%,3419,0.6%,Blitzcrank | Riven | Vex | Diana | Fiora
Rapid Firecannon,D,4.58,+0.08,10.7%,3885,0.6%,Master Yi | Diana | Xayah | Graves | Vex
Yasuo's Bladework,D,4.58,+0.08,9.8%,4494,0.7%,Xayah | Kindred | Graves | Miss Fortune | Master Yi
