Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.99,-0.51,17.9%,5767,0.9%,Xayah | Master Yi | Riven | Graves | Urgot
Dawncore,S,4.19,-0.31,14.2%,6430,1.0%,Miss Fortune | Nami | Sona | Lulu | Karma
Mogul's Mail,S,4.19,-0.31,14.8%,8214,1.3%,Nunu & Willump | Tahm Kench | Ornn | Rammus | Leona
Gold Collector,A,4.20,-0.30,13.5%,5135,0.8%,Corki | Samira | Miss Fortune | Graves | Jhin
Death's Defiance,A,4.23,-0.27,12.9%,4767,0.8%,Riven | Fiora | Master Yi | Blitzcrank | Urgot
The Indomitable,A,4.27,-0.23,14.1%,8466,1.4%,Nunu & Willump | Tahm Kench | Rammus | Ornn | Maokai
Lightshield Crest,A,4.28,-0.22,14.3%,7171,1.2%,Nunu & Willump | Rammus | Tahm Kench | Ornn | Illaoi
Hellfire Hatchet,B,4.30,-0.20,14.0%,3917,0.6%,Riven | Master Yi | Graves | Urgot | Fiora
Silvermere Dawn,B,4.31,-0.19,13.3%,4176,0.7%,Corki | The Mighty Mech | Tahm Kench | Nunu & Willump | Ornn
Fishbones,B,4.32,-0.18,12.3%,5322,0.9%,Corki | Xayah | Samira | Kindred | Miss Fortune
Thresh's Lantern,B,4.32,-0.18,13.4%,9891,1.6%,Nunu & Willump | Tahm Kench | Rammus | Ornn | Illaoi
Eternal Pact,B,4.33,-0.17,13.2%,3867,0.6%,Nami | Bard | Aurelion Sol | Karma | Sona
Infinity Force,B,4.33,-0.17,11.5%,6546,1.1%,Riven | Master Yi | Fiora | Blitzcrank | Urgot
Wit's End,B,4.34,-0.16,14.1%,3713,0.6%,Vex | Diana | Riven | Blitzcrank | LeBlanc
Ahri's Aura,B,4.35,-0.15,12.2%,6724,1.1%,Aurelion Sol | Bard | Nami | Sona | Karma
Void Gauntlet,B,4.35,-0.15,12.3%,4542,0.7%,Tahm Kench | Nunu & Willump | Maokai | Ornn | Rammus
Lich Bane,B,4.35,-0.15,13.4%,3339,0.5%,Sona | Vex | Nami | Milio | Karma
Statikk Shiv,B,4.37,-0.13,14.5%,4105,0.7%,Vex | LeBlanc | Nami | Kindred | Xayah
Aegis of Dawn,B,4.39,-0.11,11.8%,5669,0.9%,Tahm Kench | Rammus | Ornn | Nunu & Willump | Maokai
Mittens,C,4.40,-0.10,12.6%,4291,0.7%,Riven | Master Yi | Fiora | Graves | Xayah
Evelynn's Instinct,C,4.40,-0.10,10.1%,8657,1.4%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Blighting Jewel,C,4.40,-0.10,12.7%,3384,0.6%,Bard | Vex | Aurelion Sol | Nami | Karma
Gambler's Blade,C,4.40,-0.10,13.6%,6448,1.0%,Vex | Xayah | LeBlanc | Kindred | Jhin
Talisman Of Ascension,C,4.42,-0.08,13.6%,2780,0.5%,Cho'Gath | Blitzcrank | Ornn | Tahm Kench | Leona
Crown of Demacia,C,4.42,-0.08,12.3%,4142,0.7%,Cho'Gath | Samira | Miss Fortune | Xayah | Vex
Flickerblades,C,4.42,-0.08,12.8%,6798,1.1%,Vex | Xayah | Kindred | LeBlanc | Miss Fortune
Cappa Juice,C,4.43,-0.07,13.6%,2835,0.5%,Vex | Corki | Samira | Xayah | Miss Fortune
Sniper's Focus,C,4.44,-0.06,11.8%,4806,0.8%,Vex | Xayah | Corki | Jhin | Samira
Seeker's Armguard,C,4.45,-0.05,12.1%,4166,0.7%,Diana | Riven | Blitzcrank | Vex | Gwen
Soraka's Miracle,C,4.46,-0.04,11.5%,14611,2.4%,Nunu & Willump | Ornn | Tahm Kench | Rammus | Cho'Gath
Zhonya's Paradox,C,4.47,-0.03,12.5%,3637,0.6%,Blitzcrank | Riven | Diana | Vex | Aurelion Sol
Hullcrusher,C,4.49,-0.01,11.8%,4161,0.7%,Ornn | Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech
Aegis of Dusk,C,4.49,-0.01,12.8%,4365,0.7%,Nunu & Willump | Tahm Kench | Ornn | Rammus | Illaoi
Prowler's Claw,D,4.53,+0.03,9.8%,3691,0.6%,Riven | Urgot | Fiora | Master Yi | Graves
Varus's Obsession,D,4.53,+0.03,10.4%,6850,1.1%,Corki | Samira | Vex | Miss Fortune | Xayah
Luden's Tempest,D,4.55,+0.05,10.7%,3176,0.5%,Nami | Karma | Bard | Milio | Aurelion Sol
Yasuo's Bladework,D,4.60,+0.10,10.1%,4506,0.7%,Xayah | Kindred | Graves | Miss Fortune | Master Yi
Rapid Firecannon,D,4.63,+0.13,11.4%,3809,0.6%,Master Yi | Diana | Xayah | Graves | Vex
