Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Titanic Hydra,S,3.94,-0.56,18.2%,5032,0.8%,Xayah | Master Yi | Riven | Graves | Urgot
Dawncore,A,4.21,-0.29,15.1%,6399,1.1%,Nami | Miss Fortune | Sona | Lulu | Samira
Mogul's Mail,A,4.21,-0.29,14.9%,8113,1.3%,Nunu & Willump | Ornn | Tahm Kench | Rammus | Leona
The Indomitable,A,4.21,-0.29,15.3%,8856,1.5%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Maokai
Death's Defiance,A,4.22,-0.28,13.2%,4343,0.7%,Riven | Fiora | Master Yi | Blitzcrank | Urgot
Lightshield Crest,A,4.23,-0.27,13.8%,7209,1.2%,Ornn | Nunu & Willump | Rammus | Tahm Kench | Illaoi
Gold Collector,A,4.24,-0.26,14.0%,4996,0.8%,Samira | Corki | Miss Fortune | Jhin | Graves
Fishbones,A,4.24,-0.26,13.9%,4970,0.8%,Samira | Corki | Xayah | Kindred | Graves
Ahri's Aura,A,4.29,-0.21,12.7%,6347,1.0%,Aurelion Sol | Nami | Bard | Sona | Karma
Hellfire Hatchet,A,4.30,-0.20,13.5%,3382,0.6%,Riven | Master Yi | Graves | Urgot | Fiora
Blighting Jewel,B,4.31,-0.19,12.8%,3365,0.6%,Bard | Nami | Vex | Aurelion Sol | Karma
Void Gauntlet,B,4.31,-0.19,14.1%,4506,0.7%,Tahm Kench | Ornn | Nunu & Willump | Maokai | Rammus
Eternal Pact,B,4.32,-0.18,13.9%,3877,0.6%,Nami | Bard | Aurelion Sol | Karma | Sona
Infinity Force,B,4.32,-0.18,12.2%,5829,1.0%,Riven | Master Yi | Fiora | Blitzcrank | Urgot
Silvermere Dawn,B,4.33,-0.17,13.9%,4114,0.7%,Corki | The Mighty Mech | Ornn | Tahm Kench | Nunu & Willump
Gambler's Blade,B,4.34,-0.16,13.6%,6141,1.0%,Vex | Xayah | LeBlanc | Kindred | Samira
Wit's End,B,4.35,-0.15,13.9%,3453,0.6%,Vex | Diana | Blitzcrank | Riven | LeBlanc
Statikk Shiv,B,4.36,-0.14,14.7%,4038,0.7%,Vex | LeBlanc | Nami | Kindred | Xayah
Thresh's Lantern,B,4.36,-0.14,12.4%,9481,1.6%,Nunu & Willump | Ornn | Tahm Kench | Rammus | Illaoi
Lich Bane,B,4.37,-0.13,13.2%,3241,0.5%,Sona | Nami | Vex | Karma | Milio
Talisman Of Ascension,B,4.39,-0.11,13.8%,2979,0.5%,Cho'Gath | Ornn | Blitzcrank | Tahm Kench | Leona
Aegis of Dawn,B,4.40,-0.10,12.0%,5576,0.9%,Ornn | Tahm Kench | Rammus | Nunu & Willump | Maokai
Flickerblades,C,4.42,-0.08,12.9%,6292,1.0%,Vex | Xayah | LeBlanc | Kindred | Miss Fortune
Cappa Juice,C,4.43,-0.07,14.0%,2809,0.5%,Samira | Vex | Corki | Xayah | Miss Fortune
Evelynn's Instinct,C,4.43,-0.07,9.9%,7332,1.2%,Master Yi | Riven | Fiora | Diana | Bel'Veth
Soraka's Miracle,C,4.44,-0.06,11.6%,15382,2.5%,Ornn | Nunu & Willump | Rammus | Tahm Kench | Cho'Gath
Crown of Demacia,C,4.45,-0.05,11.4%,4283,0.7%,Cho'Gath | Samira | Gnar | Miss Fortune | Vex
Mittens,C,4.45,-0.05,11.5%,3808,0.6%,Riven | Master Yi | Fiora | Blitzcrank | Graves
Hullcrusher,C,4.45,-0.05,12.2%,4158,0.7%,Ornn | Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech
Zhonya's Paradox,C,4.45,-0.05,13.2%,3375,0.6%,Blitzcrank | Riven | Diana | Aurelion Sol | Vex
Varus's Obsession,C,4.45,-0.05,10.9%,6982,1.2%,Samira | Corki | Vex | Miss Fortune | Nami
Seeker's Armguard,C,4.46,-0.04,12.6%,3771,0.6%,Blitzcrank | Diana | Riven | Gwen | Vex
Aegis of Dusk,C,4.46,-0.04,12.0%,4276,0.7%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Illaoi
Luden's Tempest,C,4.48,-0.02,11.2%,3101,0.5%,Nami | Karma | Bard | Blitzcrank | Sona
Sniper's Focus,C,4.48,-0.02,11.6%,4863,0.8%,Samira | Vex | Jhin | Xayah | Corki
Prowler's Claw,D,4.53,+0.03,10.4%,3384,0.6%,Urgot | Riven | Fiora | Master Yi | Graves
Rapid Firecannon,D,4.56,+0.06,11.7%,3649,0.6%,Master Yi | Diana | Xayah | Graves | Samira
Yasuo's Bladework,D,4.58,+0.08,9.8%,4443,0.7%,Xayah | Samira | Kindred | Graves | Miss Fortune
