Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Tactician's Crown,S,3.24,-1.26,29.1%,2111,0.6%,Karma | Milio | Sona | Rhaast | Meepsie
Voyager Emblem,A,4.07,-0.24,16.2%,10843,3.1%,Bard | Sona | Blitzcrank | Riven | Jhin
Brawler Emblem,B,4.16,-0.20,13.7%,11545,3.3%,Master Yi | Nunu & Willump | Fiora | The Mighty Mech | Mordekaiser
Rogue Emblem,B,4.29,-0.14,10.7%,10463,3.0%,Corki | Jhin | Blitzcrank | Karma | Fiora
Marauder Emblem,B,4.32,-0.12,13.1%,8658,2.5%,Kindred | Graves | Riven | Jhin | Miss Fortune
Meeple Emblem,B,4.36,-0.11,13.7%,9986,2.9%,Riven | The Mighty Mech | Milio | Nunu & Willump | Blitzcrank
Dark Star Emblem,B,4.41,-0.11,11.7%,19393,5.6%,Aurelion Sol | Bard | Xayah | Riven | Blitzcrank
Shepherd Emblem,C,4.42,-0.08,12.8%,8084,2.3%,Karma | Blitzcrank | Nunu & Willump | Mordekaiser | Bard
Timebreaker Emblem,C,4.45,-0.07,11.9%,8318,2.4%,Fizz | Corki | Jhin | The Mighty Mech | Blitzcrank
Bastion Emblem,C,4.48,-0.06,11.5%,10222,3.0%,Riven | Nunu & Willump | Tahm Kench | The Mighty Mech | Maokai
Stargazer Emblem,C,4.52,-0.05,14.8%,19876,5.8%,Maokai | Jhin | Rhaast | Tahm Kench | Blitzcrank
Primordian Emblem,C,4.49,-0.05,11.5%,5913,1.7%,Maokai | Tahm Kench | The Mighty Mech | Illaoi | Nunu & Willump
Psionic Emblem,C,4.50,-0.05,11.4%,8347,2.4%,Fiora | Blitzcrank | Urgot | Maokai | Tahm Kench
N.O.V.A. Emblem,C,4.55,-0.03,11.0%,11019,3.2%,Master Yi | Fiora | Urgot | Bel'Veth | Blitzcrank
Vanguard Emblem,C,4.59,-0.01,12.3%,12171,3.5%,Meepsie | Tahm Kench | Diana | The Mighty Mech | LeBlanc
Sniper Emblem,C,4.60,-0.01,13.2%,7934,2.3%,Blitzcrank | Kai'Sa | Karma | Graves | Bard
Tactician's Cape,C,4.40,-0.01,12.1%,3084,0.9%,Milio | Karma | Bel'Veth | Lissandra | Urgot
Challenger Emblem,C,4.62,-0.00,9.1%,9642,2.8%,Master Yi | Urgot | Fiora | LeBlanc | Akali
Tactician's Shield,C,4.29,-0.00,12.2%,123,0.0%,Aatrox | Meepsie | Mordekaiser | Milio | Rhaast
Space Groove Emblem,D,4.63,+0.00,11.0%,11813,3.4%,Riven | Nunu & Willump | Tahm Kench | Shen | Illaoi
Arbiter Emblem,D,4.80,+0.07,10.0%,7001,2.0%,Illaoi | Blitzcrank | Nunu & Willump | Karma | Talon
Anima Emblem,D,5.13,+0.18,10.9%,5279,1.5%,Meepsie | Maokai | Mordekaiser | Tahm Kench | The Mighty Mech
