Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.19,-0.31,14.2%,57630,38.7%,LeBlanc | Kindred | Jhin | Corki | Vex
Jeweled Gauntlet,S,4.36,-0.31,13.4%,71570,48.1%,Viktor | Nami | Karma | LeBlanc | Aurelion Sol
Thief's Gloves,A,4.09,-0.27,16.2%,44454,29.9%,Shen | Blitzcrank | Mordekaiser | Rhaast | Meepsie
Sunfire Cape,A,4.38,-0.27,13.0%,64248,43.1%,Rammus | Nunu & Willump | Ornn | Tahm Kench | Illaoi
Void Staff,A,4.18,-0.26,14.7%,47837,32.1%,Karma | Nami | Bard | Aurelion Sol | Vex
Gargoyle Stoneplate,A,4.41,-0.26,13.1%,64767,43.5%,Rammus | Ornn | The Mighty Mech | Nunu & Willump | Illaoi
Guinsoo's Rageblade,A,4.50,-0.25,12.4%,74207,49.8%,Kindred | LeBlanc | Jhin | Vex | Xayah
Warmog's Armor,A,4.21,-0.24,14.3%,45769,30.7%,Rammus | Nunu & Willump | Ornn | Illaoi | Tahm Kench
Protector's Vow,A,4.08,-0.24,15.6%,38389,25.8%,Nunu & Willump | Illaoi | Rammus | Tahm Kench | Maokai
Spirit Visage,A,4.35,-0.22,13.0%,50237,33.7%,Nunu & Willump | Rammus | Tahm Kench | Ornn | Maokai
Striker's Flail,A,4.13,-0.21,15.1%,36531,24.5%,Kai'Sa | Kindred | Corki | Jhin | Miss Fortune
Sterak's Gage,A,4.23,-0.21,15.7%,40688,27.3%,The Mighty Mech | Fiora | Riven | Master Yi
Adaptive Helm,A,4.02,-0.21,15.7%,32024,21.5%,Karma | Bard | Nunu & Willump | Nami
Spear of Shojin,B,4.30,-0.19,13.8%,40871,27.4%,Karma | Nami | Corki | Bard | Kai'Sa
Hand Of Justice,B,4.12,-0.18,15.4%,30605,20.6%,Fiora | Fizz | Riven | Blitzcrank | Akali
Dragon's Claw,B,4.26,-0.18,13.0%,36267,24.4%,Rammus | Nunu & Willump | Ornn | Illaoi | Tahm Kench
Bloodthirster,B,4.29,-0.18,15.1%,36730,24.7%,Riven | Fiora | Master Yi | Blitzcrank | Urgot
Hextech Gunblade,B,4.18,-0.18,14.7%,31683,21.3%,LeBlanc | Vex | Karma | Bard | Aurelion Sol
Rabadon's Deathcap,B,3.98,-0.17,16.3%,25095,16.9%,Aurelion Sol | Karma | Nami | Twisted Fate
Crownguard,B,3.92,-0.17,16.8%,23681,15.9%,Illaoi | Rammus | Nunu & Willump | Blitzcrank | Tahm Kench
Edge of Night,B,4.09,-0.17,16.2%,27550,18.5%,Master Yi | Fiora | Riven | Akali | Pyke
Archangel's Staff,B,4.20,-0.16,13.8%,30498,20.5%,Viktor | Aurelion Sol | Karma | Bard | Nami
Steadfast Heart,B,4.14,-0.16,14.2%,27523,18.5%,Rammus | Tahm Kench | Nunu & Willump | Ornn | Illaoi
Morellonomicon,B,4.11,-0.14,15.5%,23997,16.1%,Karma | Bard | Nami | Morgana
Red Buff,B,4.05,-0.13,16.0%,21150,14.2%,Jhin | Corki | Kindred | Kai'Sa | Xayah
Nashor's Tooth,B,4.34,-0.13,13.4%,29096,19.5%,Twisted Fate | Nami | Karma
Quicksilver,B,4.11,-0.12,15.7%,20957,14.1%,Bel'Veth | Graves | Fiora | Master Yi | Riven
Infinity Edge,B,4.45,-0.12,12.6%,33766,22.7%,Jhin | Kai'Sa | Corki | Kindred | Miss Fortune
Titan's Resolve,B,4.40,-0.12,14.3%,30803,20.7%,Riven | The Mighty Mech | Fiora | Master Yi
Ionic Spark,B,4.06,-0.12,15.7%,18970,12.7%,Illaoi | Blitzcrank | Nunu & Willump | Mordekaiser | Rammus
Deathblade,B,4.10,-0.11,15.5%,18544,12.5%,Corki | Jhin | Kindred | Caitlyn | Kai'Sa
Bramble Vest,B,4.16,-0.11,13.8%,19739,13.3%,Rammus | Nunu & Willump | Ornn | Illaoi | Tahm Kench
Last Whisper,C,4.14,-0.10,16.3%,17086,11.5%,Corki | Jhin | Kindred | Xayah
Kraken's Fury,C,4.26,-0.09,13.5%,18522,12.4%,Kindred | Xayah | Jhin | Bel'Veth
Blue Buff,C,4.21,-0.09,14.4%,16524,11.1%,Karma | Corki | Kai'Sa | Bard | Nami
Evenshroud,C,4.32,-0.07,14.3%,16319,11.0%,Ornn | Rammus | Tahm Kench | Maokai | Nunu & Willump
