Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.31,14.2%,199712,39.1%,LeBlanc | Kindred | Jhin | Vex | Corki
Jeweled Gauntlet,S,4.36,-0.31,13.6%,247563,48.5%,Viktor | Nami | Karma | Aurelion Sol | LeBlanc
Gargoyle Stoneplate,A,4.39,-0.28,13.2%,233228,45.7%,Rammus | The Mighty Mech | Nunu & Willump | Ornn | Illaoi
Sunfire Cape,A,4.37,-0.27,13.1%,222104,43.5%,Rammus | Nunu & Willump | Tahm Kench | Ornn | Illaoi
Thief's Gloves,A,4.08,-0.27,16.3%,149639,29.3%,Blitzcrank | Shen | Mordekaiser | Rhaast | Meepsie
Void Staff,A,4.17,-0.26,14.9%,161056,31.5%,Karma | Nami | Aurelion Sol | Bard | Vex
Warmog's Armor,A,4.21,-0.25,14.2%,161782,31.7%,Rammus | Nunu & Willump | Illaoi | Ornn | Tahm Kench
Guinsoo's Rageblade,A,4.51,-0.24,12.4%,252220,49.4%,Kindred | LeBlanc | Jhin | Vex | Xayah
Protector's Vow,A,4.08,-0.23,15.6%,129588,25.4%,Nunu & Willump | Illaoi | Rammus | Tahm Kench | Maokai
Spirit Visage,A,4.33,-0.23,13.2%,173399,34.0%,Nunu & Willump | Rammus | Tahm Kench | Ornn | Maokai
Sterak's Gage,A,4.24,-0.20,15.8%,136135,26.7%,The Mighty Mech | Fiora | Riven | Master Yi | Urgot
Striker's Flail,A,4.14,-0.20,15.2%,121136,23.7%,Kindred | Kai'Sa | Corki | Jhin | Miss Fortune
Adaptive Helm,A,3.99,-0.20,15.9%,102485,20.1%,Karma | Bard | Nunu & Willump | Nami | Rammus
Spear of Shojin,B,4.29,-0.20,13.9%,143080,28.0%,Karma | Nami | Corki | Bard | Kai'Sa
Dragon's Claw,B,4.25,-0.19,13.4%,127167,24.9%,Rammus | Nunu & Willump | Illaoi | Ornn | Tahm Kench
Hand Of Justice,B,4.12,-0.18,15.3%,105512,20.7%,Fiora | Fizz | Riven | Blitzcrank | Akali
Bloodthirster,B,4.27,-0.18,15.4%,124476,24.4%,Riven | Fiora | Master Yi | Blitzcrank | Urgot
Rabadon's Deathcap,B,3.99,-0.17,16.4%,87225,17.1%,Aurelion Sol | Karma | Nami | Twisted Fate | Bard
Archangel's Staff,B,4.19,-0.17,13.7%,107644,21.1%,Viktor | Aurelion Sol | Karma | Nami | Bard
Hextech Gunblade,B,4.18,-0.17,14.8%,104269,20.4%,LeBlanc | Vex | Karma | Bard | Aurelion Sol
Edge of Night,B,4.10,-0.16,16.1%,92557,18.1%,Master Yi | Fiora | Riven | Akali | Pyke
Crownguard,B,3.90,-0.16,16.6%,75817,14.8%,Illaoi | Rammus | Nunu & Willump | Blitzcrank | Tahm Kench
Steadfast Heart,B,4.12,-0.16,14.3%,93012,18.2%,Rammus | Tahm Kench | Nunu & Willump | Illaoi | Ornn
Morellonomicon,B,4.07,-0.14,15.7%,77171,15.1%,Karma | Bard | Nami | Morgana | Sona
Red Buff,B,4.03,-0.13,16.5%,68579,13.4%,Jhin | Corki | Kindred | Xayah | Kai'Sa
Nashor's Tooth,B,4.34,-0.13,13.2%,99546,19.5%,Twisted Fate | Nami | Karma | Bard | Veigar
Infinity Edge,B,4.45,-0.13,12.7%,119940,23.5%,Jhin | Kai'Sa | Corki | Kindred | Samira
Titan's Resolve,B,4.40,-0.12,14.5%,103689,20.3%,Riven | The Mighty Mech | Fiora | Master Yi | Urgot
Ionic Spark,B,4.04,-0.12,15.6%,64591,12.6%,Illaoi | Blitzcrank | Nunu & Willump | Mordekaiser | Rhaast
Bramble Vest,B,4.14,-0.12,13.8%,69659,13.6%,Rammus | Nunu & Willump | Ornn | Illaoi | Tahm Kench
Quicksilver,B,4.14,-0.12,15.6%,69381,13.6%,Bel'Veth | Graves | Fiora | Master Yi | Riven
Deathblade,B,4.10,-0.11,15.4%,62824,12.3%,Corki | Jhin | Kindred | Caitlyn | Kai'Sa
Last Whisper,C,4.15,-0.10,16.3%,58297,11.4%,Corki | Jhin | Kindred | Xayah | Urgot
Kraken's Fury,C,4.29,-0.09,13.0%,64801,12.7%,Kindred | Xayah | Bel'Veth | Jhin | Caitlyn
Blue Buff,C,4.22,-0.09,14.6%,56838,11.1%,Karma | Corki | Kai'Sa | Bard | Nami
Evenshroud,C,4.33,-0.07,14.2%,55879,10.9%,Ornn | Rammus | Tahm Kench | Nunu & Willump | Maokai
