Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.32,14.2%,213295,40.2%,Vex | LeBlanc | Kindred | Master Yi | Bel'Veth
Sunfire Cape,A,4.35,-0.29,13.2%,239278,45.0%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Ornn
Jeweled Gauntlet,A,4.38,-0.29,13.4%,246027,46.3%,Aurelion Sol | Nami | Viktor | LeBlanc | Vex
Gargoyle Stoneplate,A,4.40,-0.28,13.1%,244415,46.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Guinsoo's Rageblade,A,4.48,-0.27,12.7%,271784,51.2%,Vex | LeBlanc | Kindred | Xayah | Jhin
Warmog's Armor,A,4.22,-0.27,14.2%,180500,34.0%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Spirit Visage,A,4.30,-0.25,13.3%,187099,35.2%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Thief's Gloves,A,4.12,-0.24,15.6%,148371,27.9%,Blitzcrank | Shen | Morgana | Fiora | Tahm Kench
Protector's Vow,A,4.07,-0.24,15.8%,139425,26.2%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Jax
Void Staff,A,4.18,-0.23,15.1%,146833,27.6%,Karma | Aurelion Sol | Nami | Vex | Bard
Spear of Shojin,A,4.26,-0.22,14.2%,157242,29.6%,Nami | Karma | Bard | Corki | Zed
Striker's Flail,B,4.12,-0.20,15.3%,120737,22.7%,Aurelion Sol | Vex | Kindred | Corki | Graves
Adaptive Helm,B,3.96,-0.20,16.4%,100868,19.0%,Nunu & Willump | Tahm Kench | Bard | Rammus | Karma
Dragon's Claw,B,4.24,-0.19,13.6%,133767,25.2%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Hand Of Justice,B,4.12,-0.19,15.1%,114678,21.6%,Fiora | Blitzcrank | Riven | Graves | Akali
Bloodthirster,B,4.28,-0.17,15.1%,128918,24.3%,Riven | Fiora | Blitzcrank | Master Yi | Graves
Steadfast Heart,B,4.07,-0.17,14.8%,97457,18.3%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Crownguard,B,3.88,-0.17,17.0%,78523,14.8%,Nunu & Willump | Rammus | Blitzcrank | Tahm Kench | Illaoi
Edge of Night,B,4.10,-0.16,15.5%,96845,18.2%,Master Yi | Fiora | Riven | Akali | Graves
Infinity Edge,B,4.39,-0.16,13.1%,142187,26.8%,Jhin | Kai'Sa | Xayah | Corki | Graves
Rabadon's Deathcap,B,4.04,-0.16,15.8%,90394,17.0%,Aurelion Sol | Twisted Fate | Viktor | Blitzcrank | Nami
Sterak's Gage,B,4.27,-0.16,15.7%,118126,22.2%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Hextech Gunblade,B,4.16,-0.16,15.2%,102137,19.2%,Vex | LeBlanc | Aurelion Sol | Karma | Bard
Archangel's Staff,B,4.24,-0.14,13.5%,99407,18.7%,Viktor | Aurelion Sol | Vex | Karma | Bard
Nashor's Tooth,B,4.30,-0.14,13.3%,107250,20.2%,Nami | Twisted Fate | Karma | Veigar | Aurora
Bramble Vest,B,4.09,-0.14,14.4%,78783,14.8%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Morellonomicon,B,4.05,-0.12,16.1%,69244,13.0%,Karma | Bard | Nami | Morgana | Blitzcrank
Deathblade,B,4.09,-0.12,15.5%,71794,13.5%,Corki | Jhin | Kindred | Graves | Xayah
Red Buff,B,4.01,-0.12,16.6%,65988,12.4%,Karma | Bard | Vex | Xayah | Nami
Quicksilver,B,4.13,-0.12,15.4%,72498,13.6%,Bel'Veth | Graves | Fiora | Master Yi | Riven
Ionic Spark,B,4.06,-0.12,15.3%,65361,12.3%,Illaoi | Nunu & Willump | Blitzcrank | Tahm Kench | Rammus
Kraken's Fury,B,4.24,-0.11,13.1%,75828,14.3%,Kindred | Xayah | Bel'Veth | Graves | Caitlyn
Last Whisper,C,4.17,-0.10,15.7%,63238,11.9%,Corki | Jhin | Xayah | Samira | Urgot
Titan's Resolve,C,4.44,-0.10,14.0%,93026,17.5%,The Mighty Mech | Riven | Fiora | Master Yi | Graves
Blue Buff,C,4.21,-0.09,14.6%,60834,11.5%,Karma | Bard | Corki | Kai'Sa | Nami
Evenshroud,C,4.32,-0.08,14.0%,64035,12.1%,Nunu & Willump | Rammus | Ornn | Tahm Kench | Maokai
