Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.32,14.2%,1110806,40.2%,Vex | LeBlanc | Bel'Veth | Jhin | Kindred
Sunfire Cape,A,4.35,-0.29,13.2%,1238598,44.8%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Gargoyle Stoneplate,A,4.38,-0.29,13.2%,1294424,46.9%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Jeweled Gauntlet,A,4.37,-0.28,13.4%,1250428,45.3%,Nami | Viktor | Aurelion Sol | Vex | LeBlanc
Warmog's Armor,A,4.22,-0.27,14.2%,969538,35.1%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Guinsoo's Rageblade,A,4.47,-0.27,12.9%,1422223,51.5%,Vex | Xayah | LeBlanc | Kindred | Jhin
Spirit Visage,A,4.30,-0.25,13.4%,983066,35.6%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Protector's Vow,A,4.08,-0.25,16.0%,735970,26.6%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Jax
Thief's Gloves,A,4.12,-0.24,15.7%,760932,27.5%,Blitzcrank | Shen | Morgana | Fiora | Rhaast
Void Staff,A,4.15,-0.22,15.4%,715547,25.9%,Karma | Nami | Aurelion Sol | Vex | Bard
Spear of Shojin,A,4.28,-0.22,13.9%,829962,30.0%,Nami | Karma | Bard | Samira | Corki
Striker's Flail,B,4.11,-0.20,15.3%,620661,22.5%,Jhin | Vex | Corki | Graves | Kindred
Adaptive Helm,B,3.95,-0.20,16.4%,515997,18.7%,Nunu & Willump | Rammus | Bard | Tahm Kench | Karma
Dragon's Claw,B,4.23,-0.19,13.6%,695953,25.2%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Hand Of Justice,B,4.12,-0.19,14.9%,601244,21.8%,Fiora | Blitzcrank | Akali | Riven | Graves
Infinity Edge,B,4.39,-0.17,13.2%,791002,28.6%,Jhin | Xayah | Kai'Sa | Samira | Graves
Steadfast Heart,B,4.06,-0.17,14.9%,500109,18.1%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Bloodthirster,B,4.30,-0.17,14.9%,659549,23.9%,Riven | Fiora | Blitzcrank | Graves | Master Yi
Edge of Night,B,4.08,-0.17,15.7%,501954,18.2%,Fiora | Master Yi | Riven | Akali | Pyke
Rabadon's Deathcap,B,4.05,-0.17,15.6%,479302,17.4%,Aurelion Sol | Twisted Fate | Viktor | Nami | Karma
Crownguard,B,3.89,-0.16,16.7%,407346,14.7%,Nunu & Willump | Rammus | Blitzcrank | Tahm Kench | Illaoi
Hextech Gunblade,B,4.14,-0.16,15.4%,503918,18.2%,Vex | LeBlanc | Jhin | Karma | Teemo
Sterak's Gage,B,4.23,-0.15,16.1%,546123,19.8%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Nashor's Tooth,B,4.31,-0.14,13.1%,578345,20.9%,Nami | Twisted Fate | Veigar | Karma | Fizz
Bramble Vest,B,4.07,-0.14,14.4%,423084,15.3%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Archangel's Staff,B,4.23,-0.14,13.6%,489363,17.7%,Viktor | Aurelion Sol | Vex | Karma | Nami
Deathblade,B,4.10,-0.13,15.4%,395673,14.3%,Jhin | Corki | Kindred | Graves | Xayah
Red Buff,B,3.99,-0.12,16.8%,339631,12.3%,Xayah | Karma | Vex | Nami | Jhin
Morellonomicon,B,4.02,-0.12,16.3%,340369,12.3%,Karma | Bard | Nami | Blitzcrank | Morgana
Quicksilver,B,4.15,-0.12,14.9%,374091,13.5%,Bel'Veth | Graves | Fiora | Master Yi | Riven
Ionic Spark,B,4.06,-0.11,15.3%,330244,12.0%,Illaoi | Blitzcrank | Nunu & Willump | Tahm Kench | Rammus
Kraken's Fury,B,4.23,-0.11,13.2%,401689,14.5%,Xayah | Kindred | Bel'Veth | Caitlyn | Jhin
Last Whisper,B,4.15,-0.10,15.9%,330296,12.0%,Corki | Jhin | Xayah | Samira | Kindred
Titan's Resolve,C,4.42,-0.09,14.0%,448427,16.2%,Riven | The Mighty Mech | Fiora | Master Yi | Graves
Blue Buff,C,4.22,-0.09,14.4%,315384,11.4%,Karma | Kai'Sa | Bard | Corki | Nami
Evenshroud,C,4.32,-0.09,14.2%,351188,12.7%,Nunu & Willump | Rammus | Ornn | Tahm Kench | Maokai
