Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.19,-0.33,14.1%,1805207,40.3%,Vex | Bel'Veth | LeBlanc | Jhin | Xayah
Gargoyle Stoneplate,S,4.36,-0.31,13.3%,2147064,48.0%,Nunu & Willump | Rammus | The Mighty Mech | Illaoi | Jax
Sunfire Cape,A,4.35,-0.29,13.3%,2000338,44.7%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Warmog's Armor,A,4.21,-0.28,14.2%,1620709,36.2%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Jeweled Gauntlet,A,4.36,-0.28,13.2%,1954596,43.7%,Nami | Viktor | Aurelion Sol | Vex | Karma
Guinsoo's Rageblade,A,4.48,-0.27,13.1%,2348042,52.4%,Vex | Xayah | Kindred | LeBlanc | Jhin
Spirit Visage,A,4.29,-0.25,13.6%,1596503,35.7%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Protector's Vow,A,4.09,-0.25,16.2%,1249429,27.9%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Thief's Gloves,A,4.12,-0.24,15.6%,1206020,26.9%,Blitzcrank | Shen | Rhaast | Morgana | Mordekaiser
Spear of Shojin,A,4.28,-0.22,13.7%,1366281,30.5%,Nami | Karma | Bard | Samira | Corki
Void Staff,A,4.11,-0.21,15.4%,1072988,24.0%,Nami | Karma | Vex | Bard | Aurelion Sol
Striker's Flail,B,4.09,-0.20,15.4%,973178,21.7%,Jhin | Vex | Graves | Corki | Kai'Sa
Dragon's Claw,B,4.22,-0.20,13.8%,1116146,24.9%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Adaptive Helm,B,3.94,-0.20,16.7%,824774,18.4%,Nunu & Willump | Rammus | Bard | Blitzcrank | Tahm Kench
Infinity Edge,B,4.39,-0.19,13.8%,1399151,31.3%,Jhin | Xayah | Kai'Sa | Samira | Graves
Hand Of Justice,B,4.12,-0.19,14.6%,950108,21.2%,Fiora | Akali | Blitzcrank | Riven | Graves
Rabadon's Deathcap,B,4.05,-0.17,15.2%,807091,18.0%,Twisted Fate | Aurelion Sol | Viktor | Nami | Vex
Steadfast Heart,B,4.03,-0.17,15.2%,787811,17.6%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Edge of Night,B,4.05,-0.17,15.5%,788288,17.6%,Fiora | Riven | Master Yi | Akali | Pyke
Crownguard,B,3.87,-0.16,16.9%,646572,14.4%,Nunu & Willump | Rammus | Blitzcrank | Tahm Kench | Jax
Bloodthirster,B,4.30,-0.16,14.6%,1018276,22.7%,Riven | Fiora | Blitzcrank | Graves | Master Yi
Hextech Gunblade,B,4.11,-0.15,15.4%,761224,17.0%,Vex | LeBlanc | Teemo | Jhin | Bard
Bramble Vest,B,4.05,-0.15,14.6%,704862,15.7%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Nashor's Tooth,B,4.30,-0.15,12.7%,957698,21.4%,Twisted Fate | Nami | Veigar | Karma | Fizz
Sterak's Gage,B,4.19,-0.14,16.4%,774490,17.3%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Deathblade,B,4.11,-0.13,15.5%,675834,15.1%,Jhin | Corki | Xayah | Graves | Kindred
Archangel's Staff,B,4.20,-0.13,13.5%,726964,16.2%,Viktor | Aurelion Sol | Vex | Karma | Nami
Red Buff,B,3.97,-0.12,17.0%,537799,12.0%,Xayah | Karma | Jhin | Nami | Vex
Morellonomicon,B,3.98,-0.12,16.5%,514517,11.5%,Karma | Bard | Nami | Blitzcrank | Lissandra
Quicksilver,B,4.14,-0.12,14.5%,604329,13.5%,Bel'Veth | Graves | Fiora | Master Yi | Riven
Kraken's Fury,B,4.23,-0.11,13.4%,667088,14.9%,Xayah | Bel'Veth | Kindred | Jhin | Caitlyn
Ionic Spark,B,4.05,-0.11,15.0%,517483,11.6%,Illaoi | Blitzcrank | Nunu & Willump | Rammus | Tahm Kench
Last Whisper,B,4.12,-0.11,16.5%,543180,12.1%,Jhin | Corki | Xayah | Samira | Kindred
Evenshroud,C,4.30,-0.10,14.8%,614194,13.7%,Nunu & Willump | Rammus | Ornn | Tahm Kench | Maokai
Blue Buff,C,4.22,-0.09,14.1%,512194,11.4%,Karma | Kai'Sa | Bard | Corki | Nami
Titan's Resolve,C,4.40,-0.09,13.9%,664050,14.8%,Riven | The Mighty Mech | Fiora | Master Yi | Blitzcrank
Tear of the Goddess,C,4.71,-0.01,10.5%,176657,3.9%,Bard | Karma | Nunu & Willump | Morgana | Blitzcrank
Chain Vest,C,4.78,-0.01,10.2%,175970,3.9%,Nunu & Willump | Rammus | Mordekaiser | Tahm Kench | Illaoi
Negatron Cloak,C,4.78,-0.01,10.2%,178992,4.0%,Nunu & Willump | Illaoi | Mordekaiser | Rammus | Tahm Kench
Giant's Belt,C,4.84,-0.01,10.1%,233249,5.2%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Mordekaiser
Needlessly Large Rod,C,4.81,-0.01,10.0%,178631,4.0%,Bard | Karma | Blitzcrank | Lissandra | Morgana
Recurve Bow,C,4.85,-0.01,9.8%,190198,4.2%,Karma | Bard | Lissandra | Jhin | Xayah
Sparring Gloves,C,4.82,-0.01,9.5%,155954,3.5%,Karma | Jhin | Blitzcrank | Bard | Lissandra
