Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.19,-0.33,14.0%,2114523,40.9%,Vex | Bel'Veth | Jhin | LeBlanc | Xayah
Gargoyle Stoneplate,S,4.35,-0.31,13.3%,2511349,48.5%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Jax
Sunfire Cape,A,4.34,-0.29,13.4%,2304848,44.5%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Warmog's Armor,A,4.21,-0.29,14.3%,1899512,36.7%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Jeweled Gauntlet,A,4.35,-0.28,13.1%,2211485,42.7%,Nami | Viktor | Aurelion Sol | Karma | Vex
Guinsoo's Rageblade,A,4.48,-0.27,13.2%,2734712,52.8%,Vex | Xayah | Kindred | LeBlanc | Teemo
Protector's Vow,A,4.10,-0.26,16.4%,1480780,28.6%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Spirit Visage,A,4.28,-0.26,13.7%,1839874,35.6%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Thief's Gloves,A,4.12,-0.24,15.5%,1377812,26.6%,Blitzcrank | Shen | Morgana | Rhaast | Fiora
Spear of Shojin,A,4.28,-0.22,13.6%,1580576,30.5%,Nami | Karma | Bard | Samira | Corki
Void Staff,A,4.09,-0.21,15.4%,1200847,23.2%,Nami | Karma | Bard | Aurelion Sol | Vex
Infinity Edge,B,4.39,-0.20,14.1%,1690889,32.7%,Xayah | Jhin | Kai'Sa | Samira | Graves
Adaptive Helm,B,3.94,-0.20,16.8%,955034,18.5%,Nunu & Willump | Rammus | Bard | Tahm Kench | Blitzcrank
Dragon's Claw,B,4.21,-0.20,13.9%,1272968,24.6%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Striker's Flail,B,4.09,-0.19,15.4%,1101153,21.3%,Jhin | Corki | Vex | Graves | Nami
Hand Of Justice,B,4.11,-0.18,14.5%,1077077,20.8%,Fiora | Akali | Blitzcrank | Riven | Graves
Rabadon's Deathcap,B,4.05,-0.17,15.0%,954967,18.5%,Twisted Fate | Aurelion Sol | Viktor | Nami | Vex
Steadfast Heart,B,4.01,-0.17,15.4%,898891,17.4%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Crownguard,B,3.86,-0.16,16.9%,745294,14.4%,Nunu & Willump | Rammus | Blitzcrank | Tahm Kench | Jax
Edge of Night,B,4.05,-0.16,15.4%,889573,17.2%,Fiora | Master Yi | Riven | Akali | Pyke
Bramble Vest,B,4.03,-0.15,14.7%,818524,15.8%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Bloodthirster,B,4.30,-0.15,14.4%,1141626,22.1%,Riven | Fiora | Blitzcrank | Graves | Master Yi
Nashor's Tooth,B,4.30,-0.15,12.6%,1099507,21.2%,Nami | Twisted Fate | Veigar | Karma | Fizz
Hextech Gunblade,B,4.11,-0.15,15.3%,855703,16.5%,Vex | LeBlanc | Teemo | Jhin | Bard
Deathblade,B,4.11,-0.14,15.5%,792840,15.3%,Jhin | Corki | Xayah | Graves | Kindred
Sterak's Gage,B,4.18,-0.13,16.4%,846801,16.4%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Archangel's Staff,B,4.19,-0.13,13.4%,811533,15.7%,Viktor | Aurelion Sol | Vex | Karma | Nami
Red Buff,B,3.97,-0.12,17.0%,613475,11.9%,Xayah | Karma | Nami | Jhin | Vex
Quicksilver,B,4.14,-0.12,14.3%,722741,14.0%,Bel'Veth | Urgot | Graves | Fiora | Master Yi
Morellonomicon,B,3.96,-0.12,16.5%,583666,11.3%,Karma | Bard | Nami | Blitzcrank | Lissandra
Kraken's Fury,B,4.24,-0.11,13.4%,772165,14.9%,Xayah | Bel'Veth | Kindred | Caitlyn | Jhin
Last Whisper,B,4.11,-0.11,16.8%,635052,12.3%,Jhin | Xayah | Corki | Samira | Kai'Sa
Ionic Spark,B,4.05,-0.11,14.9%,581559,11.2%,Illaoi | Blitzcrank | Nunu & Willump | Tahm Kench | Rammus
