Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.19,-0.35,13.9%,2732015,43.0%,Vex | Urgot | Bel'Veth | Jhin | Xayah
Gargoyle Stoneplate,S,4.34,-0.32,13.3%,3112631,49.0%,Nunu & Willump | The Mighty Mech | Rammus | Jax | Illaoi
Warmog's Armor,A,4.21,-0.30,14.3%,2368995,37.3%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Maokai
Sunfire Cape,A,4.33,-0.29,13.6%,2785157,43.9%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Jeweled Gauntlet,A,4.34,-0.27,13.0%,2596536,40.9%,Nami | Viktor | Aurelion Sol | Karma | Vex
Protector's Vow,A,4.12,-0.27,16.4%,1924635,30.3%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Guinsoo's Rageblade,A,4.49,-0.27,13.3%,3321263,52.3%,Xayah | Vex | Kindred | LeBlanc | Teemo
Spirit Visage,A,4.27,-0.26,13.8%,2227167,35.1%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Thief's Gloves,A,4.11,-0.23,15.4%,1654858,26.1%,Blitzcrank | Shen | Rhaast | Mordekaiser | Morgana
Spear of Shojin,A,4.25,-0.23,13.7%,1934083,30.5%,Nami | Karma | Bard | Aurora | Samira
Infinity Edge,A,4.38,-0.22,14.4%,2262811,35.6%,Xayah | Jhin | Urgot | Kai'Sa | Samira
Void Staff,A,4.06,-0.21,15.4%,1388781,21.9%,Nami | Karma | Bard | Lissandra | Aurelion Sol
Adaptive Helm,B,3.94,-0.20,16.9%,1178435,18.6%,Nunu & Willump | Rammus | Bard | Tahm Kench | Blitzcrank
Dragon's Claw,B,4.19,-0.19,14.1%,1482853,23.3%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Striker's Flail,B,4.07,-0.19,15.5%,1265593,19.9%,Jhin | Corki | Vex | Nami | Graves
Rabadon's Deathcap,B,4.07,-0.18,14.7%,1223248,19.3%,Twisted Fate | Viktor | Aurelion Sol | Vex | Nami
Hand Of Justice,B,4.12,-0.18,14.2%,1270906,20.0%,Fiora | Akali | Blitzcrank | Riven | Graves
Steadfast Heart,B,3.98,-0.17,15.7%,1072413,16.9%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Rhaast
Crownguard,B,3.86,-0.17,16.8%,928042,14.6%,Nunu & Willump | Rammus | Jax | Blitzcrank | Tahm Kench
Bramble Vest,B,3.99,-0.16,15.1%,1008436,15.9%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Edge of Night,B,4.05,-0.15,15.1%,1034291,16.3%,Fiora | Riven | Master Yi | Akali | Pyke
Nashor's Tooth,B,4.29,-0.15,12.5%,1312943,20.7%,Twisted Fate | Nami | Veigar | Karma | Aurora
Bloodthirster,B,4.31,-0.14,14.1%,1334282,21.0%,Riven | Fiora | Blitzcrank | Graves | Briar
Hextech Gunblade,B,4.10,-0.14,15.0%,1003583,15.8%,Vex | Teemo | LeBlanc | Jhin | Talon
Deathblade,B,4.11,-0.14,15.6%,983082,15.5%,Jhin | Xayah | Corki | Kindred | Caitlyn
Quicksilver,B,4.17,-0.14,13.8%,1042744,16.4%,Urgot | Bel'Veth | Graves | Fiora | Master Yi
Sterak's Gage,B,4.15,-0.13,16.2%,981534,15.5%,The Mighty Mech | Fiora | Riven | Graves | Briar
Evenshroud,B,4.24,-0.12,15.6%,1038886,16.4%,Nunu & Willump | Rammus | Maokai | Ornn | Tahm Kench
Archangel's Staff,B,4.18,-0.12,13.3%,948306,14.9%,Viktor | Aurelion Sol | Karma | Nami | Aurora
Red Buff,B,3.96,-0.12,17.1%,745272,11.7%,Xayah | Karma | Jhin | Nami | Vex
Morellonomicon,B,3.96,-0.12,16.4%,714010,11.2%,Karma | Bard | Nami | Aurora | Blitzcrank
Last Whisper,B,4.09,-0.11,17.0%,788095,12.4%,Jhin | Xayah | Corki | Samira | Kai'Sa
Kraken's Fury,B,4.26,-0.11,13.5%,958548,15.1%,Xayah | Bel'Veth | Kindred | Caitlyn | Jhin
Ionic Spark,B,4.04,-0.10,14.9%,673250,10.6%,Illaoi | Blitzcrank | Nunu & Willump | Rammus | Tahm Kench
Blue Buff,C,4.19,-0.09,14.1%,716295,11.3%,Karma | Nami | Bard | Kai'Sa | Aurora
Titan's Resolve,C,4.39,-0.08,13.3%,864938,13.6%,Riven | The Mighty Mech | Fiora | Briar | Master Yi
Tear of the Goddess,C,4.72,-0.01,10.4%,258809,4.1%,Bard | Nunu & Willump | Karma | Lissandra | Blitzcrank
Negatron Cloak,C,4.79,-0.01,10.2%,262162,4.1%,Mordekaiser | Nunu & Willump | Rhaast | Illaoi | Rammus
Chain Vest,C,4.79,-0.01,10.3%,260230,4.1%,Rhaast | Nunu & Willump | Mordekaiser | Rammus | Illaoi
Giant's Belt,C,4.86,-0.01,10.0%,344528,5.4%,Nunu & Willump | Mordekaiser | Illaoi | Rammus | Tahm Kench
Needlessly Large Rod,C,4.82,-0.01,9.9%,264354,4.2%,Bard | Karma | Blitzcrank | Lissandra | Aurora
Sparring Gloves,C,4.81,-0.01,9.8%,229765,3.6%,Jhin | Karma | Blitzcrank | Bard | Lissandra
Recurve Bow,C,4.85,-0.01,9.9%,279163,4.4%,Karma | Bard | Lissandra | Jhin | Xayah
B.F. Sword,C,4.93,-0.00,9.4%,253991,4.0%,Jhin | Pyke | Akali | Fiora | Xayah
Frying Pan,D,5.36,+0.00,7.1%,1959,0.0%,Rhaast | Pyke | Karma | Akali | Ornn
Spatula,D,5.78,+0.22,4.8%,8911,0.1%,Riven | Karma | Lissandra | Jhin | Sona
