Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.35,13.9%,3026205,44.0%,Urgot | Vex | Bel'Veth | Jhin | Xayah
Gargoyle Stoneplate,S,4.34,-0.33,13.3%,3375731,49.0%,Nunu & Willump | The Mighty Mech | Rammus | Leona | Jax
Warmog's Armor,A,4.21,-0.30,14.3%,2582615,37.5%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Maokai
Sunfire Cape,A,4.32,-0.29,13.6%,2989213,43.4%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Protector's Vow,A,4.13,-0.27,16.4%,2147662,31.2%,Nunu & Willump | Rammus | Maokai | Tahm Kench | Rhaast
Jeweled Gauntlet,A,4.33,-0.27,13.0%,2760777,40.1%,Nami | Viktor | Aurelion Sol | Karma | Vex
Guinsoo's Rageblade,A,4.49,-0.26,13.4%,3585498,52.1%,Xayah | Vex | Kindred | LeBlanc | Teemo
Spirit Visage,A,4.26,-0.26,13.9%,2384623,34.6%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Thief's Gloves,A,4.11,-0.23,15.4%,1785099,25.9%,Blitzcrank | Rhaast | Shen | Mordekaiser | Illaoi
Spear of Shojin,A,4.24,-0.23,13.7%,2092515,30.4%,Nami | Karma | Aurora | Bard | Samira
Infinity Edge,A,4.38,-0.23,14.4%,2523156,36.6%,Xayah | Jhin | Urgot | Kai'Sa | Samira
Void Staff,A,4.04,-0.20,15.4%,1471443,21.4%,Nami | Karma | Bard | Lissandra | Aurelion Sol
Adaptive Helm,B,3.94,-0.20,17.0%,1276563,18.5%,Nunu & Willump | Rammus | Bard | Tahm Kench | Blitzcrank
Dragon's Claw,B,4.18,-0.19,14.2%,1563881,22.7%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Rabadon's Deathcap,B,4.07,-0.18,14.6%,1352582,19.6%,Twisted Fate | Viktor | Aurelion Sol | Aurora | Vex
Striker's Flail,B,4.05,-0.18,15.6%,1319068,19.2%,Jhin | Corki | Vex | Nami | Kai'Sa
Steadfast Heart,B,3.97,-0.17,15.8%,1144594,16.6%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Rhaast
Hand Of Justice,B,4.13,-0.17,14.0%,1351809,19.6%,Fiora | Blitzcrank | Akali | Riven | Fizz
Crownguard,B,3.86,-0.17,16.8%,1010028,14.7%,Nunu & Willump | Rammus | Jax | Blitzcrank | Tahm Kench
Bramble Vest,B,3.97,-0.16,15.3%,1093246,15.9%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Maokai
Edge of Night,B,4.06,-0.15,15.0%,1090120,15.8%,Fiora | Master Yi | Riven | Akali | Pyke
Nashor's Tooth,B,4.29,-0.15,12.4%,1405873,20.4%,Twisted Fate | Nami | Veigar | Karma | Aurora
Bloodthirster,B,4.31,-0.14,13.9%,1433325,20.8%,Riven | Fiora | Blitzcrank | Briar | Graves
Quicksilver,B,4.19,-0.14,13.6%,1203448,17.5%,Urgot | Bel'Veth | Graves | Fiora | Master Yi
Hextech Gunblade,B,4.10,-0.14,15.0%,1066508,15.5%,Vex | Teemo | LeBlanc | Jhin | Talon
Deathblade,B,4.10,-0.14,15.7%,1066328,15.5%,Jhin | Xayah | Corki | Caitlyn | Kindred
Evenshroud,B,4.22,-0.14,15.6%,1200224,17.4%,Nunu & Willump | Rammus | Maokai | Ornn | Tahm Kench
Sterak's Gage,B,4.14,-0.13,15.9%,1062492,15.4%,The Mighty Mech | Fiora | Briar | Riven | Graves
Red Buff,B,3.96,-0.12,17.2%,806989,11.7%,Xayah | Jhin | Karma | Nami | Vex
Archangel's Staff,B,4.17,-0.12,13.4%,1001493,14.5%,Viktor | Aurelion Sol | Aurora | Karma | Nami
Morellonomicon,B,3.95,-0.12,16.3%,777573,11.3%,Karma | Bard | Nami | Aurora | Lissandra
Last Whisper,B,4.08,-0.11,17.1%,856998,12.4%,Jhin | Xayah | Corki | Samira | Kindred
Kraken's Fury,B,4.27,-0.11,13.5%,1046897,15.2%,Xayah | Bel'Veth | Kindred | Jhin | Caitlyn
Ionic Spark,C,4.04,-0.10,14.9%,717013,10.4%,Illaoi | Blitzcrank | Nunu & Willump | Rammus | Tahm Kench
Blue Buff,C,4.18,-0.09,14.2%,774548,11.3%,Karma | Nami | Bard | Kai'Sa | Aurora
Titan's Resolve,C,4.38,-0.08,13.1%,937716,13.6%,Riven | The Mighty Mech | Briar | Fiora | Master Yi
Tear of the Goddess,C,4.73,-0.01,10.4%,283489,4.1%,Bard | Nunu & Willump | Karma | Lissandra | Blitzcrank
Negatron Cloak,C,4.79,-0.01,10.2%,284855,4.1%,Mordekaiser | Rhaast | Illaoi | Nunu & Willump | Rammus
Chain Vest,C,4.80,-0.01,10.2%,284483,4.1%,Rhaast | Nunu & Willump | Mordekaiser | Rammus | Illaoi
Giant's Belt,C,4.86,-0.01,10.0%,377774,5.5%,Nunu & Willump | Rhaast | Mordekaiser | Illaoi | Rammus
Needlessly Large Rod,C,4.83,-0.01,9.9%,290005,4.2%,Bard | Karma | Lissandra | Blitzcrank | Aurora
Sparring Gloves,C,4.81,-0.01,9.8%,251650,3.7%,Jhin | Karma | Blitzcrank | Bard | Lissandra
Recurve Bow,C,4.85,-0.01,9.9%,304134,4.4%,Karma | Bard | Lissandra | Jhin | Xayah
