Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.36,13.8%,3441963,45.0%,Urgot | Vex | Bel'Veth | Jhin | Teemo
Gargoyle Stoneplate,S,4.33,-0.33,13.3%,3775861,49.4%,Nunu & Willump | Leona | The Mighty Mech | Rammus | Jax
Warmog's Armor,S,4.21,-0.30,14.4%,2906036,38.0%,Nunu & Willump | Rammus | Illaoi | Maokai | Tahm Kench
Sunfire Cape,A,4.32,-0.29,13.7%,3263262,42.7%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Protector's Vow,A,4.14,-0.27,16.5%,2432457,31.8%,Nunu & Willump | Rammus | Maokai | Tahm Kench | Rhaast
Jeweled Gauntlet,A,4.32,-0.27,13.0%,2993235,39.2%,Nami | Viktor | Karma | Aurelion Sol | Vex
Guinsoo's Rageblade,A,4.49,-0.26,13.4%,3979580,52.1%,Xayah | Vex | Kindred | Teemo | LeBlanc
Spirit Visage,A,4.25,-0.25,14.0%,2590321,33.9%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Maokai
Infinity Edge,A,4.38,-0.23,14.6%,2885701,37.8%,Xayah | Jhin | Urgot | Kai'Sa | Samira
Spear of Shojin,A,4.23,-0.23,13.8%,2319788,30.4%,Nami | Karma | Aurora | Bard | Samira
Thief's Gloves,A,4.11,-0.23,15.4%,1969817,25.8%,Blitzcrank | Rhaast | Mordekaiser | Shen | Illaoi
Void Staff,A,4.03,-0.20,15.4%,1590792,20.8%,Nami | Karma | Lissandra | Bard | Aurelion Sol
Adaptive Helm,B,3.93,-0.19,17.2%,1393944,18.2%,Nunu & Willump | Rammus | Bard | Tahm Kench | Blitzcrank
Rabadon's Deathcap,B,4.08,-0.19,14.4%,1545739,20.2%,Twisted Fate | Viktor | Aurora | Vex | Aurelion Sol
Dragon's Claw,B,4.17,-0.18,14.3%,1689657,22.1%,Nunu & Willump | Illaoi | Rammus | Tahm Kench | Ornn
Striker's Flail,B,4.04,-0.17,15.7%,1375935,18.0%,Jhin | Corki | Vex | Kai'Sa | Kindred
Steadfast Heart,B,3.95,-0.17,16.0%,1243257,16.3%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Rhaast
Hand Of Justice,B,4.13,-0.17,13.9%,1456718,19.1%,Fiora | Blitzcrank | Akali | Riven | Pyke
Bramble Vest,B,3.96,-0.17,15.4%,1218162,15.9%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Maokai
Crownguard,B,3.86,-0.16,16.9%,1099567,14.4%,Nunu & Willump | Rammus | Jax | Tahm Kench | Illaoi
Evenshroud,B,4.21,-0.15,15.7%,1421137,18.6%,Maokai | Nunu & Willump | Rammus | Tahm Kench | Rek'Sai
Bloodthirster,B,4.31,-0.15,13.6%,1600659,20.9%,Riven | Fiora | Briar | Blitzcrank | Graves
Quicksilver,B,4.21,-0.15,13.3%,1402085,18.3%,Urgot | Bel'Veth | Graves | Fiora | Master Yi
Nashor's Tooth,B,4.28,-0.14,12.4%,1534797,20.1%,Twisted Fate | Nami | Veigar | Karma | Aurora
Edge of Night,B,4.05,-0.14,14.9%,1150217,15.1%,Master Yi | Fiora | Riven | Pyke | Akali
Deathblade,B,4.10,-0.14,15.6%,1182181,15.5%,Jhin | Xayah | Corki | Caitlyn | Kindred
Hextech Gunblade,B,4.09,-0.14,14.9%,1149135,15.0%,Vex | Teemo | Jhin | LeBlanc | Talon
Sterak's Gage,B,4.13,-0.14,15.5%,1198823,15.7%,The Mighty Mech | Briar | Fiora | Riven | Graves
Red Buff,B,3.95,-0.12,17.3%,881580,11.5%,Xayah | Jhin | Karma | Nami | Vex
Morellonomicon,B,3.95,-0.12,16.3%,872601,11.4%,Karma | Aurora | Bard | Nami | Lissandra
Archangel's Staff,B,4.17,-0.12,13.3%,1079010,14.1%,Viktor | Aurelion Sol | Aurora | Karma | Nami
Last Whisper,B,4.06,-0.12,17.2%,948439,12.4%,Jhin | Xayah | Corki | Kindred | Samira
Kraken's Fury,B,4.27,-0.11,13.4%,1136929,14.9%,Xayah | Bel'Veth | Kindred | Jhin | Caitlyn
Ionic Spark,C,4.04,-0.10,15.0%,782334,10.2%,Illaoi | Blitzcrank | Nunu & Willump | Rammus | Tahm Kench
Blue Buff,C,4.18,-0.09,14.2%,876552,11.5%,Karma | Aurora | Kai'Sa | Bard | Nami
Titan's Resolve,C,4.36,-0.09,12.8%,1077567,14.1%,Riven | Briar | The Mighty Mech | Fiora | Master Yi
Tear of the Goddess,C,4.74,-0.01,10.3%,318962,4.2%,Bard | Nunu & Willump | Karma | Lissandra | Rhaast
Negatron Cloak,C,4.80,-0.01,10.2%,317057,4.1%,Rhaast | Mordekaiser | Illaoi | Nunu & Willump | Rammus
Chain Vest,C,4.81,-0.01,10.0%,321140,4.2%,Rhaast | Nunu & Willump | Mordekaiser | Illaoi | Rammus
Needlessly Large Rod,C,4.83,-0.01,9.8%,329469,4.3%,Bard | Karma | Lissandra | Aurora | Blitzcrank
Giant's Belt,C,4.87,-0.01,10.0%,425855,5.6%,Nunu & Willump | Rhaast | Illaoi | Mordekaiser | Rammus
Recurve Bow,C,4.85,-0.01,9.9%,340632,4.5%,Karma | Jhin | Lissandra | Bard | Xayah
Sparring Gloves,C,4.82,-0.01,9.8%,283830,3.7%,Jhin | Karma | Blitzcrank | Bard | Lissandra
B.F. Sword,C,4.95,-0.00,9.4%,312965,4.1%,Jhin | Pyke | Akali | Xayah | Gnar
Frying Pan,D,5.33,+0.00,7.7%,2558,0.0%,Rhaast | Mordekaiser | Blitzcrank | Akali | Karma
Spatula,D,5.70,+0.21,5.2%,11043,0.1%,Riven | Karma | Lissandra | Bard | Sona
