Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,51931,49.3%,Master Yi | Urgot | Bel'Veth | Vex | Jhin
Guinsoo's Rageblade,A,4.37,-0.29,13.5%,49112,46.7%,Kindred | Xayah | Vex | Teemo | LeBlanc
Gargoyle Stoneplate,A,4.34,-0.29,13.8%,46081,43.8%,Leona | Jax | Nunu & Willump | Rammus | The Mighty Mech
Protector's Vow,A,4.16,-0.28,15.6%,35340,33.6%,Nunu & Willump | Tahm Kench | Maokai | Rammus | Rek'Sai
Sunfire Cape,A,4.38,-0.27,13.1%,46800,44.5%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Warmog's Armor,A,4.16,-0.26,14.5%,32779,31.1%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Thief's Gloves,A,4.10,-0.25,15.5%,28670,27.2%,Blitzcrank | Illaoi | Fiora | Maokai | Mordekaiser
Striker's Flail,A,4.07,-0.23,15.5%,26033,24.7%,Corki | Jhin | Kai'Sa | Kindred | Vex
Adaptive Helm,A,4.08,-0.23,15.4%,25765,24.5%,Nunu & Willump | Tahm Kench | Rammus | Karma | Maokai
Spirit Visage,A,4.29,-0.22,13.8%,33260,31.6%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Cho'Gath
Crownguard,A,4.10,-0.22,15.1%,25847,24.6%,Rammus | Nunu & Willump | Tahm Kench | Jax | Maokai
Spear of Shojin,A,4.33,-0.22,14.0%,34723,33.0%,Karma | Ezreal | Corki | Nami | Kai'Sa
Sterak's Gage,A,4.06,-0.21,15.6%,23443,22.3%,Briar | Riven | Fiora | The Mighty Mech | Master Yi
Edge of Night,A,4.12,-0.21,15.1%,24579,23.3%,Master Yi | Fiora | Riven | Talon | Zed
Jeweled Gauntlet,B,4.41,-0.19,13.3%,34892,33.1%,Karma | Nami | Vex | Lulu | Aurora
