Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.22,-0.39,14.0%,109092,49.4%,Master Yi | Kindred | Jhin | Bel'Veth | Vex
Gargoyle Stoneplate,A,4.34,-0.29,13.7%,97438,44.1%,Leona | Jax | Rammus | Nunu & Willump | The Mighty Mech
Protector's Vow,A,4.15,-0.28,15.5%,73212,33.1%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Rek'Sai
Guinsoo's Rageblade,A,4.40,-0.27,13.4%,100444,45.4%,Kindred | Vex | Xayah | Teemo | LeBlanc
Sunfire Cape,A,4.39,-0.27,13.1%,97344,44.0%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Warmog's Armor,A,4.14,-0.26,14.9%,67941,30.7%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Thief's Gloves,A,4.10,-0.24,15.7%,59465,26.9%,Blitzcrank | Fiora | Maokai | Mordekaiser | Illaoi
Striker's Flail,A,4.08,-0.23,15.3%,56488,25.6%,Corki | Kai'Sa | Jhin | Kindred | Vex
Crownguard,A,4.10,-0.23,15.0%,55448,25.1%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Adaptive Helm,A,4.11,-0.22,15.2%,54152,24.5%,Nunu & Willump | Rammus | Tahm Kench | Karma | Maokai
Spirit Visage,A,4.29,-0.22,13.7%,68309,30.9%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Spear of Shojin,A,4.32,-0.22,14.2%,71037,32.1%,Karma | Ezreal | Corki | Kai'Sa | Bard
Sterak's Gage,A,4.08,-0.21,15.4%,50812,23.0%,Briar | Riven | Fiora | The Mighty Mech | Master Yi
Edge of Night,A,4.13,-0.21,15.0%,53670,24.3%,Master Yi | Fiora | Riven | Zed | Talon
Jeweled Gauntlet,B,4.41,-0.19,13.8%,71940,32.6%,Karma | Lulu | Nami | Vex | Aurora
Last Whisper,B,4.19,-0.19,14.2%,51836,23.5%,Corki | Jhin | Kindred | Kai'Sa | Xayah
Infinity Edge,B,4.39,-0.19,14.2%,67432,30.5%,Kai'Sa | Jhin | Ezreal | Xayah | Corki
Deathblade,B,4.08,-0.18,15.1%,44207,20.0%,Corki | Jhin | Kindred | Kai'Sa | Ezreal
Evenshroud,B,4.32,-0.18,13.8%,58618,26.5%,Tahm Kench | Maokai | Rammus | Nunu & Willump | Rek'Sai
Bloodthirster,B,4.21,-0.18,13.6%,49471,22.4%,Riven | Briar | Fiora | Master Yi | Blitzcrank
Hand Of Justice,B,4.06,-0.17,14.9%,39818,18.0%,Fiora | Riven | Master Yi | Blitzcrank | Bel'Veth
Bramble Vest,B,3.91,-0.17,16.0%,34291,15.5%,Rammus | Tahm Kench | Nunu & Willump | Illaoi | Maokai
Quicksilver,B,4.30,-0.17,13.3%,53366,24.1%,Master Yi | Bel'Veth | Urgot | Fiora | Riven
Void Staff,B,4.21,-0.17,15.2%,46647,21.1%,Karma | Bard | Lissandra | Zoe | Nami
Rabadon's Deathcap,B,4.10,-0.16,15.6%,37929,17.2%,Karma | Twisted Fate | Teemo | Vex | Aurora
Red Buff,B,4.08,-0.15,16.0%,36966,16.7%,Kindred | Jhin | Karma | Xayah | Kai'Sa
Steadfast Heart,B,4.03,-0.15,15.5%,34626,15.7%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Hextech Gunblade,B,4.08,-0.15,15.3%,35890,16.2%,Teemo | Vex | Kindred | LeBlanc | Talon
Morellonomicon,B,4.20,-0.14,14.6%,38874,17.6%,Karma | Bard | Milio | Zoe | Lissandra
Blue Buff,B,4.21,-0.13,14.6%,35215,15.9%,Kai'Sa | Karma | Corki | Bard | Aurora
Kraken's Fury,B,4.18,-0.12,13.8%,32076,14.5%,Kindred | Xayah | Bel'Veth | Jhin | Caitlyn
Titan's Resolve,B,4.27,-0.12,12.9%,35612,16.1%,Briar | Riven | Fiora | Master Yi | The Mighty Mech
Nashor's Tooth,B,4.38,-0.12,13.3%,41155,18.6%,Twisted Fate | Lulu | Karma | Nami | Veigar
