Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,120050,49.4%,Master Yi | Kindred | Jhin | Corki | Bel'Veth
Gargoyle Stoneplate,A,4.34,-0.29,13.6%,108257,44.5%,Leona | Jax | Rammus | Nunu & Willump | The Mighty Mech
Protector's Vow,A,4.15,-0.28,15.5%,79429,32.7%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Rek'Sai
Sunfire Cape,A,4.39,-0.27,13.1%,106544,43.8%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Warmog's Armor,A,4.13,-0.27,15.1%,74442,30.6%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Guinsoo's Rageblade,A,4.40,-0.27,13.4%,107884,44.4%,Kindred | Vex | Xayah | Teemo | LeBlanc
Thief's Gloves,A,4.10,-0.24,15.5%,64987,26.7%,Blitzcrank | Maokai | Fiora | Mordekaiser | Illaoi
Striker's Flail,A,4.09,-0.23,15.0%,63047,25.9%,Corki | Kai'Sa | Jhin | Kindred | Karma
Crownguard,A,4.11,-0.23,15.0%,62441,25.7%,Rammus | Jax | Tahm Kench | Nunu & Willump | Maokai
Spirit Visage,A,4.29,-0.22,13.6%,74203,30.5%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Adaptive Helm,A,4.12,-0.22,15.2%,60125,24.7%,Nunu & Willump | Rammus | Tahm Kench | Karma | Maokai
Sterak's Gage,A,4.08,-0.21,15.3%,56376,23.2%,Briar | Riven | Fiora | The Mighty Mech | Master Yi
Spear of Shojin,A,4.33,-0.21,14.2%,77064,31.7%,Karma | Ezreal | Kai'Sa | Corki | Milio
Edge of Night,A,4.14,-0.21,15.0%,59855,24.6%,Master Yi | Fiora | Riven | Zed | Talon
Last Whisper,B,4.21,-0.19,13.9%,60010,24.7%,Corki | Kindred | Jhin | Kai'Sa | Xayah
