Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,143958,49.4%,Master Yi | Kindred | Corki | Jhin | Teemo
Gargoyle Stoneplate,A,4.35,-0.29,13.6%,130863,44.9%,Leona | Jax | Rammus | Nunu & Willump | The Mighty Mech
Protector's Vow,A,4.14,-0.28,15.5%,93985,32.3%,Nunu & Willump | Tahm Kench | Rammus | Maokai | The Mighty Mech
Sunfire Cape,A,4.38,-0.27,13.1%,126117,43.3%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Warmog's Armor,A,4.14,-0.26,14.8%,89064,30.6%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Leona
Guinsoo's Rageblade,A,4.40,-0.26,13.5%,126499,43.4%,Kindred | Vex | Teemo | Xayah | LeBlanc
Thief's Gloves,A,4.11,-0.24,15.4%,77325,26.6%,Blitzcrank | Fiora | Maokai | Urgot | Mordekaiser
Striker's Flail,A,4.11,-0.23,14.8%,76163,26.2%,Corki | Kai'Sa | Jhin | Kindred | Karma
Crownguard,A,4.13,-0.23,14.9%,76761,26.4%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Spirit Visage,A,4.27,-0.22,13.8%,87470,30.0%,Tahm Kench | Nunu & Willump | Rammus | Maokai | Illaoi
Adaptive Helm,A,4.12,-0.22,15.2%,72221,24.8%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Karma
Sterak's Gage,A,4.08,-0.22,15.2%,68577,23.6%,Riven | Briar | Fiora | The Mighty Mech | Master Yi
Edge of Night,A,4.16,-0.21,14.9%,74155,25.5%,Master Yi | Fiora | Riven | Zed | Talon
Spear of Shojin,A,4.34,-0.21,14.3%,90513,31.1%,Karma | Kai'Sa | Corki | Milio | Lulu
Last Whisper,A,4.24,-0.20,13.7%,76373,26.2%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Infinity Edge,B,4.36,-0.19,14.1%,86150,29.6%,Kai'Sa | Jhin | Corki | Ezreal | Kindred
Bramble Vest,B,3.89,-0.19,16.1%,49297,16.9%,Rammus | Tahm Kench | Nunu & Willump | Maokai | Illaoi
Deathblade,B,4.13,-0.19,14.3%,62583,21.5%,Corki | Jhin | Kindred | Kai'Sa | Ezreal
Evenshroud,B,4.32,-0.19,13.9%,79101,27.2%,Tahm Kench | Maokai | Rammus | Rek'Sai | Nunu & Willump
Jeweled Gauntlet,B,4.41,-0.19,14.0%,92132,31.6%,Lulu | Karma | Nami | Bard | Aurelion Sol
Bloodthirster,B,4.20,-0.18,13.5%,66827,23.0%,Riven | Briar | Fiora | Blitzcrank | Master Yi
Hand Of Justice,B,4.03,-0.17,15.2%,52351,18.0%,Fiora | Riven | Master Yi | Blitzcrank | Bel'Veth
Quicksilver,B,4.29,-0.16,13.5%,67240,23.1%,Master Yi | Bel'Veth | Urgot | Fiora | Riven
Void Staff,B,4.18,-0.16,15.5%,57741,19.8%,Karma | Zoe | Bard | Lissandra | Milio
Red Buff,B,4.08,-0.16,16.1%,49411,17.0%,Kindred | Karma | Jhin | Milio | Kai'Sa
Rabadon's Deathcap,B,4.08,-0.16,15.6%,49180,16.9%,Karma | Twisted Fate | Teemo | Bard | Vex
Steadfast Heart,B,4.00,-0.15,15.6%,42647,14.6%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Illaoi
Hextech Gunblade,B,4.07,-0.14,15.3%,44362,15.2%,Teemo | Vex | Kindred | LeBlanc | Riven
Morellonomicon,B,4.20,-0.14,14.6%,51278,17.6%,Karma | Milio | Bard | Zoe | Lissandra
Blue Buff,B,4.23,-0.14,14.2%,51191,17.6%,Kai'Sa | Karma | Corki | Bard | Jhin
Titan's Resolve,B,4.26,-0.12,13.0%,46907,16.1%,Briar | Riven | Fiora | The Mighty Mech | Master Yi
Kraken's Fury,B,4.15,-0.11,14.4%,39042,13.4%,Kindred | Xayah | Bel'Veth | Caitlyn | Jhin
Nashor's Tooth,B,4.40,-0.11,13.3%,53944,18.5%,Lulu | Twisted Fate | Karma | Nami | Veigar
Dragon's Claw,C,4.26,-0.10,13.5%,39081,13.4%,Rammus | Nunu & Willump | Tahm Kench | Maokai | Illaoi
Archangel's Staff,C,4.15,-0.08,14.8%,26283,9.0%,Karma | Bard | Aurelion Sol | Milio | Twisted Fate
Ionic Spark,C,4.22,-0.07,14.5%,27126,9.3%,Illaoi | Nunu & Willump | Blitzcrank | Tahm Kench | Maokai
Tear of the Goddess,C,4.77,-0.01,9.7%,10324,3.5%,Karma | Milio | Maokai | Bard | Nunu & Willump
Needlessly Large Rod,C,4.80,-0.01,9.5%,10840,3.7%,Karma | Milio | Bard | Lissandra | Fizz
Chain Vest,C,4.82,-0.01,9.9%,9596,3.3%,Maokai | Mordekaiser | Illaoi | The Mighty Mech | Tahm Kench
Giant's Belt,C,4.89,-0.01,9.8%,13418,4.6%,Maokai | Illaoi | Tahm Kench | The Mighty Mech | Mordekaiser
Negatron Cloak,C,4.86,-0.01,9.8%,10352,3.6%,Maokai | Illaoi | The Mighty Mech | Mordekaiser | Tahm Kench
Sparring Gloves,C,4.85,-0.00,9.2%,8562,2.9%,Milio | Jhin | Kai'Sa | Karma | Urgot
Recurve Bow,C,4.89,-0.00,9.4%,11631,4.0%,Milio | Karma | Kindred | Jhin | Kai'Sa
B.F. Sword,D,5.00,+0.00,8.4%,9237,3.2%,Jhin | Riven | Kai'Sa | Urgot | Kindred
Frying Pan,D,6.38,+0.00,0.0%,34,0.0%,Kindred | Karma | Bel'Veth | Mordekaiser | Nunu & Willump
Spatula,D,5.66,+0.21,6.8%,455,0.2%,Riven | Karma | Lissandra | Kai'Sa | Kindred
