Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,166313,49.6%,Master Yi | Corki | Kindred | Jhin | Teemo
Gargoyle Stoneplate,A,4.35,-0.29,13.6%,151751,45.3%,Leona | Jax | Rammus | The Mighty Mech | Nunu & Willump
Protector's Vow,A,4.14,-0.28,15.5%,107534,32.1%,Nunu & Willump | Tahm Kench | Rammus | Maokai | The Mighty Mech
Warmog's Armor,A,4.13,-0.27,15.0%,103206,30.8%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Leona
Sunfire Cape,A,4.37,-0.27,13.1%,142672,42.6%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Guinsoo's Rageblade,A,4.40,-0.26,13.5%,144709,43.2%,Kindred | Vex | Teemo | Xayah | LeBlanc
Thief's Gloves,A,4.11,-0.24,15.6%,89451,26.7%,Blitzcrank | Fiora | Maokai | Urgot | Mordekaiser
Crownguard,A,4.13,-0.23,14.9%,89385,26.7%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Striker's Flail,A,4.13,-0.23,14.7%,87626,26.2%,Corki | Kai'Sa | Jhin | Kindred | Karma
Sterak's Gage,A,4.07,-0.22,15.3%,79856,23.8%,Riven | Briar | Fiora | The Mighty Mech | Master Yi
Spirit Visage,A,4.27,-0.22,13.8%,100127,29.9%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Adaptive Helm,A,4.13,-0.22,15.2%,83271,24.9%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Karma
Edge of Night,A,4.18,-0.22,14.7%,88158,26.3%,Master Yi | Fiora | Riven | Zed | Talon
Spear of Shojin,A,4.33,-0.20,14.2%,102560,30.6%,Karma | Kai'Sa | Milio | Corki | Lulu
Last Whisper,A,4.25,-0.20,13.4%,91164,27.2%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Bramble Vest,B,3.88,-0.20,16.4%,59206,17.7%,Rammus | Tahm Kench | Nunu & Willump | Maokai | The Mighty Mech
Infinity Edge,B,4.32,-0.19,14.5%,95250,28.4%,Kai'Sa | Jhin | Corki | Kindred | Ezreal
Deathblade,B,4.13,-0.19,14.1%,73148,21.8%,Corki | Jhin | Kindred | Kai'Sa | Riven
Bloodthirster,B,4.18,-0.19,13.6%,76635,22.9%,Riven | Briar | Fiora | Blitzcrank | Master Yi
Jeweled Gauntlet,B,4.41,-0.19,14.1%,106157,31.7%,Lulu | Karma | Nami | Aurelion Sol | Bard
Evenshroud,B,4.31,-0.19,13.7%,90413,27.0%,Tahm Kench | Rammus | Maokai | Rek'Sai | Nunu & Willump
Hand Of Justice,B,4.03,-0.17,15.2%,58961,17.6%,Fiora | Riven | Master Yi | Blitzcrank | Bel'Veth
Void Staff,B,4.18,-0.16,15.4%,65037,19.4%,Karma | Zoe | Bard | Lissandra | Milio
Quicksilver,B,4.30,-0.16,13.4%,75909,22.7%,Master Yi | Bel'Veth | Fiora | Riven | Urgot
Red Buff,B,4.09,-0.16,16.4%,57184,17.1%,Kindred | Karma | Jhin | Milio | Kai'Sa
Rabadon's Deathcap,B,4.08,-0.15,15.9%,55765,16.6%,Karma | Twisted Fate | Teemo | Milio | Bard
Steadfast Heart,B,4.00,-0.15,15.6%,48402,14.4%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Morellonomicon,B,4.19,-0.14,14.6%,59030,17.6%,Karma | Milio | Bard | Zoe | Lissandra
Blue Buff,B,4.24,-0.14,14.2%,59900,17.9%,Kai'Sa | Karma | Corki | Bard | Milio
Hextech Gunblade,B,4.08,-0.14,15.6%,49334,14.7%,Teemo | Vex | Kindred | LeBlanc | Riven
Titan's Resolve,B,4.25,-0.12,13.1%,52555,15.7%,Briar | Riven | Fiora | The Mighty Mech | Master Yi
Kraken's Fury,B,4.13,-0.11,14.7%,43277,12.9%,Kindred | Xayah | Bel'Veth | Caitlyn | Jhin
Nashor's Tooth,B,4.41,-0.11,13.6%,63128,18.8%,Lulu | Twisted Fate | Karma | Nami | Veigar
Dragon's Claw,C,4.24,-0.10,13.5%,43985,13.1%,Rammus | Tahm Kench | Nunu & Willump | Maokai | The Mighty Mech
Archangel's Staff,C,4.12,-0.08,15.5%,28593,8.5%,Karma | Milio | Bard | Aurelion Sol | Twisted Fate
Ionic Spark,C,4.20,-0.07,14.9%,30667,9.2%,Illaoi | Nunu & Willump | Blitzcrank | Maokai | Tahm Kench
Tear of the Goddess,C,4.78,-0.01,9.5%,12219,3.6%,Karma | Milio | Maokai | Bard | Nunu & Willump
Chain Vest,C,4.83,-0.01,9.4%,11045,3.3%,Maokai | The Mighty Mech | Mordekaiser | Illaoi | Tahm Kench
Needlessly Large Rod,C,4.87,-0.00,9.4%,12423,3.7%,Karma | Milio | Bard | Fizz | Lissandra
Negatron Cloak,C,4.87,-0.00,9.4%,11987,3.6%,Maokai | Mordekaiser | Illaoi | The Mighty Mech | Tahm Kench
Sparring Gloves,C,4.86,-0.00,9.2%,10093,3.0%,Milio | Jhin | Kai'Sa | Urgot | Karma
