Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.39,14.1%,175308,49.7%,Master Yi | Corki | Kindred | Teemo | Jhin
Gargoyle Stoneplate,A,4.36,-0.29,13.6%,161686,45.9%,Leona | Jax | Rammus | Nunu & Willump | The Mighty Mech
Protector's Vow,A,4.15,-0.27,15.5%,112449,31.9%,Nunu & Willump | Tahm Kench | Rammus | Maokai | The Mighty Mech
Warmog's Armor,A,4.12,-0.27,15.1%,108605,30.8%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Leona
Sunfire Cape,A,4.37,-0.27,13.0%,148445,42.1%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Guinsoo's Rageblade,A,4.40,-0.26,13.5%,151944,43.1%,Kindred | Vex | Teemo | Xayah | LeBlanc
Thief's Gloves,A,4.11,-0.24,15.6%,93908,26.6%,Blitzcrank | Fiora | Maokai | Urgot | Mordekaiser
Crownguard,A,4.13,-0.23,14.8%,95388,27.1%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Striker's Flail,A,4.15,-0.23,14.6%,93405,26.5%,Corki | Kai'Sa | Jhin | Kindred | Karma
Spirit Visage,A,4.26,-0.22,13.9%,104424,29.6%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Sterak's Gage,A,4.08,-0.22,15.2%,83867,23.8%,Riven | Briar | Fiora | The Mighty Mech | Graves
Adaptive Helm,A,4.12,-0.22,15.1%,88063,25.0%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Karma
Edge of Night,A,4.19,-0.22,14.8%,94056,26.7%,Master Yi | Fiora | Riven | Zed | Talon
Spear of Shojin,A,4.33,-0.20,14.3%,107029,30.4%,Karma | Kai'Sa | Milio | Corki | Lulu
Last Whisper,A,4.27,-0.20,13.3%,97345,27.6%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Bramble Vest,B,3.89,-0.20,16.4%,63120,17.9%,Rammus | Tahm Kench | Nunu & Willump | Maokai | The Mighty Mech
Deathblade,B,4.13,-0.19,13.9%,78320,22.2%,Corki | Jhin | Kindred | Kai'Sa | Riven
Infinity Edge,B,4.30,-0.19,14.5%,97729,27.7%,Kai'Sa | Jhin | Corki | Kindred | Ezreal
Jeweled Gauntlet,B,4.40,-0.19,14.2%,110897,31.5%,Lulu | Karma | Aurelion Sol | Nami | Vex
Bloodthirster,B,4.18,-0.19,13.7%,80259,22.8%,Riven | Briar | Fiora | Blitzcrank | Diana
Evenshroud,B,4.31,-0.18,13.5%,94584,26.8%,Tahm Kench | Rammus | Maokai | Rek'Sai | Nunu & Willump
Hand Of Justice,B,4.02,-0.17,15.2%,62134,17.6%,Fiora | Riven | Master Yi | Blitzcrank | Bel'Veth
Red Buff,B,4.07,-0.16,16.4%,60543,17.2%,Kindred | Karma | Jhin | Milio | Kai'Sa
Quicksilver,B,4.30,-0.16,13.4%,79865,22.7%,Master Yi | Bel'Veth | Fiora | Riven | Urgot
