Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.40,14.0%,208680,50.2%,Master Yi | Corki | Kindred | Teemo | Kai'Sa
Gargoyle Stoneplate,S,4.35,-0.31,13.5%,197588,47.5%,Jax | Leona | Rammus | The Mighty Mech | Nunu & Willump
Protector's Vow,A,4.14,-0.27,15.5%,132365,31.8%,Nunu & Willump | Tahm Kench | Rammus | Maokai | The Mighty Mech
Warmog's Armor,A,4.12,-0.27,15.0%,127607,30.7%,Tahm Kench | Rammus | Nunu & Willump | Maokai | Leona
Sunfire Cape,A,4.37,-0.26,13.2%,167601,40.3%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Guinsoo's Rageblade,A,4.40,-0.25,13.6%,176799,42.5%,Kindred | Vex | Teemo | Xayah | LeBlanc
Crownguard,A,4.15,-0.25,14.7%,120664,29.0%,Rammus | Tahm Kench | Jax | Nunu & Willump | Maokai
Thief's Gloves,A,4.09,-0.24,15.7%,110441,26.6%,Blitzcrank | Fiora | Maokai | Urgot | The Mighty Mech
Striker's Flail,A,4.15,-0.23,14.5%,112496,27.0%,Corki | Kai'Sa | Jhin | Kindred | Fiora
Adaptive Helm,A,4.12,-0.22,15.2%,104450,25.1%,Nunu & Willump | Rammus | Tahm Kench | Maokai | The Mighty Mech
Sterak's Gage,A,4.07,-0.22,15.2%,97665,23.5%,Riven | Briar | Fiora | The Mighty Mech | Graves
Edge of Night,A,4.22,-0.21,14.8%,113987,27.4%,Master Yi | Fiora | Riven | Zed | Talon
Spirit Visage,A,4.26,-0.21,13.9%,119202,28.7%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Spear of Shojin,A,4.30,-0.21,14.7%,122869,29.5%,Milio | Karma | Kai'Sa | Corki | Lulu
Bramble Vest,A,3.89,-0.21,16.0%,77997,18.8%,Rammus | Tahm Kench | Nunu & Willump | Maokai | The Mighty Mech
Last Whisper,A,4.30,-0.21,13.0%,122660,29.5%,Corki | Kindred | Kai'Sa | Jhin | Xayah
Deathblade,B,4.17,-0.20,13.6%,100218,24.1%,Corki | Jhin | Kindred | Kai'Sa | Riven
Infinity Edge,B,4.29,-0.19,14.6%,110835,26.6%,Kai'Sa | Jhin | Corki | Kindred | Xayah
Jeweled Gauntlet,B,4.37,-0.19,14.3%,124636,30.0%,Lulu | Karma | Bard | Milio | Nami
Bloodthirster,B,4.18,-0.19,13.7%,94926,22.8%,Riven | Briar | Fiora | Blitzcrank | Diana
Evenshroud,B,4.33,-0.18,13.6%,111750,26.9%,Tahm Kench | Rammus | Maokai | Rek'Sai | Nunu & Willump
Hand Of Justice,B,4.01,-0.17,15.1%,71894,17.3%,Fiora | Riven | Master Yi | Blitzcrank | Urgot
Red Buff,B,4.08,-0.16,16.2%,72758,17.5%,Kindred | Milio | Karma | Jhin | Kai'Sa
Void Staff,B,4.15,-0.16,15.7%,76031,18.3%,Karma | Zoe | Bard | Milio | Lissandra
Morellonomicon,B,4.19,-0.15,14.5%,79478,19.1%,Karma | Milio | Zoe | Bard | Lissandra
Quicksilver,B,4.31,-0.15,13.5%,93500,22.5%,Master Yi | Bel'Veth | Fiora | Riven | Urgot
Rabadon's Deathcap,B,4.08,-0.15,15.8%,68511,16.5%,Twisted Fate | Karma | Teemo | Milio | Bard
Steadfast Heart,B,3.95,-0.14,15.8%,57030,13.7%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Blue Buff,B,4.26,-0.13,13.9%,74350,17.9%,Kai'Sa | Corki | Karma | Milio | Bard
Hextech Gunblade,B,4.07,-0.13,15.3%,58606,14.1%,Teemo | Vex | Kindred | Riven | LeBlanc
Nashor's Tooth,B,4.37,-0.12,13.8%,77937,18.7%,Lulu | Twisted Fate | Karma | Milio | Nami
Titan's Resolve,B,4.24,-0.12,13.2%,63200,15.2%,Briar | Riven | Fiora | Diana | Master Yi
Kraken's Fury,B,4.12,-0.11,14.8%,50425,12.1%,Kindred | Bel'Veth | Xayah | Caitlyn | Jhin
Dragon's Claw,C,4.22,-0.09,13.8%,49279,11.8%,Tahm Kench | Rammus | Nunu & Willump | Maokai | The Mighty Mech
Archangel's Staff,C,4.08,-0.07,15.8%,33487,8.1%,Karma | Milio | Bard | Aurelion Sol | Twisted Fate
Ionic Spark,C,4.18,-0.07,15.0%,34802,8.4%,Illaoi | Nunu & Willump | Blitzcrank | Maokai | Tahm Kench
Tear of the Goddess,C,4.78,-0.01,9.7%,15489,3.7%,Milio | Maokai | Karma | Bard | Kai'Sa
Chain Vest,C,4.82,-0.01,10.2%,13533,3.3%,Maokai | The Mighty Mech | Illaoi | Mordekaiser | Tahm Kench
Negatron Cloak,C,4.86,-0.01,9.4%,15173,3.6%,The Mighty Mech | Maokai | Illaoi | Mordekaiser | Tahm Kench
Needlessly Large Rod,C,4.87,-0.00,9.1%,15463,3.7%,Milio | Karma | Bard | Fizz | Lissandra
Recurve Bow,C,4.89,-0.00,9.1%,17154,4.1%,Milio | Kindred | Karma | Urgot | Jhin
