Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.38,14.4%,105060,47.8%,Master Yi | Corki | Vex | Kindred | Jhin
Gargoyle Stoneplate,A,4.40,-0.30,12.8%,108047,49.2%,Rammus | Jax | The Mighty Mech | Nunu & Willump | Leona
Protector's Vow,A,4.20,-0.30,14.9%,81753,37.2%,Nunu & Willump | Rammus | Tahm Kench | Maokai | The Mighty Mech
Warmog's Armor,A,4.17,-0.28,14.8%,73398,33.4%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Jeweled Gauntlet,A,4.43,-0.25,13.5%,96493,43.9%,Karma | Aurelion Sol | Lulu | Nami | LeBlanc
Crownguard,A,4.12,-0.25,14.4%,62516,28.5%,Rammus | Tahm Kench | Nunu & Willump | Jax | The Mighty Mech
Sunfire Cape,A,4.36,-0.25,13.3%,86523,39.4%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Adaptive Helm,A,4.09,-0.25,15.5%,59824,27.2%,Nunu & Willump | Rammus | Tahm Kench | Karma | The Mighty Mech
Striker's Flail,A,4.17,-0.23,14.0%,62270,28.3%,Corki | Kai'Sa | Jhin | Aurelion Sol | Karma
Thief's Gloves,A,4.12,-0.23,16.1%,57351,26.1%,Blitzcrank | The Mighty Mech | Fiora | Illaoi | Maokai
Spirit Visage,A,4.22,-0.21,14.1%,59590,27.1%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Guinsoo's Rageblade,A,4.42,-0.21,14.8%,79334,36.1%,Kindred | Vex | LeBlanc | Xayah | Teemo
Spear of Shojin,A,4.34,-0.21,14.1%,68427,31.1%,Karma | Milio | Corki | Bard | Kai'Sa
Last Whisper,A,4.24,-0.20,12.7%,59035,26.9%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Deathblade,A,4.16,-0.20,12.9%,53096,24.2%,Corki | Jhin | Kindred | Kai'Sa | Riven
Void Staff,B,4.30,-0.20,14.4%,62266,28.3%,Karma | Bard | Zoe | Aurelion Sol | Sona
Sterak's Gage,B,4.07,-0.19,15.1%,45012,20.5%,Riven | Fiora | Briar | The Mighty Mech | Graves
Edge of Night,B,4.03,-0.18,16.3%,40860,18.6%,Master Yi | Fiora | Riven | Zed | Pyke
Rabadon's Deathcap,B,4.17,-0.18,15.4%,47652,21.7%,Aurelion Sol | Karma | Milio | Twisted Fate | Bard
Bramble Vest,B,3.97,-0.17,15.4%,35479,16.1%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Bloodthirster,B,4.19,-0.16,14.2%,44155,20.1%,Riven | Fiora | Briar | Diana | Blitzcrank
Infinity Edge,B,4.31,-0.16,14.6%,51087,23.2%,Kai'Sa | Jhin | Corki | Kindred | Xayah
Morellonomicon,B,4.25,-0.16,14.2%,45942,20.9%,Karma | Milio | Bard | Zoe | Sona
