Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.38,14.4%,142107,48.3%,Master Yi | Corki | Vex | Aurelion Sol | Kindred
Protector's Vow,A,4.21,-0.30,14.9%,110950,37.7%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Gargoyle Stoneplate,A,4.39,-0.30,12.9%,143094,48.7%,Rammus | The Mighty Mech | Jax | Nunu & Willump | Leona
Warmog's Armor,A,4.16,-0.28,14.9%,97940,33.3%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Sunfire Cape,A,4.36,-0.25,13.3%,115250,39.2%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Jeweled Gauntlet,A,4.43,-0.25,13.5%,129120,43.9%,Aurelion Sol | Karma | Lulu | Nami | Bard
Crownguard,A,4.13,-0.25,14.3%,83846,28.5%,Rammus | Tahm Kench | Nunu & Willump | Jax | The Mighty Mech
Adaptive Helm,A,4.10,-0.25,15.4%,80509,27.4%,Nunu & Willump | Rammus | Tahm Kench | Karma | The Mighty Mech
Striker's Flail,A,4.18,-0.23,13.9%,84488,28.7%,Corki | Kai'Sa | Aurelion Sol | Jhin | Karma
Thief's Gloves,A,4.11,-0.23,16.0%,76799,26.1%,Blitzcrank | The Mighty Mech | Fiora | Illaoi | Maokai
Spirit Visage,A,4.22,-0.21,14.1%,79820,27.2%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Guinsoo's Rageblade,A,4.42,-0.21,14.9%,104908,35.7%,Kindred | Vex | LeBlanc | Xayah | Teemo
Spear of Shojin,A,4.34,-0.20,14.2%,90406,30.8%,Karma | Milio | Bard | Corki | Kai'Sa
Last Whisper,A,4.25,-0.20,12.6%,80073,27.2%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Deathblade,A,4.17,-0.20,12.8%,72106,24.5%,Corki | Jhin | Kindred | Kai'Sa | Riven
Void Staff,B,4.30,-0.20,14.4%,83008,28.2%,Karma | Bard | Zoe | Aurelion Sol | Sona
Sterak's Gage,B,4.06,-0.19,15.1%,60144,20.5%,Riven | Fiora | The Mighty Mech | Briar | Graves
Edge of Night,B,4.04,-0.18,16.2%,55834,19.0%,Master Yi | Fiora | Riven | Zed | Pyke
Rabadon's Deathcap,B,4.18,-0.18,15.3%,64731,22.0%,Aurelion Sol | Karma | Milio | Bard | Vex
Bramble Vest,B,3.97,-0.17,15.2%,47559,16.2%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Bloodthirster,B,4.18,-0.16,14.2%,58707,20.0%,Riven | Fiora | Briar | Diana | Blitzcrank
Infinity Edge,B,4.30,-0.16,14.7%,67189,22.9%,Kai'Sa | Jhin | Corki | Kindred | Xayah
Morellonomicon,B,4.25,-0.16,14.2%,61544,20.9%,Karma | Milio | Bard | Zoe | Sona
Red Buff,B,4.14,-0.15,15.4%,52140,17.7%,Karma | Kindred | Milio | Jhin | Bard
Hand Of Justice,B,3.91,-0.15,16.2%,40105,13.6%,Riven | Fiora | Blitzcrank | Master Yi | Gragas
Steadfast Heart,B,4.00,-0.15,15.3%,43453,14.8%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Dragon's Claw,B,4.21,-0.14,13.5%,53825,18.3%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Evenshroud,B,4.24,-0.13,14.4%,50539,17.2%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Blue Buff,B,4.20,-0.13,14.2%,46636,15.9%,Kai'Sa | Karma | Corki | Bard | Milio
