Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.22,-0.38,14.3%,226770,48.9%,Master Yi | Aurelion Sol | Corki | Vex | LeBlanc
Protector's Vow,S,4.22,-0.30,14.8%,178489,38.5%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Gargoyle Stoneplate,A,4.39,-0.29,12.9%,223436,48.1%,Rammus | The Mighty Mech | Nunu & Willump | Jax | Illaoi
Warmog's Armor,A,4.16,-0.28,14.9%,153485,33.1%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Jeweled Gauntlet,A,4.43,-0.25,13.5%,203122,43.8%,Aurelion Sol | Karma | Lulu | Vex | Bard
Sunfire Cape,A,4.36,-0.25,13.4%,180074,38.8%,Tahm Kench | Nunu & Willump | Rammus | Illaoi | The Mighty Mech
Crownguard,A,4.14,-0.25,14.2%,133176,28.7%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Jax
Adaptive Helm,A,4.11,-0.25,15.3%,128278,27.6%,Nunu & Willump | Rammus | Karma | Tahm Kench | The Mighty Mech
Striker's Flail,A,4.20,-0.23,13.8%,135686,29.2%,Corki | Aurelion Sol | Jhin | Kai'Sa | Karma
Thief's Gloves,A,4.12,-0.23,16.0%,121497,26.2%,Blitzcrank | The Mighty Mech | Illaoi | Fiora | Shen
Spirit Visage,A,4.22,-0.21,14.1%,125976,27.1%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Guinsoo's Rageblade,A,4.41,-0.21,15.0%,164392,35.4%,Vex | Kindred | LeBlanc | Xayah | Diana
Last Whisper,A,4.26,-0.21,12.5%,129146,27.8%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Deathblade,A,4.19,-0.20,12.7%,116113,25.0%,Corki | Jhin | Kindred | Kai'Sa | Riven
Spear of Shojin,A,4.33,-0.20,14.2%,139389,30.0%,Karma | Bard | Milio | Corki | Sona
Void Staff,B,4.28,-0.20,14.5%,129003,27.8%,Karma | Bard | Sona | Aurelion Sol | Milio
Sterak's Gage,B,4.05,-0.20,15.1%,95300,20.5%,Riven | Fiora | The Mighty Mech | Briar | Graves
Edge of Night,B,4.06,-0.19,16.0%,91314,19.7%,Master Yi | Fiora | Riven | Zed | Pyke
Rabadon's Deathcap,B,4.18,-0.18,15.2%,103057,22.2%,Aurelion Sol | Karma | Bard | Vex | Milio
Bramble Vest,B,3.97,-0.17,15.3%,75040,16.2%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Bloodthirster,B,4.17,-0.17,14.3%,92584,19.9%,Riven | Fiora | Diana | Blitzcrank | Briar
Infinity Edge,B,4.28,-0.16,14.8%,103528,22.3%,Jhin | Kai'Sa | Corki | Kindred | Miss Fortune
Morellonomicon,B,4.25,-0.16,14.1%,98563,21.2%,Karma | Milio | Bard | Sona | Zoe
Red Buff,B,4.13,-0.15,15.4%,82534,17.8%,Karma | Milio | Kindred | Bard | Jhin
Hand Of Justice,B,3.90,-0.15,16.2%,63989,13.8%,Riven | Fiora | Blitzcrank | Gragas | Master Yi
Steadfast Heart,B,4.00,-0.15,15.3%,67491,14.5%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Dragon's Claw,B,4.21,-0.14,13.5%,84726,18.3%,Nunu & Willump | Rammus | The Mighty Mech | Illaoi | Tahm Kench
Evenshroud,B,4.25,-0.13,14.3%,79077,17.0%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Blue Buff,B,4.19,-0.13,14.2%,71604,15.4%,Karma | Kai'Sa | Corki | Bard | Sona
Quicksilver,B,4.13,-0.12,15.6%,65097,14.0%,Master Yi | Riven | Fiora | Graves | Bel'Veth
Hextech Gunblade,B,4.08,-0.11,16.5%,57479,12.4%,Vex | Karma | LeBlanc | Bard | Riven
Nashor's Tooth,B,4.38,-0.11,13.4%,83657,18.0%,Lulu | Karma | Nami | Twisted Fate | Milio
Ionic Spark,C,4.17,-0.09,15.1%,52572,11.3%,Illaoi | Nunu & Willump | Blitzcrank | The Mighty Mech | Tahm Kench
Archangel's Staff,C,4.10,-0.09,15.2%,47366,10.2%,Aurelion Sol | Karma | Bard | Milio | Viktor
Titan's Resolve,C,4.34,-0.08,13.4%,56879,12.3%,Riven | Diana | Briar | Fiora | The Mighty Mech
Kraken's Fury,C,4.18,-0.07,15.0%,38962,8.4%,Kindred | Xayah | Bel'Veth | Jhin | Graves
Tear of the Goddess,C,4.72,-0.01,9.8%,17243,3.7%,Karma | Milio | Bard | Nunu & Willump | Sona
Negatron Cloak,C,4.78,-0.01,10.0%,16970,3.7%,Illaoi | The Mighty Mech | Mordekaiser | Nunu & Willump | Meepsie
Giant's Belt,C,4.84,-0.01,10.2%,23332,5.0%,Illaoi | The Mighty Mech | Nunu & Willump | Maokai | Mordekaiser
Chain Vest,C,4.80,-0.01,9.8%,16967,3.7%,Illaoi | The Mighty Mech | Mordekaiser | Nunu & Willump | Meepsie
Recurve Bow,C,4.85,-0.01,9.7%,19291,4.2%,Milio | Karma | Bard | Sona | Jhin
Needlessly Large Rod,C,4.83,-0.01,9.3%,17221,3.7%,Karma | Milio | Bard | Fizz | Blitzcrank
Sparring Gloves,C,4.81,-0.01,9.6%,14365,3.1%,Milio | Karma | Blitzcrank | Jhin | Bard
B.F. Sword,C,4.92,-0.00,8.8%,15485,3.3%,Riven | Jhin | Karma | Milio | Kai'Sa
Frying Pan,D,6.00,+0.00,0.0%,55,0.0%,Karma | Bard | Illaoi | Maokai | Mordekaiser
Spatula,D,5.40,+0.15,9.1%,713,0.2%,Karma | Riven | Milio | Lissandra | Sona
