Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.23,-0.38,14.2%,254418,49.7%,Aurelion Sol | Master Yi | Corki | Vex | Jhin
Protector's Vow,S,4.23,-0.31,14.7%,202113,39.4%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Gargoyle Stoneplate,A,4.39,-0.29,12.9%,245436,47.9%,Rammus | Nunu & Willump | The Mighty Mech | Illaoi | Jax
Warmog's Armor,A,4.16,-0.27,14.9%,168615,32.9%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Jeweled Gauntlet,A,4.42,-0.25,13.6%,224180,43.8%,Aurelion Sol | Karma | Lulu | Vex | Bard
Crownguard,A,4.14,-0.25,14.0%,148427,29.0%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Jax
Sunfire Cape,A,4.36,-0.25,13.4%,194852,38.0%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Adaptive Helm,A,4.12,-0.24,15.2%,142713,27.9%,Nunu & Willump | Rammus | Karma | Tahm Kench | The Mighty Mech
Striker's Flail,A,4.22,-0.24,13.6%,154258,30.1%,Corki | Aurelion Sol | Jhin | Karma | Kai'Sa
Thief's Gloves,A,4.11,-0.23,16.2%,134986,26.3%,Blitzcrank | The Mighty Mech | Fiora | Illaoi | Shen
Spirit Visage,A,4.23,-0.21,14.0%,139175,27.2%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Guinsoo's Rageblade,A,4.40,-0.21,15.3%,178403,34.8%,Vex | Kindred | LeBlanc | Xayah | Diana
Last Whisper,A,4.28,-0.21,12.3%,146790,28.6%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Deathblade,A,4.21,-0.20,12.5%,131729,25.7%,Corki | Jhin | Kindred | Riven | Kai'Sa
Void Staff,A,4.27,-0.20,14.6%,140665,27.5%,Karma | Bard | Sona | Aurelion Sol | Milio
Spear of Shojin,B,4.31,-0.20,14.5%,148152,28.9%,Karma | Bard | Milio | Corki | Sona
Sterak's Gage,B,4.05,-0.20,15.0%,105784,20.6%,Riven | Fiora | The Mighty Mech | Briar | Graves
Edge of Night,B,4.08,-0.19,15.9%,105833,20.7%,Master Yi | Fiora | Riven | Zed | Pyke
Rabadon's Deathcap,B,4.19,-0.18,15.2%,115552,22.6%,Aurelion Sol | Karma | Bard | Vex | Milio
Bramble Vest,B,3.95,-0.17,15.4%,82166,16.0%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Bloodthirster,B,4.17,-0.17,14.3%,102299,20.0%,Riven | Fiora | Diana | Blitzcrank | Briar
Morellonomicon,B,4.25,-0.16,13.9%,110937,21.7%,Karma | Milio | Bard | Sona | Blitzcrank
Infinity Edge,B,4.26,-0.16,14.9%,109703,21.4%,Jhin | Kai'Sa | Corki | Kindred | Miss Fortune
Red Buff,B,4.13,-0.16,15.6%,91747,17.9%,Karma | Milio | Kindred | Bard | Vex
Hand Of Justice,B,3.91,-0.15,16.2%,71586,14.0%,Riven | Fiora | Blitzcrank | Gragas | Master Yi
Dragon's Claw,B,4.21,-0.14,13.5%,92633,18.1%,Nunu & Willump | Rammus | The Mighty Mech | Illaoi | Tahm Kench
Steadfast Heart,B,3.99,-0.14,15.4%,72560,14.2%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Evenshroud,B,4.25,-0.12,14.2%,85477,16.7%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Blue Buff,B,4.18,-0.12,14.2%,76147,14.9%,Karma | Corki | Kai'Sa | Bard | Sona
Quicksilver,B,4.16,-0.12,15.3%,73572,14.4%,Master Yi | Riven | Fiora | Graves | Urgot
Hextech Gunblade,B,4.07,-0.11,16.5%,61931,12.1%,Vex | Karma | LeBlanc | Bard | Riven
Nashor's Tooth,B,4.37,-0.11,13.6%,88740,17.3%,Lulu | Karma | Nami | Twisted Fate | Lissandra
Ionic Spark,C,4.16,-0.09,15.4%,56391,11.0%,Illaoi | Nunu & Willump | Blitzcrank | The Mighty Mech | Tahm Kench
Archangel's Staff,C,4.07,-0.09,15.5%,49727,9.7%,Aurelion Sol | Karma | Bard | Milio | Sona
Titan's Resolve,C,4.32,-0.08,13.6%,61187,11.9%,Riven | Diana | Fiora | Briar | The Mighty Mech
Kraken's Fury,C,4.16,-0.07,15.0%,41972,8.2%,Kindred | Xayah | Bel'Veth | Jhin | Graves
Tear of the Goddess,C,4.70,-0.01,10.2%,18986,3.7%,Karma | Milio | Bard | Nunu & Willump | Sona
Giant's Belt,C,4.83,-0.01,10.2%,25554,5.0%,Illaoi | The Mighty Mech | Nunu & Willump | Maokai | Mordekaiser
Negatron Cloak,C,4.78,-0.01,10.0%,18771,3.7%,Illaoi | The Mighty Mech | Mordekaiser | Nunu & Willump | Meepsie
Chain Vest,C,4.81,-0.01,9.7%,18858,3.7%,The Mighty Mech | Illaoi | Mordekaiser | Nunu & Willump | Meepsie
Recurve Bow,C,4.84,-0.01,9.7%,21423,4.2%,Milio | Karma | Bard | Sona | Jhin
Needlessly Large Rod,C,4.83,-0.01,9.5%,19075,3.7%,Karma | Milio | Bard | Blitzcrank | Sona
Sparring Gloves,C,4.81,-0.01,9.6%,15967,3.1%,Milio | Karma | Blitzcrank | Jhin | Bard
B.F. Sword,C,4.95,-0.00,8.7%,17187,3.4%,Riven | Jhin | Karma | Milio | Kai'Sa
Frying Pan,D,5.80,+0.00,0.0%,66,0.0%,Karma | Bard | Riven | Maokai | Blitzcrank
Spatula,D,5.47,+0.17,8.8%,765,0.1%,Karma | Riven | Milio | Lissandra | Kai'Sa
