Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.24,-0.38,14.1%,263551,49.6%,Master Yi | Aurelion Sol | Corki | Vex | Jhin
Protector's Vow,S,4.23,-0.31,14.7%,212989,40.1%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Gargoyle Stoneplate,A,4.39,-0.29,12.9%,254895,48.0%,Rammus | The Mighty Mech | Nunu & Willump | Illaoi | Tahm Kench
Warmog's Armor,A,4.17,-0.27,14.9%,173603,32.7%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Jeweled Gauntlet,A,4.40,-0.26,13.8%,229848,43.3%,Aurelion Sol | Karma | Lulu | Vex | Bard
Crownguard,A,4.15,-0.25,14.0%,155457,29.3%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Blitzcrank
Adaptive Helm,A,4.12,-0.24,15.2%,147823,27.8%,Nunu & Willump | Rammus | Tahm Kench | Karma | The Mighty Mech
Sunfire Cape,A,4.35,-0.24,13.4%,197899,37.3%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Striker's Flail,A,4.23,-0.24,13.6%,162854,30.7%,Corki | Aurelion Sol | Jhin | Vex | Karma
Thief's Gloves,A,4.11,-0.24,16.2%,141379,26.6%,Blitzcrank | The Mighty Mech | Fiora | Shen | Illaoi
Spirit Visage,A,4.23,-0.21,14.0%,145183,27.3%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Guinsoo's Rageblade,A,4.41,-0.21,15.3%,186864,35.2%,Vex | Kindred | LeBlanc | Xayah | Diana
Last Whisper,A,4.29,-0.21,12.0%,155810,29.3%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Deathblade,A,4.23,-0.20,12.4%,140416,26.4%,Corki | Jhin | Kindred | Riven | Graves
Void Staff,A,4.24,-0.20,14.8%,141747,26.7%,Karma | Bard | Sona | Aurelion Sol | Milio
Sterak's Gage,B,4.05,-0.20,14.9%,111155,20.9%,Riven | Fiora | The Mighty Mech | Graves | Briar
Spear of Shojin,B,4.30,-0.20,14.6%,149902,28.2%,Karma | Bard | Milio | Corki | Sona
Edge of Night,B,4.11,-0.19,15.6%,113635,21.4%,Master Yi | Fiora | Riven | Zed | Pyke
Rabadon's Deathcap,B,4.17,-0.18,15.4%,117883,22.2%,Aurelion Sol | Karma | Vex | Bard | Milio
Bramble Vest,B,3.95,-0.17,15.6%,84977,16.0%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Bloodthirster,B,4.17,-0.17,14.2%,107733,20.3%,Riven | Fiora | Diana | Blitzcrank | Briar
Morellonomicon,B,4.24,-0.17,14.0%,116089,21.9%,Karma | Milio | Bard | Sona | Blitzcrank
Red Buff,B,4.12,-0.16,15.7%,95354,18.0%,Karma | Milio | Kindred | Vex | Bard
Infinity Edge,B,4.26,-0.16,14.9%,111518,21.0%,Jhin | Kai'Sa | Corki | Kindred | Graves
Hand Of Justice,B,3.92,-0.15,16.0%,75563,14.2%,Riven | Fiora | Blitzcrank | Gragas | Master Yi
