Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.24,-0.38,14.2%,268320,49.5%,Master Yi | Aurelion Sol | Vex | Corki | Jhin
Protector's Vow,S,4.24,-0.31,14.8%,220092,40.6%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Gargoyle Stoneplate,A,4.39,-0.29,12.8%,261398,48.2%,Rammus | The Mighty Mech | Nunu & Willump | Tahm Kench | Illaoi
Warmog's Armor,A,4.16,-0.27,14.8%,176901,32.6%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Jeweled Gauntlet,A,4.39,-0.26,13.8%,233629,43.1%,Aurelion Sol | Karma | Lulu | Vex | Bard
Crownguard,A,4.15,-0.25,14.0%,158688,29.3%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Jax
Adaptive Helm,A,4.13,-0.24,15.2%,150811,27.8%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Karma
Thief's Gloves,A,4.11,-0.24,16.3%,146304,27.0%,Blitzcrank | Fiora | The Mighty Mech | Shen | Illaoi
Striker's Flail,A,4.23,-0.24,13.5%,168685,31.1%,Corki | Aurelion Sol | Jhin | Vex | Karma
Sunfire Cape,A,4.36,-0.24,13.3%,198955,36.7%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Guinsoo's Rageblade,A,4.41,-0.21,15.3%,193264,35.7%,Vex | Kindred | LeBlanc | Xayah | Diana
Spirit Visage,A,4.24,-0.21,13.9%,149110,27.5%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Maokai
Deathblade,A,4.23,-0.21,12.3%,145288,26.8%,Corki | Jhin | Kindred | Graves | Riven
Last Whisper,A,4.31,-0.21,11.9%,160281,29.6%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Void Staff,A,4.23,-0.20,15.0%,142433,26.3%,Karma | Bard | Sona | Aurelion Sol | Vex
Sterak's Gage,B,4.06,-0.20,14.8%,114522,21.1%,Riven | Fiora | The Mighty Mech | Graves | Briar
Spear of Shojin,B,4.29,-0.20,14.7%,150395,27.7%,Karma | Bard | Milio | Corki | Sona
Edge of Night,B,4.13,-0.19,15.4%,118431,21.8%,Master Yi | Fiora | Riven | Zed | Pyke
Rabadon's Deathcap,B,4.16,-0.18,15.6%,118400,21.8%,Aurelion Sol | Karma | Vex | Bard | Milio
Morellonomicon,B,4.23,-0.17,14.1%,118668,21.9%,Karma | Milio | Bard | Sona | Blitzcrank
Bramble Vest,B,3.95,-0.17,15.5%,86008,15.9%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Bloodthirster,B,4.19,-0.17,14.1%,111025,20.5%,Riven | Fiora | Diana | Blitzcrank | Briar
Red Buff,B,4.11,-0.16,15.8%,98348,18.1%,Karma | Milio | Kindred | Vex | Bard
Infinity Edge,B,4.26,-0.15,14.8%,112427,20.7%,Jhin | Kai'Sa | Corki | Kindred | Graves
Hand Of Justice,B,3.94,-0.15,15.8%,77899,14.4%,Riven | Fiora | Blitzcrank | Gragas | Master Yi
Steadfast Heart,B,3.98,-0.14,15.3%,74098,13.7%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Illaoi
Dragon's Claw,B,4.19,-0.14,13.6%,91356,16.9%,Nunu & Willump | Rammus | The Mighty Mech | Tahm Kench | Illaoi
Quicksilver,B,4.21,-0.12,15.0%,80320,14.8%,Master Yi | Riven | Fiora | Graves | Urgot
Blue Buff,B,4.17,-0.12,14.5%,75890,14.0%,Karma | Corki | Kai'Sa | Bard | Sona
Evenshroud,B,4.28,-0.12,13.8%,87038,16.1%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Nashor's Tooth,B,4.34,-0.11,13.9%,92019,17.0%,Lulu | Karma | Lissandra | Nami | Twisted Fate
Hextech Gunblade,B,4.05,-0.11,16.8%,63937,11.8%,Vex | Karma | Bard | Riven | LeBlanc
Ionic Spark,C,4.12,-0.09,16.0%,58198,10.7%,Illaoi | Nunu & Willump | Blitzcrank | The Mighty Mech | Tahm Kench
Archangel's Staff,C,4.06,-0.09,15.6%,49074,9.1%,Aurelion Sol | Karma | Bard | Milio | Vex
Titan's Resolve,C,4.30,-0.08,14.0%,64859,12.0%,Riven | Diana | Fiora | Briar | Jax
Kraken's Fury,C,4.18,-0.07,14.5%,44946,8.3%,Kindred | Xayah | Bel'Veth | Jhin | Graves
