Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.24,-0.38,14.3%,272782,49.4%,Master Yi | Vex | Aurelion Sol | Corki | Jhin
Protector's Vow,S,4.24,-0.31,14.8%,229246,41.5%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Gargoyle Stoneplate,A,4.39,-0.29,12.8%,263469,47.7%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Illaoi
Warmog's Armor,A,4.17,-0.27,14.8%,181193,32.8%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Jeweled Gauntlet,A,4.38,-0.26,13.9%,234333,42.5%,Aurelion Sol | Karma | Lulu | Vex | Bard
Crownguard,A,4.15,-0.25,14.0%,161868,29.3%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Blitzcrank
Adaptive Helm,A,4.13,-0.24,15.2%,155039,28.1%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Karma
Thief's Gloves,A,4.12,-0.24,16.4%,151266,27.4%,Blitzcrank | Fiora | Shen | The Mighty Mech | Maokai
Striker's Flail,A,4.23,-0.24,13.6%,172286,31.2%,Corki | Aurelion Sol | Jhin | Vex | Karma
Sunfire Cape,A,4.35,-0.23,13.3%,199884,36.2%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Spirit Visage,A,4.24,-0.21,14.0%,152640,27.7%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Maokai
Guinsoo's Rageblade,A,4.43,-0.21,15.2%,202148,36.6%,Vex | Kindred | LeBlanc | Xayah | Diana
Deathblade,A,4.24,-0.21,12.3%,150983,27.4%,Corki | Jhin | Graves | Kindred | Riven
Last Whisper,A,4.32,-0.20,11.6%,163199,29.6%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Void Staff,A,4.21,-0.20,15.1%,141046,25.6%,Karma | Bard | Sona | Aurelion Sol | Vex
