Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.23,-0.38,14.3%,269659,49.2%,Master Yi | Vex | Corki | Aurelion Sol | Jhin
Protector's Vow,S,4.25,-0.32,14.8%,233024,42.5%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Gargoyle Stoneplate,A,4.38,-0.29,12.8%,258367,47.1%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Illaoi
Warmog's Armor,A,4.17,-0.28,14.9%,182756,33.3%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Jeweled Gauntlet,A,4.37,-0.26,14.0%,227528,41.5%,Aurelion Sol | Karma | Vex | Lulu | Bard
Crownguard,A,4.15,-0.25,14.0%,161282,29.4%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Blitzcrank
Adaptive Helm,A,4.14,-0.24,15.2%,155844,28.4%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Karma
Thief's Gloves,A,4.12,-0.24,16.4%,152164,27.7%,Blitzcrank | Fiora | Shen | The Mighty Mech | Maokai
Striker's Flail,A,4.22,-0.24,13.6%,170429,31.1%,Corki | Aurelion Sol | Jhin | Vex | Graves
Sunfire Cape,A,4.36,-0.23,13.3%,196742,35.9%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Guinsoo's Rageblade,A,4.44,-0.21,15.2%,206909,37.7%,Vex | Kindred | LeBlanc | Xayah | Diana
Spirit Visage,A,4.24,-0.21,13.9%,152898,27.9%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Maokai
Deathblade,A,4.24,-0.21,12.3%,153302,28.0%,Corki | Jhin | Graves | Kindred | Riven
Last Whisper,B,4.32,-0.20,11.4%,160194,29.2%,Corki | Kindred | Jhin | Kai'Sa | Xayah
Void Staff,B,4.20,-0.20,15.1%,135066,24.6%,Karma | Bard | Sona | Vex | Aurelion Sol
Sterak's Gage,B,4.07,-0.20,14.7%,114995,21.0%,Riven | Fiora | The Mighty Mech | Graves | Briar
Spear of Shojin,B,4.27,-0.19,14.8%,145407,26.5%,Karma | Bard | Milio | Sona | Zed
Edge of Night,B,4.16,-0.18,15.0%,119725,21.8%,Master Yi | Fiora | Riven | Zed | Pyke
Rabadon's Deathcap,B,4.12,-0.18,15.9%,113520,20.7%,Aurelion Sol | Karma | Vex | Bard | Milio
Morellonomicon,B,4.22,-0.17,14.0%,117779,21.5%,Karma | Milio | Bard | Sona | Blitzcrank
Bramble Vest,B,3.96,-0.17,15.3%,87993,16.0%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Red Buff,B,4.14,-0.17,15.9%,106167,19.4%,Vex | Milio | Karma | Xayah | Kindred
Infinity Edge,B,4.25,-0.16,15.0%,119065,21.7%,Jhin | Kai'Sa | Corki | Graves | Xayah
Bloodthirster,B,4.20,-0.16,13.8%,111249,20.3%,Riven | Fiora | Diana | Blitzcrank | Jax
Hand Of Justice,B,3.95,-0.15,15.7%,78821,14.4%,Riven | Fiora | Blitzcrank | Gragas | Master Yi
Steadfast Heart,B,3.96,-0.14,15.5%,73843,13.5%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Dragon's Claw,B,4.19,-0.13,13.5%,87742,16.0%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Quicksilver,B,4.23,-0.12,15.0%,82446,15.0%,Master Yi | Riven | Fiora | Graves | Urgot
Blue Buff,B,4.15,-0.11,14.5%,72909,13.3%,Karma | Corki | Bard | Kai'Sa | Sona
Hextech Gunblade,B,4.04,-0.11,17.3%,64008,11.7%,Vex | Karma | Bard | Riven | LeBlanc
Nashor's Tooth,B,4.33,-0.11,14.0%,89277,16.3%,Lulu | Karma | Lissandra | Nami | Milio
Evenshroud,B,4.29,-0.11,13.2%,82447,15.0%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Ionic Spark,C,4.08,-0.10,16.2%,57106,10.4%,Illaoi | Nunu & Willump | Blitzcrank | The Mighty Mech | Tahm Kench
Titan's Resolve,C,4.28,-0.08,14.0%,64581,11.8%,Riven | Diana | Fiora | Jax | Briar
Archangel's Staff,C,4.03,-0.08,15.8%,46678,8.5%,Karma | Aurelion Sol | Bard | Milio | Vex
Kraken's Fury,C,4.24,-0.08,14.5%,57105,10.4%,Xayah | Kindred | Jhin | Bel'Veth | Corki
Tear of the Goddess,C,4.69,-0.01,10.3%,19714,3.6%,Milio | Karma | Bard | Nunu & Willump | Maokai
Negatron Cloak,C,4.79,-0.01,9.9%,19805,3.6%,The Mighty Mech | Illaoi | Nunu & Willump | Mordekaiser | Maokai
Chain Vest,C,4.79,-0.01,10.3%,19477,3.6%,The Mighty Mech | Illaoi | Nunu & Willump | Mordekaiser | Maokai
Giant's Belt,C,4.86,-0.01,10.0%,27169,5.0%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Tahm Kench
Recurve Bow,C,4.83,-0.01,9.7%,22758,4.1%,Milio | Karma | Bard | Jhin | Sona
Needlessly Large Rod,C,4.85,-0.01,9.2%,20673,3.8%,Milio | Karma | Bard | Blitzcrank | Fizz
Sparring Gloves,C,4.83,-0.01,9.3%,17067,3.1%,Milio | Karma | Blitzcrank | Jhin | Bard
B.F. Sword,C,4.99,-0.00,8.9%,18907,3.4%,Riven | Jhin | Kai'Sa | Karma | Fiora
Frying Pan,D,5.45,+0.00,9.9%,71,0.0%,Karma | Blitzcrank | Bard | Riven | Kai'Sa
Spatula,D,5.50,+0.17,9.5%,821,0.1%,Karma | Riven | Milio | Kai'Sa | Bard
