Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.22,-0.37,14.3%,263634,48.2%,Master Yi | Vex | Corki | Jhin | Aurelion Sol
Protector's Vow,S,4.27,-0.32,14.8%,243407,44.5%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Gargoyle Stoneplate,A,4.37,-0.29,12.8%,251295,45.9%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Illaoi
Warmog's Armor,A,4.17,-0.28,15.0%,187612,34.3%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Jeweled Gauntlet,A,4.34,-0.26,14.2%,214982,39.3%,Aurelion Sol | Karma | Vex | Lulu | Bard
Adaptive Helm,A,4.14,-0.25,15.3%,159821,29.2%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Bard
Crownguard,A,4.17,-0.25,13.9%,163525,29.9%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Blitzcrank
Striker's Flail,A,4.19,-0.25,13.8%,166633,30.4%,Corki | Jhin | Aurelion Sol | Vex | Graves
Thief's Gloves,A,4.13,-0.25,16.3%,155917,28.5%,Blitzcrank | Fiora | Shen | Maokai | The Mighty Mech
Sunfire Cape,A,4.36,-0.23,13.1%,192220,35.1%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Deathblade,A,4.25,-0.22,12.4%,159179,29.1%,Corki | Jhin | Graves | Xayah | Kindred
Guinsoo's Rageblade,A,4.46,-0.21,14.9%,217575,39.8%,Vex | Kindred | Xayah | LeBlanc | Diana
Spirit Visage,A,4.25,-0.21,13.8%,155051,28.3%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Last Whisper,B,4.30,-0.20,11.2%,154591,28.2%,Corki | Jhin | Kindred | Kai'Sa | Xayah
Spear of Shojin,B,4.25,-0.19,14.9%,139572,25.5%,Karma | Bard | Milio | Sona | Zed
Void Staff,B,4.17,-0.19,15.3%,125355,22.9%,Karma | Bard | Sona | Vex | Milio
Sterak's Gage,B,4.08,-0.19,14.5%,111383,20.4%,Riven | Fiora | The Mighty Mech | Graves | Briar
Infinity Edge,B,4.24,-0.18,15.0%,128098,23.4%,Jhin | Kai'Sa | Xayah | Corki | Miss Fortune
Red Buff,B,4.16,-0.18,16.0%,115090,21.0%,Xayah | Vex | Milio | Karma | Kindred
Edge of Night,B,4.17,-0.18,14.5%,115588,21.1%,Master Yi | Fiora | Riven | Zed | Pyke
Rabadon's Deathcap,B,4.10,-0.18,16.1%,107177,19.6%,Aurelion Sol | Vex | Bard | Karma | Blitzcrank
Bramble Vest,B,3.95,-0.17,15.3%,88804,16.2%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Morellonomicon,B,4.21,-0.16,14.1%,113495,20.7%,Karma | Milio | Bard | Sona | Blitzcrank
Bloodthirster,B,4.20,-0.16,13.7%,110002,20.1%,Riven | Fiora | Diana | Blitzcrank | Jax
Hand Of Justice,B,3.93,-0.15,15.7%,77953,14.2%,Riven | Fiora | Blitzcrank | Gragas | Graves
Steadfast Heart,B,3.95,-0.14,15.7%,73510,13.4%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Dragon's Claw,B,4.18,-0.12,13.7%,82872,15.1%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Quicksilver,B,4.24,-0.11,14.7%,82006,15.0%,Master Yi | Graves | Riven | Fiora | Urgot
Hextech Gunblade,B,4.06,-0.11,17.1%,64168,11.7%,Vex | Bard | Karma | Riven | LeBlanc
Blue Buff,B,4.15,-0.11,14.1%,69527,12.7%,Karma | Corki | Bard | Sona | Kai'Sa
Nashor's Tooth,B,4.32,-0.10,13.9%,83657,15.3%,Lulu | Karma | Lissandra | Nami | Milio
Evenshroud,C,4.31,-0.10,12.6%,76832,14.0%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Kraken's Fury,C,4.31,-0.09,14.7%,75186,13.7%,Xayah | Kindred | Jhin | Graves | Bel'Veth
Ionic Spark,C,4.08,-0.09,16.2%,54529,10.0%,Illaoi | Blitzcrank | Nunu & Willump | The Mighty Mech | Tahm Kench
Titan's Resolve,C,4.29,-0.08,13.6%,63887,11.7%,Riven | Diana | Fiora | Jax | Blitzcrank
Archangel's Staff,C,4.00,-0.08,16.2%,43528,8.0%,Karma | Bard | Aurelion Sol | Vex | Milio
Tear of the Goddess,C,4.71,-0.01,10.1%,19729,3.6%,Milio | Karma | Nunu & Willump | Bard | Maokai
Negatron Cloak,C,4.78,-0.01,9.6%,19688,3.6%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Mordekaiser
Needlessly Large Rod,C,4.82,-0.01,9.7%,20184,3.7%,Milio | Karma | Bard | Blitzcrank | Sona
Sparring Gloves,C,4.80,-0.01,9.5%,16867,3.1%,Milio | Karma | Jhin | Blitzcrank | Bard
Chain Vest,C,4.83,-0.01,9.8%,19686,3.6%,The Mighty Mech | Nunu & Willump | Illaoi | Maokai | Mordekaiser
Giant's Belt,C,4.89,-0.01,9.6%,27139,5.0%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Tahm Kench
Recurve Bow,C,4.88,-0.01,9.4%,22556,4.1%,Milio | Karma | Jhin | Bard | Riven
Frying Pan,D,5.59,+0.00,7.9%,63,0.0%,Karma | Kindred | Blitzcrank | The Mighty Mech | Bard
B.F. Sword,D,5.02,+0.00,8.6%,19030,3.5%,Jhin | Riven | Fiora | Kai'Sa | Karma
Spatula,D,5.52,+0.17,8.0%,792,0.1%,Karma | Riven | Milio | Bard | Jhin
