Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.22,-0.37,14.3%,265603,47.8%,Master Yi | Vex | Jhin | Corki | Graves
Protector's Vow,S,4.27,-0.33,14.8%,250817,45.1%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Gargoyle Stoneplate,A,4.37,-0.29,12.8%,253664,45.6%,Rammus | Nunu & Willump | The Mighty Mech | Tahm Kench | Illaoi
Warmog's Armor,A,4.18,-0.28,15.0%,191411,34.4%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Jeweled Gauntlet,A,4.34,-0.26,14.2%,216529,39.0%,Aurelion Sol | Vex | Karma | Bard | Lulu
Adaptive Helm,A,4.15,-0.25,15.2%,163815,29.5%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Blitzcrank
Striker's Flail,A,4.18,-0.25,14.0%,168315,30.3%,Corki | Jhin | Aurelion Sol | Vex | Graves
Crownguard,A,4.17,-0.25,13.8%,166751,30.0%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | The Mighty Mech
Thief's Gloves,A,4.14,-0.25,16.2%,160224,28.8%,Blitzcrank | Fiora | Shen | Maokai | The Mighty Mech
Deathblade,A,4.25,-0.22,12.5%,163071,29.3%,Corki | Jhin | Graves | Xayah | Miss Fortune
Sunfire Cape,A,4.36,-0.22,13.0%,192564,34.6%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Guinsoo's Rageblade,A,4.46,-0.22,14.9%,223140,40.2%,Vex | Kindred | Xayah | LeBlanc | Diana
Spirit Visage,A,4.24,-0.22,13.9%,158032,28.4%,Tahm Kench | Nunu & Willump | Rammus | Maokai | The Mighty Mech
Last Whisper,B,4.29,-0.20,11.3%,155421,28.0%,Corki | Jhin | Kindred | Kai'Sa | Xayah
Spear of Shojin,B,4.24,-0.19,14.9%,141430,25.4%,Karma | Bard | Milio | Sona | Zed
Void Staff,B,4.16,-0.19,15.4%,126477,22.8%,Karma | Bard | Sona | Vex | Milio
Sterak's Gage,B,4.07,-0.19,14.6%,112079,20.2%,Riven | Fiora | The Mighty Mech | Graves | Nunu & Willump
Red Buff,B,4.16,-0.18,16.0%,120343,21.7%,Xayah | Vex | Milio | Kindred | Karma
Infinity Edge,B,4.24,-0.18,15.0%,130708,23.5%,Jhin | Xayah | Kai'Sa | Corki | Miss Fortune
Rabadon's Deathcap,B,4.09,-0.18,16.3%,107937,19.4%,Aurelion Sol | Vex | Bard | Karma | Blitzcrank
Edge of Night,B,4.18,-0.17,14.4%,117048,21.1%,Master Yi | Fiora | Riven | Zed | Pyke
Bramble Vest,B,3.95,-0.17,15.2%,89838,16.2%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Morellonomicon,B,4.21,-0.16,14.1%,115154,20.7%,Karma | Milio | Bard | Sona | Blitzcrank
Bloodthirster,B,4.20,-0.16,13.8%,110855,19.9%,Riven | Fiora | Diana | Blitzcrank | Jax
Hand Of Justice,B,3.93,-0.15,15.8%,78319,14.1%,Riven | Fiora | Blitzcrank | Gragas | Graves
Steadfast Heart,B,3.96,-0.14,15.5%,75264,13.5%,Nunu & Willump | Tahm Kench | Rammus | The Mighty Mech | Illaoi
Dragon's Claw,B,4.18,-0.12,13.7%,82615,14.9%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Quicksilver,B,4.24,-0.11,14.7%,83861,15.1%,Master Yi | Graves | Riven | Fiora | Urgot
Hextech Gunblade,B,4.07,-0.11,16.9%,65302,11.7%,Vex | Bard | Karma | Riven | Jhin
Blue Buff,B,4.15,-0.11,14.2%,69719,12.5%,Karma | Corki | Bard | Sona | Kai'Sa
Nashor's Tooth,B,4.33,-0.10,13.7%,84289,15.2%,Lulu | Karma | Lissandra | Nami | Milio
Kraken's Fury,C,4.32,-0.10,14.7%,80088,14.4%,Xayah | Kindred | Jhin | Graves | Bel'Veth
Evenshroud,C,4.31,-0.09,12.6%,76022,13.7%,Tahm Kench | Rammus | Maokai | Nunu & Willump | The Mighty Mech
Ionic Spark,C,4.07,-0.09,16.3%,54707,9.8%,Illaoi | Blitzcrank | Nunu & Willump | The Mighty Mech | Tahm Kench
Titan's Resolve,C,4.28,-0.08,13.5%,64076,11.5%,Riven | Diana | Fiora | Jax | Blitzcrank
Archangel's Staff,C,4.01,-0.08,16.0%,43027,7.7%,Karma | Bard | Aurelion Sol | Vex | Milio
Tear of the Goddess,C,4.72,-0.01,10.0%,19906,3.6%,Milio | Karma | Nunu & Willump | Bard | Blitzcrank
Negatron Cloak,C,4.79,-0.01,9.6%,19978,3.6%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Mordekaiser
Chain Vest,C,4.80,-0.01,9.7%,19882,3.6%,The Mighty Mech | Nunu & Willump | Illaoi | Maokai | Mordekaiser
