Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.22,-0.37,14.3%,289264,47.0%,Vex | Master Yi | Jhin | Corki | Graves
Protector's Vow,S,4.28,-0.34,14.9%,288874,46.9%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Gargoyle Stoneplate,A,4.36,-0.28,12.8%,274247,44.5%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Illaoi
Warmog's Armor,A,4.19,-0.28,14.8%,212885,34.6%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Jeweled Gauntlet,A,4.34,-0.26,14.1%,238781,38.8%,Aurelion Sol | Vex | Bard | Karma | Lulu
Adaptive Helm,A,4.15,-0.26,15.2%,186612,30.3%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Blitzcrank
Striker's Flail,A,4.16,-0.26,14.2%,187787,30.5%,Corki | Jhin | Vex | Aurelion Sol | Graves
Crownguard,A,4.16,-0.25,13.9%,185726,30.2%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | The Mighty Mech
Thief's Gloves,A,4.16,-0.25,16.3%,182714,29.7%,Blitzcrank | Fiora | Shen | Maokai | The Mighty Mech
Deathblade,A,4.23,-0.23,12.7%,184532,30.0%,Corki | Jhin | Graves | Miss Fortune | Xayah
Spirit Visage,A,4.24,-0.22,13.9%,175747,28.5%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Guinsoo's Rageblade,A,4.47,-0.21,14.8%,250300,40.7%,Vex | Kindred | Xayah | LeBlanc | Diana
Sunfire Cape,A,4.37,-0.20,12.8%,200130,32.5%,Tahm Kench | Nunu & Willump | Rammus | Illaoi | The Mighty Mech
Last Whisper,B,4.28,-0.20,11.2%,167332,27.2%,Corki | Jhin | Kindred | Kai'Sa | Graves
Red Buff,B,4.16,-0.19,16.4%,142749,23.2%,Xayah | Vex | Milio | Kindred | Jhin
Spear of Shojin,B,4.24,-0.19,15.0%,152920,24.8%,Karma | Bard | Milio | Sona | Graves
Sterak's Gage,B,4.05,-0.19,14.8%,122438,19.9%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Void Staff,B,4.18,-0.18,15.0%,136511,22.2%,Karma | Bard | Sona | Vex | Milio
Infinity Edge,B,4.23,-0.18,15.1%,142340,23.1%,Jhin | Graves | Miss Fortune | Kai'Sa | Xayah
Rabadon's Deathcap,B,4.07,-0.18,16.5%,117125,19.0%,Aurelion Sol | Vex | Bard | Karma | Blitzcrank
Edge of Night,B,4.18,-0.17,14.3%,130991,21.3%,Master Yi | Fiora | Riven | Zed | Pyke
Bramble Vest,B,3.94,-0.17,15.4%,97126,15.8%,Rammus | Tahm Kench | Nunu & Willump | The Mighty Mech | Illaoi
Morellonomicon,B,4.23,-0.16,13.8%,129873,21.1%,Milio | Karma | Bard | Sona | Vex
Bloodthirster,B,4.20,-0.16,13.7%,121507,19.7%,Riven | Fiora | Diana | Blitzcrank | Jax
