Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.38,14.5%,68499,46.9%,Vex | Master Yi | Jhin | Graves | Corki
Protector's Vow,S,4.29,-0.34,14.8%,70095,48.0%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Maokai
Warmog's Armor,A,4.17,-0.30,14.8%,53035,36.3%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | Maokai
Gargoyle Stoneplate,A,4.36,-0.29,12.9%,64647,44.3%,Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech | Illaoi
Adaptive Helm,A,4.13,-0.27,15.8%,44464,30.4%,Nunu & Willump | Rammus | Tahm Kench | Blitzcrank | The Mighty Mech
Jeweled Gauntlet,A,4.33,-0.26,13.7%,57384,39.3%,Aurelion Sol | Vex | Bard | Karma | Lulu
Guinsoo's Rageblade,A,4.43,-0.26,14.6%,66831,45.8%,Vex | Kindred | Xayah | LeBlanc | Diana
Thief's Gloves,A,4.16,-0.26,16.1%,44375,30.4%,Blitzcrank | Fiora | Shen | Maokai | The Mighty Mech
Striker's Flail,A,4.10,-0.24,15.3%,39237,26.9%,Corki | Jhin | Vex | Aurelion Sol | Graves
Crownguard,A,4.15,-0.24,14.0%,40741,27.9%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Maokai
Spirit Visage,A,4.25,-0.22,13.5%,43679,29.9%,Nunu & Willump | Tahm Kench | Rammus | Maokai | Illaoi
Red Buff,A,4.19,-0.21,16.2%,37237,25.5%,Xayah | Vex | Milio | Kindred | Jhin
Deathblade,A,4.22,-0.21,13.5%,38273,26.2%,Corki | Jhin | Graves | Miss Fortune | Xayah
Void Staff,B,4.15,-0.20,14.9%,33732,23.1%,Karma | Bard | Sona | Vex | Milio
Sunfire Cape,B,4.40,-0.19,12.4%,47276,32.4%,Tahm Kench | Nunu & Willump | Illaoi | Rammus | Maokai
Spear of Shojin,B,4.25,-0.19,14.5%,36348,24.9%,Karma | Bard | Milio | Sona | Graves
Infinity Edge,B,4.29,-0.19,14.1%,38360,26.3%,Jhin | Miss Fortune | Graves | Xayah | Kai'Sa
Rabadon's Deathcap,B,4.07,-0.18,16.7%,28718,19.7%,Aurelion Sol | Vex | Bard | Karma | Blitzcrank
Sterak's Gage,B,4.08,-0.16,15.3%,25884,17.7%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Bramble Vest,B,3.96,-0.16,15.1%,22439,15.4%,Rammus | Tahm Kench | Nunu & Willump | Illaoi | The Mighty Mech
Edge of Night,B,4.23,-0.16,13.7%,29717,20.3%,Master Yi | Fiora | Riven | Zed | Pyke
Morellonomicon,B,4.21,-0.16,14.0%,28862,19.8%,Karma | Milio | Bard | Sona | Vex
Last Whisper,B,4.22,-0.15,12.1%,27855,19.1%,Corki | Jhin | Kindred | Kai'Sa | Graves
Hand Of Justice,B,3.96,-0.15,15.6%,20541,14.1%,Fiora | Riven | Blitzcrank | Graves | Gragas
Bloodthirster,B,4.21,-0.14,14.3%,26154,17.9%,Riven | Fiora | Diana | Blitzcrank | Jax
Steadfast Heart,B,4.02,-0.14,14.7%,20333,13.9%,Tahm Kench | Nunu & Willump | Rammus | The Mighty Mech | Illaoi
Dragon's Claw,B,4.14,-0.13,13.8%,21555,14.8%,Nunu & Willump | Tahm Kench | Rammus | Illaoi | The Mighty Mech
Kraken's Fury,B,4.41,-0.12,13.5%,29953,20.5%,Xayah | Kindred | Jhin | Graves | Bel'Veth
Quicksilver,B,4.26,-0.12,14.8%,23694,16.2%,Master Yi | Graves | Fiora | Riven | Urgot
Hextech Gunblade,B,4.06,-0.11,17.0%,17568,12.0%,Vex | Bard | Karma | Jhin | LeBlanc
Nashor's Tooth,C,4.37,-0.10,12.0%,22415,15.3%,Lulu | Lissandra | Karma | Nami | Bard
Blue Buff,C,4.10,-0.09,14.8%,15188,10.4%,Karma | Corki | Sona | Bard | Milio
Ionic Spark,C,4.08,-0.09,15.4%,14470,9.9%,Blitzcrank | Illaoi | Nunu & Willump | Tahm Kench | The Mighty Mech
Evenshroud,C,4.32,-0.08,12.0%,17352,11.9%,Tahm Kench | Maokai | Rammus | Nunu & Willump | The Mighty Mech
Archangel's Staff,C,3.99,-0.08,16.1%,11306,7.7%,Bard | Karma | Vex | Aurelion Sol | Milio
Titan's Resolve,C,4.30,-0.07,13.3%,15450,10.6%,Riven | Diana | Fiora | Jax | Blitzcrank
Tear of the Goddess,C,4.69,-0.01,10.0%,5172,3.5%,Nunu & Willump | Milio | Karma | Bard | Blitzcrank
Negatron Cloak,C,4.79,-0.01,9.3%,4988,3.4%,The Mighty Mech | Illaoi | Nunu & Willump | Maokai | Mordekaiser
Chain Vest,C,4.81,-0.01,10.1%,5274,3.6%,Nunu & Willump | The Mighty Mech | Illaoi | Maokai | Tahm Kench
Giant's Belt,C,4.89,-0.01,9.9%,7314,5.0%,Nunu & Willump | Maokai | Illaoi | The Mighty Mech | Tahm Kench
Sparring Gloves,C,4.87,-0.00,9.4%,4490,3.1%,Blitzcrank | Milio | Jhin | Karma | Bard
Needlessly Large Rod,C,4.90,-0.00,9.0%,5101,3.5%,Milio | Karma | Blitzcrank | Bard | Sona
Recurve Bow,C,4.93,-0.00,8.7%,5932,4.1%,Milio | Karma | Jhin | Bard | Sona
B.F. Sword,D,5.00,+0.00,9.2%,5049,3.5%,Jhin | Riven | Fiora | Kai'Sa | Graves
Frying Pan,D,6.00,+0.00,5.9%,17,0.0%,Karma | Rhaast | Meepsie | Corki | Blitzcrank
Spatula,D,5.59,+0.18,6.0%,182,0.1%,Karma | Riven | Milio | Rhaast | Kai'Sa
