Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.20,-0.38,14.4%,89797,47.1%,Vex | Master Yi | Jhin | Graves | Bard
Protector's Vow,S,4.30,-0.33,14.9%,90929,47.7%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Gargoyle Stoneplate,S,4.34,-0.30,12.9%,86778,45.6%,Nunu & Willump | Rammus | Tahm Kench | Leona | Illaoi
Warmog's Armor,A,4.20,-0.29,14.7%,69069,36.3%,Nunu & Willump | Tahm Kench | Maokai | Illaoi | Rammus
Jeweled Gauntlet,A,4.33,-0.27,13.9%,75578,39.7%,Vex | Bard | Aurelion Sol | Karma | Blitzcrank
Guinsoo's Rageblade,A,4.44,-0.27,14.4%,90881,47.7%,Vex | Kindred | Xayah | LeBlanc | Miss Fortune
Thief's Gloves,A,4.16,-0.26,16.3%,59420,31.2%,Blitzcrank | Fiora | Shen | Maokai | Rhaast
Adaptive Helm,A,4.14,-0.26,15.4%,57880,30.4%,Nunu & Willump | Tahm Kench | Rammus | Blitzcrank | Maokai
Striker's Flail,A,4.12,-0.24,15.0%,52179,27.4%,Corki | Jhin | Vex | Graves | Aurelion Sol
Crownguard,A,4.13,-0.23,14.2%,50723,26.6%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Maokai
Spirit Visage,A,4.29,-0.21,13.1%,57330,30.1%,Nunu & Willump | Tahm Kench | Maokai | Rammus | Illaoi
Deathblade,A,4.21,-0.21,13.2%,50218,26.4%,Corki | Jhin | Miss Fortune | Graves | Xayah
Red Buff,A,4.22,-0.21,15.8%,49878,26.2%,Xayah | Vex | Kindred | Jhin | Karma
Void Staff,A,4.16,-0.20,15.2%,46466,24.4%,Karma | Bard | Sona | Vex | Blitzcrank
Rabadon's Deathcap,B,4.04,-0.19,16.9%,37677,19.8%,Vex | Bard | Aurelion Sol | Blitzcrank | Karma
Sunfire Cape,B,4.39,-0.19,12.4%,58837,30.9%,Tahm Kench | Nunu & Willump | Illaoi | Maokai | Rammus
Spear of Shojin,B,4.25,-0.18,14.4%,46526,24.4%,Karma | Bard | Sona | Graves | Zed
Infinity Edge,B,4.29,-0.17,14.0%,46513,24.4%,Jhin | Miss Fortune | Xayah | Graves | Kindred
Sterak's Gage,B,4.07,-0.17,15.3%,34473,18.1%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Morellonomicon,B,4.21,-0.16,14.3%,39532,20.8%,Karma | Bard | Milio | Sona | Blitzcrank
Edge of Night,B,4.19,-0.16,13.6%,37234,19.5%,Master Yi | Fiora | Riven | Zed | Pyke
Bramble Vest,B,3.97,-0.15,15.2%,27511,14.4%,Tahm Kench | Nunu & Willump | Rammus | Illaoi | Maokai
Hand Of Justice,B,3.94,-0.15,15.6%,26670,14.0%,Fiora | Blitzcrank | Riven | Graves | Urgot
Bloodthirster,B,4.18,-0.15,14.5%,33845,17.8%,Riven | Fiora | Diana | Blitzcrank | Graves
Last Whisper,B,4.24,-0.15,11.7%,36496,19.2%,Corki | Jhin | Kindred | Xayah | Graves
Steadfast Heart,B,4.03,-0.13,14.7%,25994,13.6%,Tahm Kench | Nunu & Willump | Illaoi | Maokai | Rammus
Quicksilver,B,4.21,-0.13,14.9%,31243,16.4%,Master Yi | Graves | Fiora | Urgot | Bel'Veth
Dragon's Claw,B,4.16,-0.13,13.5%,28822,15.1%,Nunu & Willump | Tahm Kench | Illaoi | Rammus | Maokai
Hextech Gunblade,B,4.04,-0.12,17.0%,24158,12.7%,Vex | Bard | Jhin | LeBlanc | Blitzcrank
Kraken's Fury,B,4.39,-0.12,13.8%,35855,18.8%,Xayah | Kindred | Bel'Veth | Jhin | Graves
Blue Buff,B,4.06,-0.10,15.1%,20262,10.6%,Sona | Karma | Bard | Corki | Milio
Nashor's Tooth,C,4.31,-0.10,13.1%,27150,14.3%,Lulu | Nami | Lissandra | Karma | Bard
Archangel's Staff,C,3.92,-0.09,16.5%,15115,7.9%,Bard | Karma | Vex | Sona | Viktor
Ionic Spark,C,4.12,-0.08,15.1%,17982,9.4%,Blitzcrank | Illaoi | Nunu & Willump | Tahm Kench | The Mighty Mech
Titan's Resolve,C,4.24,-0.08,13.9%,19807,10.4%,Diana | Riven | Fiora | Jax | Blitzcrank
Evenshroud,C,4.31,-0.08,11.9%,20968,11.0%,Tahm Kench | Maokai | Nunu & Willump | Rammus | The Mighty Mech
Giant's Belt,C,4.85,-0.01,10.1%,9701,5.1%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Tear of the Goddess,C,4.79,-0.01,9.7%,6748,3.5%,Nunu & Willump | Karma | Bard | Blitzcrank | Maokai
Chain Vest,C,4.81,-0.01,9.9%,7033,3.7%,Nunu & Willump | Illaoi | Maokai | Tahm Kench | The Mighty Mech
Negatron Cloak,C,4.80,-0.01,9.8%,6659,3.5%,Illaoi | Nunu & Willump | Maokai | The Mighty Mech | Mordekaiser
Needlessly Large Rod,C,4.86,-0.00,9.6%,6695,3.5%,Karma | Blitzcrank | Milio | Bard | Sona
Sparring Gloves,C,4.87,-0.00,9.1%,5711,3.0%,Blitzcrank | Jhin | Karma | Milio | Bard
Recurve Bow,C,4.95,-0.00,9.0%,7904,4.1%,Karma | Jhin | Milio | Bard | Sona
B.F. Sword,C,4.98,-0.00,8.7%,6542,3.4%,Jhin | Fiora | Riven | Karma | Graves
Frying Pan,D,5.89,+0.00,2.7%,37,0.0%,Maokai | Rhaast | Karma | Urgot | Blitzcrank
Spatula,D,5.17,+0.11,9.2%,273,0.1%,Karma | Riven | Blitzcrank | Rhaast | Sona
