Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.21,-0.36,14.4%,67442,45.5%,Vex | Master Yi | Graves | Jhin | Bard
Protector's Vow,S,4.31,-0.32,14.7%,68931,46.5%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Illaoi
Gargoyle Stoneplate,A,4.36,-0.30,13.1%,69030,46.6%,Nunu & Willump | Leona | Rammus | Tahm Kench | Illaoi
Warmog's Armor,A,4.19,-0.29,14.8%,53650,36.2%,Nunu & Willump | Tahm Kench | Maokai | Illaoi | Rammus
Jeweled Gauntlet,A,4.35,-0.27,13.8%,60768,41.0%,Vex | Bard | Aurelion Sol | Blitzcrank | Karma
Adaptive Helm,A,4.15,-0.25,15.2%,43873,29.6%,Nunu & Willump | Tahm Kench | Rammus | Blitzcrank | Bard
Thief's Gloves,A,4.17,-0.25,15.8%,44801,30.2%,Blitzcrank | Fiora | Shen | Maokai | Rhaast
Striker's Flail,A,4.13,-0.24,14.8%,40198,27.1%,Corki | Jhin | Vex | Graves | Bard
Crownguard,A,4.13,-0.23,14.2%,39891,26.9%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Maokai
Spirit Visage,A,4.25,-0.23,13.6%,45364,30.6%,Nunu & Willump | Tahm Kench | Maokai | Rammus | Ornn
Guinsoo's Rageblade,A,4.49,-0.22,13.8%,64597,43.6%,Vex | Kindred | LeBlanc | Xayah | Miss Fortune
Deathblade,A,4.21,-0.22,13.7%,40505,27.3%,Corki | Jhin | Graves | Miss Fortune | Xayah
Red Buff,A,4.20,-0.20,15.8%,37315,25.2%,Xayah | Vex | Kindred | Jhin | Karma
Sunfire Cape,B,4.37,-0.19,12.5%,45392,30.6%,Tahm Kench | Nunu & Willump | Maokai | Illaoi | Rammus
Spear of Shojin,B,4.23,-0.19,14.8%,36969,24.9%,Bard | Karma | Sona | Graves | Zed
Void Staff,B,4.21,-0.19,14.8%,35464,23.9%,Karma | Bard | Sona | Vex | Blitzcrank
Infinity Edge,B,4.27,-0.19,14.1%,38421,25.9%,Jhin | Miss Fortune | Graves | Xayah | Pyke
Rabadon's Deathcap,B,4.06,-0.18,16.2%,28962,19.5%,Vex | Bard | Aurelion Sol | Blitzcrank | Karma
Sterak's Gage,B,4.09,-0.17,15.2%,28002,18.9%,Riven | Fiora | Graves | Urgot | The Mighty Mech
Morellonomicon,B,4.21,-0.17,14.4%,31660,21.4%,Karma | Bard | Sona | Milio | Vex
Edge of Night,B,4.19,-0.17,13.9%,30480,20.6%,Master Yi | Fiora | Riven | Pyke | Zed
Last Whisper,B,4.20,-0.17,12.4%,30528,20.6%,Corki | Jhin | Kindred | Graves | Xayah
Bloodthirster,B,4.17,-0.16,14.3%,28151,19.0%,Riven | Fiora | Diana | Blitzcrank | Graves
Hand Of Justice,B,3.95,-0.16,14.9%,21921,14.8%,Blitzcrank | Fiora | Riven | Graves | Urgot
Bramble Vest,B,3.95,-0.15,15.5%,21640,14.6%,Tahm Kench | Nunu & Willump | Rammus | Illaoi | Maokai
Steadfast Heart,B,3.98,-0.14,15.3%,20252,13.7%,Nunu & Willump | Tahm Kench | Maokai | Illaoi | Rammus
Quicksilver,B,4.21,-0.13,15.5%,24189,16.3%,Graves | Master Yi | Fiora | Urgot | Riven
Dragon's Claw,B,4.15,-0.13,13.9%,21933,14.8%,Nunu & Willump | Tahm Kench | Illaoi | Rammus | Maokai
