Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Giant Slayer,S,4.19,-0.35,14.4%,259787,42.7%,Vex | Master Yi | Jhin | Bard | Graves
Gargoyle Stoneplate,S,4.35,-0.34,13.2%,317811,52.3%,Ornn | Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech
Warmog's Armor,S,4.19,-0.32,14.7%,237926,39.1%,Ornn | Nunu & Willump | Tahm Kench | Maokai | Rammus
Protector's Vow,S,4.28,-0.30,14.7%,256152,42.1%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Ornn
Jeweled Gauntlet,A,4.33,-0.28,13.9%,257818,42.4%,Nami | Bard | Vex | Blitzcrank | Aurelion Sol
Spear of Shojin,A,4.24,-0.25,14.8%,196138,32.3%,Samira | Nami | Karma | Sona | Bard
Adaptive Helm,A,4.13,-0.24,15.3%,169562,27.9%,Nunu & Willump | Blitzcrank | Tahm Kench | Rammus | Maokai
Thief's Gloves,A,4.16,-0.24,15.9%,174278,28.7%,Blitzcrank | Shen | Fiora | Maokai | Rhaast
Spirit Visage,A,4.26,-0.24,13.5%,194841,32.1%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Maokai
Deathblade,A,4.23,-0.23,13.6%,181922,29.9%,Corki | Samira | Jhin | Miss Fortune | Graves
Crownguard,A,4.14,-0.22,14.1%,157529,25.9%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Ornn
Striker's Flail,A,4.11,-0.22,15.0%,148986,24.5%,Corki | Jhin | Bard | Vex | Graves
Guinsoo's Rageblade,A,4.48,-0.21,13.4%,241622,39.8%,Vex | Kindred | LeBlanc | Xayah | Miss Fortune
Red Buff,A,4.17,-0.20,15.9%,148741,24.5%,Xayah | Vex | Jhin | Nami | Kindred
Void Staff,A,4.15,-0.20,15.1%,143815,23.7%,Karma | Sona | Bard | Nami | Blitzcrank
Last Whisper,B,4.23,-0.20,13.2%,156213,25.7%,Samira | Corki | Jhin | Kindred | Graves
Rabadon's Deathcap,B,4.02,-0.19,16.8%,120223,19.8%,Bard | Aurelion Sol | Vex | Blitzcrank | Nami
Infinity Edge,B,4.31,-0.19,13.8%,166805,27.4%,Jhin | Samira | Miss Fortune | Graves | Xayah
Sunfire Cape,B,4.37,-0.18,12.5%,177131,29.1%,Tahm Kench | Nunu & Willump | Ornn | Maokai | Illaoi
Morellonomicon,B,4.18,-0.18,14.6%,134162,22.1%,Karma | Sona | Nami | Bard | Milio
Bramble Vest,B,3.98,-0.16,14.9%,93559,15.4%,Tahm Kench | Ornn | Nunu & Willump | Rammus | Maokai
