Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Gargoyle Stoneplate,S,4.36,-0.37,13.2%,345619,57.5%,Ornn | Nunu & Willump | Rammus | Tahm Kench | Leona
Warmog's Armor,S,4.19,-0.35,14.9%,258733,43.0%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Maokai
Giant Slayer,S,4.18,-0.34,14.5%,251002,41.7%,Vex | Jhin | Master Yi | Bard | Graves
Jeweled Gauntlet,A,4.33,-0.29,13.9%,259946,43.2%,Nami | Bard | Vex | Blitzcrank | Aurelion Sol
Protector's Vow,A,4.28,-0.28,14.8%,235686,39.2%,Nunu & Willump | Rammus | Tahm Kench | Maokai | Ornn
Spear of Shojin,A,4.25,-0.28,14.7%,221301,36.8%,Samira | Nami | Sona | Karma | Bard
Deathblade,A,4.24,-0.24,13.9%,190880,31.7%,Samira | Corki | Jhin | Miss Fortune | Graves
Thief's Gloves,A,4.15,-0.24,15.9%,171826,28.6%,Blitzcrank | Shen | Fiora | Maokai | Illaoi
Adaptive Helm,A,4.11,-0.23,15.4%,158539,26.4%,Nunu & Willump | Blitzcrank | Tahm Kench | Rammus | Bard
Spirit Visage,A,4.27,-0.23,13.4%,193229,32.1%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Maokai
Last Whisper,A,4.23,-0.22,13.5%,171874,28.6%,Samira | Corki | Jhin | Kindred | Graves
Void Staff,A,4.13,-0.21,15.5%,147619,24.5%,Karma | Sona | Bard | Nami | Blitzcrank
Striker's Flail,A,4.09,-0.21,15.2%,136833,22.7%,Corki | Jhin | Bard | Vex | Graves
Red Buff,A,4.16,-0.21,15.8%,147829,24.6%,Xayah | Vex | Nami | Jhin | Kindred
Crownguard,A,4.14,-0.20,14.4%,141790,23.6%,Rammus | Nunu & Willump | Tahm Kench | Blitzcrank | Ornn
Guinsoo's Rageblade,B,4.48,-0.20,13.2%,228313,38.0%,Vex | Kindred | LeBlanc | Xayah | Miss Fortune
Morellonomicon,B,4.17,-0.19,14.8%,140099,23.3%,Nami | Sona | Karma | Bard | Milio
Rabadon's Deathcap,B,4.04,-0.19,16.4%,120931,20.1%,Bard | Nami | Aurelion Sol | Blitzcrank | Vex
Infinity Edge,B,4.31,-0.17,13.6%,151661,25.2%,Jhin | Samira | Miss Fortune | Graves | Gnar
Sunfire Cape,B,4.37,-0.17,12.4%,164385,27.3%,Tahm Kench | Nunu & Willump | Ornn | Maokai | Illaoi
Bramble Vest,B,3.99,-0.15,14.9%,91538,15.2%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Maokai
Hand Of Justice,B,3.93,-0.14,15.5%,78796,13.1%,Blitzcrank | Fiora | Riven | Urgot | Gragas
Steadfast Heart,B,4.00,-0.13,15.0%,80228,13.3%,Ornn | Tahm Kench | Nunu & Willump | Rammus | Maokai
Nashor's Tooth,B,4.29,-0.13,13.6%,111296,18.5%,Nami | Lulu | Lissandra | Karma | Bard
Edge of Night,B,4.23,-0.13,13.3%,101709,16.9%,Master Yi | Fiora | Pyke | Riven | Zed
Sterak's Gage,B,4.15,-0.13,14.4%,91454,15.2%,Riven | Fiora | Graves | The Mighty Mech | Urgot
Bloodthirster,B,4.23,-0.13,13.9%,98785,16.4%,Riven | Fiora | Blitzcrank | Diana | Jax
Dragon's Claw,B,4.16,-0.12,13.8%,84550,14.1%,Ornn | Nunu & Willump | Tahm Kench | Rammus | Illaoi
Hextech Gunblade,B,4.01,-0.11,16.6%,66803,11.1%,Vex | Bard | Blitzcrank | Jhin | Nami
Blue Buff,B,4.06,-0.11,15.4%,68193,11.3%,Sona | Nami | Karma | Bard | Corki
Quicksilver,B,4.24,-0.10,14.5%,80491,13.4%,Graves | Master Yi | Fiora | Riven | Urgot
Kraken's Fury,C,4.33,-0.10,13.9%,88274,14.7%,Xayah | Kindred | Bel'Veth | Gnar | Jhin
Ionic Spark,C,4.05,-0.10,15.8%,60368,10.0%,Blitzcrank | Nunu & Willump | Illaoi | Tahm Kench | Ornn
Archangel's Staff,C,3.97,-0.08,16.0%,49217,8.2%,Bard | Nami | Karma | LeBlanc | Sona
Evenshroud,C,4.29,-0.07,12.4%,61780,10.3%,Tahm Kench | Maokai | Rammus | Ornn | Nunu & Willump
Titan's Resolve,C,4.29,-0.07,13.6%,55563,9.2%,Riven | Diana | Fiora | Jax | Blitzcrank
Tear of the Goddess,C,4.74,-0.01,10.3%,22089,3.7%,Nunu & Willump | Blitzcrank | Karma | Nami | Bard
Chain Vest,C,4.79,-0.01,9.8%,22623,3.8%,Nunu & Willump | Illaoi | Maokai | Ornn | Tahm Kench
Negatron Cloak,C,4.79,-0.01,10.0%,21580,3.6%,Illaoi | Nunu & Willump | Ornn | Maokai | Blitzcrank
Needlessly Large Rod,C,4.84,-0.01,9.5%,23737,3.9%,Blitzcrank | Nami | Karma | Bard | Milio
Giant's Belt,C,4.89,-0.01,9.8%,30123,5.0%,Illaoi | Nunu & Willump | Maokai | Tahm Kench | Ornn
Sparring Gloves,C,4.86,-0.00,9.4%,19054,3.2%,Blitzcrank | Jhin | Karma | Nami | Milio
Recurve Bow,C,4.92,-0.00,9.3%,25316,4.2%,Jhin | Karma | Nami | Milio | Sona
Frying Pan,D,5.54,+0.00,12.9%,124,0.0%,Karma | Blitzcrank | Ornn | Shen | Gwen
B.F. Sword,D,5.04,+0.00,8.7%,21587,3.6%,Jhin | Samira | Riven | Fiora | Karma
Spatula,D,5.58,+0.20,8.2%,1055,0.2%,Riven | Blitzcrank | Karma | Nami | Jhin
