Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Kayle's Radiant Exaltation,S,1.65,-2.85,76.5%,34,0.0%,Jhin | Kindred | LeBlanc | Kai'Sa | Corki
Radiant Field,S,3.81,-0.69,30.2%,1521,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Tahm Kench
Radiant Gargoyle Stoneplate,S,3.85,-0.65,19.5%,3452,2.3%,The Mighty Mech | Rammus | Ornn | Nunu & Willump | Illaoi
Radiant Rabadon's Deathcap,S,3.86,-0.64,17.6%,887,0.6%,Aurelion Sol | Twisted Fate | Viktor | Karma | Nami
Radiant Nashor's Tooth,S,3.96,-0.54,18.5%,841,0.6%,Twisted Fate | Nami | Karma | Veigar | Aurora
Radiant Deathblade,S,4.07,-0.43,16.5%,576,0.4%,Corki | Jhin | Kindred | Kai'Sa | Caitlyn
Radiant Striker's Flail,S,4.11,-0.39,15.0%,834,0.6%,Kai'Sa | Kindred | Corki | Miss Fortune | Jhin
Radiant Kraken's Fury,S,4.14,-0.36,12.9%,605,0.4%,Kindred | Xayah | Bel'Veth | Jhin
Radiant Morellonomicon,S,4.14,-0.36,13.5%,443,0.3%,Karma | Bard | Nami | Aurelion Sol | Viktor
Radiant Sterak's Gage,S,4.15,-0.35,15.8%,1109,0.7%,The Mighty Mech | Fiora | Riven | Master Yi
Radiant Jeweled Gauntlet,S,4.15,-0.35,14.6%,2402,1.6%,Viktor | LeBlanc | Aurelion Sol | Nami | Karma
Radiant Giant Slayer,S,4.20,-0.30,12.6%,1729,1.2%,LeBlanc | Kindred | Bel'Veth | Vex | Jhin
Radiant Archangel's Staff,A,4.22,-0.28,13.1%,832,0.6%,Viktor | Aurelion Sol | LeBlanc | Karma | Nami
Radiant Last Whisper,A,4.22,-0.28,13.0%,370,0.2%,Corki | Jhin | Kindred | Xayah | Urgot
Radiant Hextech Gunblade,A,4.25,-0.25,13.4%,783,0.5%,LeBlanc | Vex | Aurelion Sol | Teemo | Karma
Radiant Ionic Spark,A,4.25,-0.25,11.7%,342,0.2%,Illaoi | Nunu & Willump | Blitzcrank | Rammus | Rhaast
Radiant Evenshroud,A,4.25,-0.25,14.2%,260,0.2%,Ornn | Rammus | Nunu & Willump | Tahm Kench | Maokai
Radiant Red Buff,A,4.26,-0.24,15.1%,385,0.3%,Jhin | Kindred | Xayah | Corki | Kai'Sa
Radiant Void Staff,A,4.27,-0.23,12.7%,1197,0.8%,Karma | Aurelion Sol | Nami | Vex | LeBlanc
Radiant Spear of Shojin,A,4.28,-0.22,13.3%,941,0.6%,Karma | Nami | Kai'Sa | Corki | Samira
Radiant Thief's Gloves,B,4.32,-0.18,12.8%,2249,1.5%,Blitzcrank | Rhaast | Fiora | Shen | Riven
Radiant Titan's Resolve,B,4.32,-0.18,14.6%,808,0.5%,Riven | The Mighty Mech | Fiora | Master Yi | Diana
Radiant Infinity Edge,B,4.32,-0.18,13.7%,924,0.6%,Jhin | Kai'Sa | Corki | Kindred | Miss Fortune
Radiant Edge of Night,B,4.33,-0.17,12.8%,665,0.4%,Master Yi | Fiora | Akali | Riven | Pyke
Radiant Hand of Justice,B,4.35,-0.15,12.7%,715,0.5%,Fizz | Fiora | Akali | Riven | Master Yi
Radiant Sunfire Cape,B,4.36,-0.14,10.9%,1383,0.9%,Rammus | Nunu & Willump | Ornn | Tahm Kench | Illaoi
Radiant Protector's Vow,B,4.36,-0.14,10.8%,793,0.5%,Nunu & Willump | Illaoi | Rammus | Jax | Tahm Kench
Radiant Bloodthirster,B,4.37,-0.13,12.9%,853,0.6%,Riven | Fiora | Master Yi | Diana | Urgot
Radiant Spirit Visage,C,4.44,-0.06,9.6%,1057,0.7%,Nunu & Willump | Rammus | Ornn | Tahm Kench | Maokai
Radiant Guinsoo's Rageblade,C,4.45,-0.05,13.0%,2577,1.7%,Kindred | LeBlanc | Vex | Jhin | Xayah
Radiant Blue Buff,C,4.48,-0.02,10.1%,415,0.3%,Kai'Sa | Corki | Karma | Miss Fortune | Nami
Radiant Adaptive Helm,D,4.52,+0.02,10.4%,498,0.3%,Karma | Nunu & Willump | Bard | Nami | Rammus
Radiant Crownguard,D,4.53,+0.03,11.3%,373,0.3%,Illaoi | Rammus | Nunu & Willump | Jax | Tahm Kench
Radiant Dragon's Claw,D,4.55,+0.05,9.7%,786,0.5%,Rammus | Nunu & Willump | Ornn | Illaoi | Tahm Kench
Radiant Warmog's Armor,D,4.57,+0.07,12.0%,858,0.6%,Rammus | Ornn | Nunu & Willump | Illaoi | Maokai
Radiant Steadfast Heart,D,4.58,+0.08,13.8%,513,0.3%,Rammus | Nunu & Willump | Tahm Kench | Ornn | Illaoi
Radiant Quicksilver,D,4.58,+0.08,10.9%,441,0.3%,Bel'Veth | Master Yi | Graves | Fiora | Riven
Radiant Bramble Vest,D,4.71,+0.21,9.5%,370,0.2%,Rammus | Nunu & Willump | Ornn | Illaoi | Tahm Kench
