Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.75,-2.75,73.2%,228,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Fiora
Kayle's Radiant Exaltation,S,1.85,-2.65,63.1%,179,0.0%,Vex | LeBlanc | Kindred | Aurelion Sol | Xayah
Radiant Field,S,3.84,-0.66,30.3%,5283,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Nashor's Tooth,S,3.96,-0.54,16.7%,3341,0.6%,Nami | Twisted Fate | Veigar | Aurora | Fizz
Radiant Rabadon's Deathcap,S,3.96,-0.54,16.6%,3057,0.6%,Aurelion Sol | Viktor | Twisted Fate | Vex | LeBlanc
Radiant Deathblade,S,4.00,-0.50,17.5%,2177,0.4%,Corki | Jhin | Xayah | Kindred | Samira
Radiant Kraken's Fury,S,4.07,-0.43,14.4%,2236,0.4%,Xayah | Kindred | Bel'Veth | Graves | Caitlyn
Radiant Red Buff,S,4.08,-0.42,16.9%,1347,0.3%,Vex | Xayah | Nami | Aurelion Sol | Kindred
Radiant Last Whisper,S,4.11,-0.39,15.7%,1308,0.2%,Corki | Xayah | Jhin | Samira | Kai'Sa
Radiant Striker's Flail,S,4.11,-0.39,15.9%,2719,0.5%,Aurelion Sol | Vex | Corki | Kai'Sa | Kindred
Radiant Gargoyle Stoneplate,S,4.11,-0.39,16.7%,9351,1.8%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Ornn
Radiant Giant Slayer,S,4.11,-0.39,14.0%,6308,1.2%,LeBlanc | Vex | Bel'Veth | Master Yi | Graves
Radiant Ionic Spark,S,4.14,-0.36,12.3%,1187,0.2%,Nunu & Willump | Illaoi | Blitzcrank | Rammus | Tahm Kench
Radiant Jeweled Gauntlet,S,4.18,-0.32,14.6%,7891,1.5%,Aurelion Sol | Viktor | Nami | LeBlanc | Vex
Radiant Spear of Shojin,S,4.18,-0.32,16.4%,3729,0.7%,Nami | Karma | Zed | Kai'Sa | Samira
Radiant Hextech Gunblade,S,4.19,-0.31,14.3%,2449,0.5%,Vex | LeBlanc | Aurelion Sol | Teemo | Viktor
Radiant Infinity Edge,A,4.23,-0.27,16.1%,4161,0.8%,Jhin | Kai'Sa | Xayah | Samira | Graves
Radiant Edge of Night,A,4.24,-0.26,13.2%,2347,0.4%,Master Yi | Fiora | Riven | Akali | Zed
Radiant Void Staff,A,4.24,-0.26,13.5%,3378,0.6%,Aurelion Sol | Vex | Nami | LeBlanc | Karma
Radiant Thief's Gloves,A,4.26,-0.24,13.3%,7921,1.5%,Blitzcrank | Fiora | Shen | Riven | Morgana
Radiant Archangel's Staff,A,4.28,-0.22,11.4%,2659,0.5%,Viktor | Aurelion Sol | LeBlanc | Vex | Nami
Radiant Hand of Justice,A,4.28,-0.22,13.0%,2699,0.5%,Fiora | Akali | Riven | Master Yi | Graves
Radiant Sterak's Gage,B,4.31,-0.19,15.7%,2664,0.5%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Radiant Morellonomicon,B,4.32,-0.18,13.1%,1049,0.2%,Karma | Aurelion Sol | Nami | Bard | Vex
Radiant Quicksilver,B,4.33,-0.17,10.7%,1713,0.3%,Bel'Veth | Master Yi | Graves | Fiora | Riven
Radiant Sunfire Cape,B,4.34,-0.16,11.1%,5161,1.0%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Titan's Resolve,B,4.36,-0.14,13.0%,2468,0.5%,The Mighty Mech | Riven | Fiora | Master Yi | Graves
Radiant Blue Buff,B,4.38,-0.12,13.4%,1478,0.3%,Kai'Sa | Corki | Nami | Karma | Aurelion Sol
Radiant Warmog's Armor,B,4.39,-0.11,11.3%,3457,0.7%,Nunu & Willump | Rammus | Illaoi | The Mighty Mech | Tahm Kench
Radiant Guinsoo's Rageblade,B,4.39,-0.11,13.6%,9721,1.8%,Vex | LeBlanc | Kindred | Xayah | Graves
Radiant Protector's Vow,B,4.40,-0.10,11.4%,2855,0.5%,Nunu & Willump | Rammus | Tahm Kench | Jax | Illaoi
Radiant Bloodthirster,C,4.42,-0.08,12.0%,2920,0.5%,Riven | Fiora | Master Yi | Graves | Blitzcrank
Radiant Evenshroud,C,4.44,-0.06,11.0%,1142,0.2%,Ornn | Nunu & Willump | Rammus | Tahm Kench | Maokai
Radiant Adaptive Helm,C,4.45,-0.05,11.6%,1606,0.3%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Jax
Radiant Crownguard,C,4.46,-0.04,11.6%,1202,0.2%,Rammus | Nunu & Willump | Jax | Tahm Kench | Ornn
Radiant Steadfast Heart,C,4.46,-0.04,10.5%,1652,0.3%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Spirit Visage,C,4.48,-0.02,10.6%,3950,0.7%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | The Mighty Mech
Radiant Dragon's Claw,D,4.53,+0.03,10.2%,2865,0.5%,Nunu & Willump | Rammus | Illaoi | Ornn | The Mighty Mech
Radiant Bramble Vest,D,4.59,+0.09,8.7%,1419,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
